,Date,Net_month_art
0,2007-01-31,139.0
1,2007-02-28,144.0
2,2007-03-31,228.0
3,2007-04-30,259.0
4,2007-05-31,290.0
5,2007-06-30,273.0
6,2007-07-31,226.0
7,2007-08-31,259.0
8,2007-09-30,285.0
9,2007-10-31,288.0
10,2007-11-30,289.0
11,2007-12-31,259.0
12,2008-01-31,196.0
13,2008-02-29,217.0
14,2008-03-31,249.0
15,2008-04-30,305.0
16,2008-05-31,290.0
17,2008-06-30,340.0
18,2008-07-31,335.0
19,2008-08-31,267.0
20,2008-09-30,272.0
21,2008-10-31,327.0
22,2008-11-30,322.0
23,2008-12-31,316.0
24,2009-01-31,274.0
25,2009-02-28,337.0
26,2009-03-31,354.0
27,2009-04-30,416.0
28,2009-05-31,353.0
29,2009-06-30,373.0
30,2009-07-31,363.0
31,2009-08-31,324.0
32,2009-09-30,425.0
33,2009-10-31,414.0
34,2009-11-30,458.0
35,2009-12-31,455.0
36,2010-01-31,358.0
37,2010-02-28,399.0
38,2010-03-31,389.0
39,2010-04-30,497.0
40,2010-05-31,391.0
41,2010-06-30,504.0
42,2010-07-31,494.0
43,2010-08-31,534.0
44,2010-09-30,589.0
45,2010-10-31,655.0
46,2010-11-30,688.0
47,2010-12-31,532.0
48,2011-01-31,552.0
49,2011-02-28,558.0
50,2011-03-31,572.0
51,2011-04-30,693.0
52,2011-05-31,552.0
53,2011-06-30,576.0
54,2011-07-31,607.0
55,2011-08-31,576.0
56,2011-09-30,587.0
57,2011-10-31,587.0
58,2011-11-30,611.0
59,2011-12-31,597.0
60,2012-01-31,523.0
61,2012-02-29,613.0
62,2012-03-31,678.0
63,2012-04-30,804.0
64,2012-05-31,702.0
65,2012-06-30,704.0
66,2012-07-31,710.0
67,2012-08-31,647.0
68,2012-09-30,692.0
69,2012-10-31,758.0
70,2012-11-30,699.0
71,2012-12-31,656.0
72,2013-01-31,617.0
73,2013-02-28,698.0
74,2013-03-31,764.0
75,2013-04-30,908.0
76,2013-05-31,763.0
77,2013-06-30,777.0
78,2013-07-31,805.0
79,2013-08-31,741.0
80,2013-09-30,812.0
81,2013-10-31,836.0
82,2013-11-30,859.0
83,2013-12-31,858.0
84,2014-01-31,726.0
85,2014-02-28,700.0
86,2014-03-31,750.0
87,2014-04-30,897.0
88,2014-05-31,732.0
89,2014-06-30,793.0
90,2014-07-31,815.0
91,2014-08-31,704.0
92,2014-09-30,823.0
93,2014-10-31,858.0
94,2014-11-30,770.0
95,2014-12-31,815.0
96,2015-01-31,668.0
97,2015-02-28,696.0
98,2015-03-31,703.0
99,2015-04-30,1049.0
100,2015-05-31,793.0
101,2015-06-30,774.0
102,2015-07-31,610.0
103,2015-08-31,662.0
104,2015-09-30,785.0
105,2015-10-31,835.0
106,2015-11-30,834.0
107,2015-12-31,841.0
108,2016-01-31,680.0
109,2016-02-29,689.0
110,2016-03-31,714.0
111,2016-04-30,852.0
112,2016-05-31,748.0
113,2016-06-30,747.0
114,2016-07-31,774.0
115,2016-08-31,729.0
116,2016-09-30,795.0
117,2016-10-31,783.0
118,2016-11-30,813.0
119,2016-12-31,873.0
120,2017-01-31,704.0
121,2017-02-28,789.0
122,2017-03-31,808.0
123,2017-04-30,1124.0
124,2017-05-31,846.0
125,2017-06-30,819.0
126,2017-07-31,806.0
127,2017-08-31,750.0
128,2017-09-30,803.0
129,2017-10-31,802.0
130,2017-11-30,781.0
131,2017-12-31,790.0
132,2018-01-31,670.0
133,2018-02-28,726.0
134,2018-03-31,783.0
135,2018-04-30,1091.0
136,2018-05-31,777.0
137,2018-06-30,854.0
138,2018-07-31,837.0
139,2018-08-31,818.0
140,2018-09-30,845.0
141,2018-10-31,872.0
142,2018-11-30,880.0
143,2018-12-31,791.0
144,2019-01-31,725.0
145,2019-02-28,726.0
146,2019-03-31,716.0
147,2019-04-30,987.0
148,2019-05-31,751.0
149,2019-06-30,801.0
150,2019-07-31,800.0
151,2019-08-31,835.0
152,2019-09-30,874.0
153,2019-10-31,822.0
154,2019-11-30,819.0
155,2019-12-31,803.0
156,2020-01-31,718.0
157,2020-02-29,763.0
158,2020-03-31,765.0
159,2020-04-30,787.0
160,2020-05-31,802.0
161,2020-06-30,1162.0
162,2020-07-31,1275.0
163,2020-08-31,825.0
164,2020-09-30,844.0
165,2020-10-31,877.0
166,2020-11-30,845.0
167,2020-12-31,831.0
168,2021-01-31,752.0
169,2021-02-28,820.0
170,2021-03-31,829.0
171,2021-04-30,799.0
172,2021-05-31,822.0
173,2021-06-30,890.0
174,2021-07-31,843.0
175,2021-08-31,795.0
176,2021-09-30,870.0
177,2021-10-31,1150.0
178,2021-11-30,838.0
179,2021-12-31,798.0
