,Date,Net_month_art
0,2007-01-31,681.0
1,2007-02-28,754.0
2,2007-03-31,870.0
3,2007-04-30,946.0
4,2007-05-31,932.0
5,2007-06-30,751.0
6,2007-07-31,741.0
7,2007-08-31,1125.0
8,2007-09-30,1125.0
9,2007-10-31,857.0
10,2007-11-30,1008.0
11,2007-12-31,884.0
12,2008-01-31,668.0
13,2008-02-29,631.0
14,2008-03-31,876.0
15,2008-04-30,1013.0
16,2008-05-31,1029.0
17,2008-06-30,1035.0
18,2008-07-31,1032.0
19,2008-08-31,969.0
20,2008-09-30,1075.0
21,2008-10-31,1092.0
22,2008-11-30,1079.0
23,2008-12-31,1053.0
24,2009-01-31,866.0
25,2009-02-28,994.0
26,2009-03-31,1179.0
27,2009-04-30,1255.0
28,2009-05-31,1335.0
29,2009-06-30,1309.0
30,2009-07-31,1250.0
31,2009-08-31,1273.0
32,2009-09-30,1589.0
33,2009-10-31,1749.0
34,2009-11-30,1951.0
35,2009-12-31,1674.0
36,2010-01-31,1374.0
37,2010-02-28,1703.0
38,2010-03-31,1908.0
39,2010-04-30,2092.0
40,2010-05-31,2134.0
41,2010-06-30,2191.0
42,2010-07-31,2167.0
43,2010-08-31,2334.0
44,2010-09-30,2632.0
45,2010-10-31,2719.0
46,2010-11-30,2836.0
47,2010-12-31,2440.0
48,2011-01-31,2176.0
49,2011-02-28,2338.0
50,2011-03-31,2232.0
51,2011-04-30,2344.0
52,2011-05-31,2063.0
53,2011-06-30,2157.0
54,2011-07-31,2173.0
55,2011-08-31,2041.0
56,2011-09-30,2363.0
57,2011-10-31,2402.0
58,2011-11-30,2446.0
59,2011-12-31,2249.0
60,2012-01-31,2061.0
61,2012-02-29,2253.0
62,2012-03-31,2303.0
63,2012-04-30,2331.0
64,2012-05-31,2550.0
65,2012-06-30,2652.0
66,2012-07-31,2617.0
67,2012-08-31,2729.0
68,2012-09-30,2726.0
69,2012-10-31,2767.0
70,2012-11-30,2613.0
71,2012-12-31,2361.0
72,2013-01-31,2180.0
73,2013-02-28,2386.0
74,2013-03-31,2734.0
75,2013-04-30,2924.0
76,2013-05-31,2692.0
77,2013-06-30,2729.0
78,2013-07-31,2665.0
79,2013-08-31,2691.0
80,2013-09-30,2752.0
81,2013-10-31,2842.0
82,2013-11-30,2888.0
83,2013-12-31,2837.0
84,2014-01-31,2439.0
85,2014-02-28,2477.0
86,2014-03-31,2506.0
87,2014-04-30,2548.0
88,2014-05-31,2531.0
89,2014-06-30,2697.0
90,2014-07-31,2670.0
91,2014-08-31,2531.0
92,2014-09-30,2754.0
93,2014-10-31,2719.0
94,2014-11-30,2556.0
95,2014-12-31,2513.0
96,2015-01-31,2297.0
97,2015-02-28,2444.0
98,2015-03-31,2590.0
99,2015-04-30,2751.0
100,2015-05-31,2556.0
101,2015-06-30,2466.0
102,2015-07-31,2147.0
103,2015-08-31,2362.0
104,2015-09-30,2768.0
105,2015-10-31,2821.0
106,2015-11-30,2904.0
107,2015-12-31,2937.0
108,2016-01-31,2531.0
109,2016-02-29,2602.0
110,2016-03-31,2750.0
111,2016-04-30,2769.0
112,2016-05-31,2789.0
113,2016-06-30,2745.0
114,2016-07-31,2774.0
115,2016-08-31,2784.0
116,2016-09-30,3004.0
117,2016-10-31,3058.0
118,2016-11-30,3102.0
119,2016-12-31,2995.0
120,2017-01-31,2645.0
121,2017-02-28,2692.0
122,2017-03-31,2906.0
123,2017-04-30,3067.0
124,2017-05-31,2810.0
125,2017-06-30,2897.0
126,2017-07-31,2792.0
127,2017-08-31,2659.0
128,2017-09-30,2787.0
129,2017-10-31,2817.0
130,2017-11-30,2776.0
131,2017-12-31,2767.0
132,2018-01-31,2517.0
133,2018-02-28,2708.0
134,2018-03-31,2822.0
135,2018-04-30,3091.0
136,2018-05-31,3014.0
137,2018-06-30,3162.0
138,2018-07-31,3148.0
139,2018-08-31,3210.0
140,2018-09-30,3298.0
141,2018-10-31,3426.0
142,2018-11-30,3562.0
143,2018-12-31,3477.0
144,2019-01-31,3127.0
145,2019-02-28,3167.0
146,2019-03-31,3200.0
147,2019-04-30,3248.0
148,2019-05-31,3415.0
149,2019-06-30,3479.0
150,2019-07-31,3367.0
151,2019-08-31,3420.0
152,2019-09-30,3601.0
153,2019-10-31,3687.0
154,2019-11-30,3637.0
155,2019-12-31,3308.0
156,2020-01-31,2973.0
157,2020-02-29,3195.0
158,2020-03-31,3367.0
159,2020-04-30,3365.0
160,2020-05-31,3293.0
161,2020-06-30,3486.0
162,2020-07-31,3436.0
163,2020-08-31,3448.0
164,2020-09-30,3744.0
165,2020-10-31,3813.0
166,2020-11-30,3725.0
167,2020-12-31,3498.0
168,2021-01-31,3160.0
169,2021-02-28,3402.0
170,2021-03-31,3426.0
171,2021-04-30,3315.0
172,2021-05-31,3389.0
173,2021-06-30,3684.0
174,2021-07-31,3532.0
175,2021-08-31,3143.0
176,2021-09-30,3404.0
177,2021-10-31,3608.0
178,2021-11-30,3496.0
179,2021-12-31,3178.0
