,Date,Net_week_art
0,2007-01-14,561.0
1,2007-01-21,611.0
2,2007-01-28,647.0
3,2007-02-04,679.0
4,2007-02-11,681.0
5,2007-02-18,668.0
6,2007-02-25,743.0
7,2007-03-04,754.0
8,2007-03-11,739.0
9,2007-03-18,754.0
10,2007-03-25,752.0
11,2007-04-01,828.0
12,2007-04-08,870.0
13,2007-04-15,815.0
14,2007-04-22,756.0
15,2007-04-29,791.0
16,2007-05-06,946.0
17,2007-05-13,932.0
18,2007-05-20,915.0
19,2007-05-27,806.0
20,2007-06-03,774.0
21,2007-06-10,771.0
22,2007-06-17,739.0
23,2007-06-24,725.0
24,2007-07-01,700.0
25,2007-07-08,748.0
26,2007-07-15,718.0
27,2007-07-22,741.0
28,2007-07-29,666.0
29,2007-08-05,652.0
30,2007-08-12,597.0
31,2007-08-19,611.0
32,2007-08-26,647.0
33,2007-09-02,739.0
34,2007-09-09,1125.0
35,2007-09-16,1125.0
36,2007-09-23,865.0
37,2007-09-30,911.0
38,2007-10-07,830.0
39,2007-10-14,834.0
40,2007-10-21,832.0
41,2007-10-28,857.0
42,2007-11-04,824.0
43,2007-11-11,801.0
44,2007-11-18,896.0
45,2007-11-25,992.0
46,2007-12-02,1008.0
47,2007-12-09,932.0
48,2007-12-16,884.0
49,2007-12-23,852.0
50,2007-12-30,760.0
51,2008-01-06,557.0
52,2008-01-13,681.0
53,2008-01-20,569.0
54,2008-01-27,598.0
55,2008-02-03,661.0
56,2008-02-10,668.0
57,2008-02-17,610.0
58,2008-02-24,615.0
59,2008-03-02,582.0
60,2008-03-09,606.0
61,2008-03-16,704.0
62,2008-03-23,836.0
63,2008-03-30,854.0
64,2008-04-06,857.0
65,2008-04-13,890.0
66,2008-04-20,909.0
67,2008-04-27,960.0
68,2008-05-04,989.0
69,2008-05-11,1013.0
70,2008-05-18,923.0
71,2008-05-25,998.0
72,2008-06-01,1029.0
73,2008-06-08,963.0
74,2008-06-15,953.0
75,2008-06-22,1022.0
76,2008-06-29,986.0
77,2008-07-06,1028.0
78,2008-07-13,1035.0
79,2008-07-20,1032.0
80,2008-07-27,1002.0
81,2008-08-03,830.0
82,2008-08-10,702.0
83,2008-08-17,668.0
84,2008-08-24,781.0
85,2008-08-31,871.0
86,2008-09-07,969.0
87,2008-09-14,970.0
88,2008-09-21,935.0
89,2008-09-28,1075.0
90,2008-10-05,1031.0
91,2008-10-12,1039.0
92,2008-10-19,1066.0
93,2008-10-26,1092.0
94,2008-11-02,1042.0
95,2008-11-09,979.0
96,2008-11-16,926.0
97,2008-11-23,1055.0
98,2008-11-30,1079.0
99,2008-12-07,1041.0
100,2008-12-14,1045.0
101,2008-12-21,1053.0
102,2008-12-28,974.0
103,2009-01-04,711.0
104,2009-01-11,698.0
105,2009-01-18,768.0
106,2009-01-25,808.0
107,2009-02-01,843.0
108,2009-02-08,866.0
109,2009-02-15,919.0
110,2009-02-22,936.0
111,2009-03-01,975.0
112,2009-03-08,994.0
113,2009-03-15,980.0
114,2009-03-22,1022.0
115,2009-03-29,1089.0
116,2009-04-05,1151.0
117,2009-04-12,1199.0
118,2009-04-19,1126.0
119,2009-04-26,1094.0
120,2009-05-03,1235.0
121,2009-05-10,1255.0
122,2009-05-17,1172.0
123,2009-05-24,1199.0
124,2009-05-31,1160.0
125,2009-06-07,1335.0
126,2009-06-14,1309.0
127,2009-06-21,1180.0
128,2009-06-28,1197.0
129,2009-07-05,1215.0
130,2009-07-12,1240.0
131,2009-07-19,1215.0
132,2009-07-26,1250.0
133,2009-08-02,1128.0
134,2009-08-09,1007.0
135,2009-08-16,1150.0
136,2009-08-23,1211.0
137,2009-08-30,1273.0
138,2009-09-06,1233.0
139,2009-09-13,1343.0
140,2009-09-20,1460.0
141,2009-09-27,1589.0
142,2009-10-04,1586.0
143,2009-10-11,1644.0
144,2009-10-18,1603.0
145,2009-10-25,1672.0
146,2009-11-01,1691.0
147,2009-11-08,1749.0
148,2009-11-15,1746.0
149,2009-11-22,1841.0
150,2009-11-29,1951.0
151,2009-12-06,1879.0
152,2009-12-13,1695.0
153,2009-12-20,1674.0
154,2009-12-27,1522.0
155,2010-01-03,1221.0
156,2010-01-10,1149.0
157,2010-01-17,1190.0
158,2010-01-24,1175.0
159,2010-01-31,1254.0
160,2010-02-07,1374.0
161,2010-02-14,1519.0
162,2010-02-21,1542.0
163,2010-02-28,1578.0
164,2010-03-07,1703.0
165,2010-03-14,1730.0
166,2010-03-21,1721.0
167,2010-03-28,1779.0
168,2010-04-04,1908.0
169,2010-04-11,1922.0
170,2010-04-18,2069.0
171,2010-04-25,2092.0
172,2010-05-02,1995.0
173,2010-05-09,2026.0
174,2010-05-16,2134.0
175,2010-05-23,2123.0
176,2010-05-30,2025.0
177,2010-06-06,1984.0
178,2010-06-13,1930.0
179,2010-06-20,1941.0
180,2010-06-27,1964.0
181,2010-07-04,2130.0
182,2010-07-11,2191.0
183,2010-07-18,2110.0
184,2010-07-25,2119.0
185,2010-08-01,2000.0
186,2010-08-08,1933.0
187,2010-08-15,1972.0
188,2010-08-22,2081.0
189,2010-08-29,2150.0
190,2010-09-05,2184.0
191,2010-09-12,2535.0
192,2010-09-19,2591.0
193,2010-09-26,2621.0
194,2010-10-03,2553.0
195,2010-10-10,2632.0
196,2010-10-17,2530.0
197,2010-10-24,2590.0
198,2010-10-31,2597.0
199,2010-11-07,2719.0
200,2010-11-14,2731.0
201,2010-11-21,2825.0
202,2010-11-28,2836.0
203,2010-12-05,2699.0
204,2010-12-12,2618.0
205,2010-12-19,2440.0
206,2010-12-26,2386.0
207,2011-01-02,2082.0
208,2011-01-09,1886.0
209,2011-01-16,1986.0
210,2011-01-23,2068.0
211,2011-01-30,2079.0
212,2011-02-06,2158.0
213,2011-02-13,2259.0
214,2011-02-20,2338.0
215,2011-02-27,2286.0
216,2011-03-06,2255.0
217,2011-03-13,2243.0
218,2011-03-20,2171.0
219,2011-03-27,2173.0
220,2011-04-03,2112.0
221,2011-04-10,2106.0
222,2011-04-17,2301.0
223,2011-04-24,2344.0
224,2011-05-01,2081.0
225,2011-05-08,2132.0
226,2011-05-15,2053.0
227,2011-05-22,2051.0
228,2011-05-29,2063.0
229,2011-06-05,2046.0
230,2011-06-12,2038.0
231,2011-06-19,2157.0
232,2011-06-26,2148.0
233,2011-07-03,2095.0
234,2011-07-10,2128.0
235,2011-07-17,2173.0
236,2011-07-24,2149.0
237,2011-07-31,1968.0
238,2011-08-07,1820.0
239,2011-08-14,1776.0
240,2011-08-21,1871.0
241,2011-08-28,1926.0
242,2011-09-04,2041.0
243,2011-09-11,2012.0
244,2011-09-18,2164.0
245,2011-09-25,2267.0
246,2011-10-02,2307.0
247,2011-10-09,2363.0
248,2011-10-16,2263.0
249,2011-10-23,2192.0
250,2011-10-30,2402.0
251,2011-11-06,2368.0
252,2011-11-13,2353.0
253,2011-11-20,2390.0
254,2011-11-27,2446.0
255,2011-12-04,2413.0
256,2011-12-11,2320.0
257,2011-12-18,2239.0
258,2011-12-25,2249.0
259,2012-01-01,2147.0
260,2012-01-08,1860.0
261,2012-01-15,1941.0
262,2012-01-22,2061.0
263,2012-01-29,1995.0
264,2012-02-05,2030.0
265,2012-02-12,1991.0
266,2012-02-19,1951.0
267,2012-02-26,2028.0
268,2012-03-04,2188.0
269,2012-03-11,2253.0
270,2012-03-18,2303.0
271,2012-03-25,2228.0
272,2012-04-01,2188.0
273,2012-04-08,2233.0
274,2012-04-15,2331.0
275,2012-04-22,2304.0
276,2012-04-29,2286.0
277,2012-05-06,2307.0
278,2012-05-13,2346.0
279,2012-05-20,2367.0
280,2012-05-27,2402.0
281,2012-06-03,2512.0
282,2012-06-10,2550.0
283,2012-06-17,2536.0
284,2012-06-24,2647.0
285,2012-07-01,2652.0
286,2012-07-08,2619.0
287,2012-07-15,2617.0
288,2012-07-22,2571.0
289,2012-07-29,2489.0
290,2012-08-05,2248.0
291,2012-08-12,2279.0
292,2012-08-19,2501.0
293,2012-08-26,2585.0
294,2012-09-02,2647.0
295,2012-09-09,2729.0
296,2012-09-16,2668.0
297,2012-09-23,2693.0
298,2012-09-30,2664.0
299,2012-10-07,2726.0
300,2012-10-14,2689.0
301,2012-10-21,2704.0
302,2012-10-28,2767.0
303,2012-11-04,2701.0
304,2012-11-11,2605.0
305,2012-11-18,2613.0
306,2012-11-25,2519.0
307,2012-12-02,2395.0
308,2012-12-09,2396.0
309,2012-12-16,2361.0
310,2012-12-23,2286.0
311,2012-12-30,2262.0
312,2013-01-06,1843.0
313,2013-01-13,2159.0
314,2013-01-20,2051.0
315,2013-01-27,2055.0
316,2013-02-03,2071.0
317,2013-02-10,2220.0
318,2013-02-17,2225.0
319,2013-02-24,2276.0
320,2013-03-03,2382.0
321,2013-03-10,2386.0
322,2013-03-17,2505.0
323,2013-03-24,2658.0
324,2013-03-31,2734.0
325,2013-04-07,2725.0
326,2013-04-14,2761.0
327,2013-04-21,2924.0
328,2013-04-28,2847.0
329,2013-05-05,2624.0
330,2013-05-12,2545.0
331,2013-05-19,2561.0
332,2013-05-26,2655.0
333,2013-06-02,2692.0
334,2013-06-09,2678.0
335,2013-06-16,2661.0
336,2013-06-23,2634.0
337,2013-06-30,2729.0
338,2013-07-07,2701.0
339,2013-07-14,2665.0
340,2013-07-21,2602.0
341,2013-07-28,2615.0
342,2013-08-04,2541.0
343,2013-08-11,2338.0
344,2013-08-18,2299.0
345,2013-08-25,2425.0
346,2013-09-01,2512.0
347,2013-09-08,2691.0
348,2013-09-15,2635.0
349,2013-09-22,2588.0
350,2013-09-29,2680.0
351,2013-10-06,2728.0
352,2013-10-13,2752.0
353,2013-10-20,2613.0
354,2013-10-27,2794.0
355,2013-11-03,2842.0
356,2013-11-10,2796.0
357,2013-11-17,2788.0
358,2013-11-24,2837.0
359,2013-12-01,2791.0
360,2013-12-08,2888.0
361,2013-12-15,2837.0
362,2013-12-22,2782.0
363,2013-12-29,2561.0
364,2014-01-05,2188.0
365,2014-01-12,2210.0
366,2014-01-19,2321.0
367,2014-01-26,2422.0
368,2014-02-02,2423.0
369,2014-02-09,2439.0
370,2014-02-16,2467.0
371,2014-02-23,2477.0
372,2014-03-02,2397.0
373,2014-03-09,2356.0
374,2014-03-16,2432.0
375,2014-03-23,2474.0
376,2014-03-30,2483.0
377,2014-04-06,2506.0
378,2014-04-13,2505.0
379,2014-04-20,2548.0
380,2014-04-27,2469.0
381,2014-05-04,2410.0
382,2014-05-11,2482.0
383,2014-05-18,2471.0
384,2014-05-25,2493.0
385,2014-06-01,2531.0
386,2014-06-08,2528.0
387,2014-06-15,2697.0
388,2014-06-22,2662.0
389,2014-06-29,2675.0
390,2014-07-06,2598.0
391,2014-07-13,2549.0
392,2014-07-20,2670.0
393,2014-07-27,2611.0
394,2014-08-03,2538.0
395,2014-08-10,2406.0
396,2014-08-17,2307.0
397,2014-08-24,2336.0
398,2014-08-31,2531.0
399,2014-09-07,2505.0
400,2014-09-14,2651.0
401,2014-09-21,2675.0
402,2014-09-28,2678.0
403,2014-10-05,2721.0
404,2014-10-12,2754.0
405,2014-10-19,2661.0
406,2014-10-26,2719.0
407,2014-11-02,2630.0
408,2014-11-09,2617.0
409,2014-11-16,2530.0
410,2014-11-23,2524.0
411,2014-11-30,2556.0
412,2014-12-07,2493.0
413,2014-12-14,2513.0
414,2014-12-21,2504.0
415,2014-12-28,2407.0
416,2015-01-04,2103.0
417,2015-01-11,2010.0
418,2015-01-18,2136.0
419,2015-01-25,2221.0
420,2015-02-01,2218.0
421,2015-02-08,2297.0
422,2015-02-15,2340.0
423,2015-02-22,2335.0
424,2015-03-01,2389.0
425,2015-03-08,2444.0
426,2015-03-15,2493.0
427,2015-03-22,2507.0
428,2015-03-29,2512.0
429,2015-04-05,2590.0
430,2015-04-12,2576.0
431,2015-04-19,2654.0
432,2015-04-26,2751.0
433,2015-05-03,2639.0
434,2015-05-10,2567.0
435,2015-05-17,2542.0
436,2015-05-24,2537.0
437,2015-05-31,2556.0
438,2015-06-07,2528.0
439,2015-06-14,2466.0
440,2015-06-21,2457.0
441,2015-06-28,2422.0
442,2015-07-05,2332.0
443,2015-07-12,2205.0
444,2015-07-19,2098.0
445,2015-07-26,2074.0
446,2015-08-02,2036.0
