,End_Order,End_Datum,Ret_Aantal
2490318,491520,02-10-2020,1.0
222788,327686,07-05-2010,1.0
261045,327686,29-10-2010,1.0
1467973,417799,05-01-2018,2.0
1467984,417799,05-01-2018,1.0
1933370,417799,15-02-2019,1.0
373826,344070,02-02-2012,2.0
1802892,450569,25-02-2019,1.0
1361036,417804,07-09-2017,3.0
1361038,417804,07-09-2017,3.0
1389073,417804,16-10-2017,1.0
640744,360461,27-02-2014,1.0
375212,344088,13-01-2012,11.0
375221,344088,13-01-2012,9.0
577281,360486,27-09-2013,1.0
577297,360486,27-09-2013,1.0
2046240,466991,16-09-2019,2.0
2046261,466991,16-09-2019,1.0
63605,311348,22-04-2008,1.0
2714527,491578,26-03-2021,1.0
1213608,401476,29-12-2016,
2457408,491589,06-09-2020,2.0
682063,368720,10-06-2014,2.0
479262,352338,12-12-2012,2.0
479278,352338,12-12-2012,2.0
1450592,426067,28-04-2017,1.0
2447978,491611,18-09-2020,1.0
581984,360540,18-10-2013,2.0
798575,376932,07-01-2015,2.0
2615739,499813,18-12-2020,1.0
2615747,499813,18-12-2020,1.0
2599395,499813,08-12-2020,1.0
2599397,499813,08-12-2020,1.0
292330,335974,14-03-2011,
903427,385126,13-08-2015,1.0
3022345,524392,15-12-2021,1.0
415417,344170,14-06-2012,2.0
408029,344170,04-06-2012,1.0
422034,344170,18-06-2012,1.0
1804401,450670,29-01-2019,1.0
2882552,516211,30-07-2021,1.0
2882579,516211,30-07-2021,1.0
3022786,524418,13-12-2021,2.0
3022812,524418,13-12-2021,2.0
2060767,467077,22-09-2019,1.0
683333,368774,03-06-2014,1.0
683406,368778,03-06-2014,1.0
683430,368778,04-06-2014,1.0
683437,368789,10-06-2014,11.0
695849,368794,06-06-2014,1.0
475311,352412,30-11-2012,1.0
475312,352412,30-11-2012,1.0
281576,336029,16-02-2011,1.0
203542,327840,15-03-2010,2.0
13299,303268,25-05-2007,1.0
16674,303268,25-06-2007,1.0
473989,352423,07-12-2012,1.0
385924,344236,13-03-2012,3.0
807957,377012,02-02-2015,
807964,377012,02-02-2015,1.0
814745,377012,17-02-2015,1.0
814748,377012,17-02-2015,1.0
1919913,458948,17-05-2019,1.0
14806,303306,06-06-2007,1.0
1013323,393425,10-04-2016,1.0
1013686,393425,10-04-2016,2.0
1013898,393425,10-04-2016,1.0
1014406,393425,10-04-2016,1.0
1014536,393425,10-04-2016,2.0
1014999,393425,10-04-2016,2.0
1237936,409809,30-03-2017,2.0
1344175,418009,09-08-2017,2.0
1344323,418011,09-08-2017,1.0
1344376,418012,09-08-2017,1.0
1341112,418019,01-08-2017,1.0
1363446,418019,08-09-2017,4.0
1394056,418019,13-10-2017,1.0
1394058,418019,13-10-2017,3.0
1394069,418019,13-10-2017,2.0
1117245,385256,16-09-2016,2.0
2096541,467200,23-10-2019,2.0
137858,319749,24-04-2009,1.0
2189632,475399,15-01-2020,1.0
141597,319757,15-05-2009,2.0
2372260,483598,25-06-2020,1.0
1010902,393487,14-03-2016,1.0
1349328,418067,17-08-2017,2.0
1349354,418067,17-08-2017,1.0
1349416,418067,17-08-2017,2.0
1349430,418067,17-08-2017,1.0
18312,303385,25-06-2007,12.0
599969,360732,04-11-2013,1.0
582348,360742,28-10-2013,1.0
582378,360742,28-10-2013,1.0
594280,360742,24-10-2013,3.0
3026342,524584,21-12-2021,2.0
2481950,491819,26-09-2020,2.0
2481974,491819,26-09-2020,1.0
1180712,401708,23-12-2016,2.0
70054,311601,02-06-2008,5.0
1957149,459060,18-06-2019,2.0
376201,344376,25-01-2012,4.0
3026711,524603,24-11-2021,1.0
69079,311614,22-05-2008,6.0
1143569,401730,01-11-2016,1.0
1945554,459079,07-06-2019,1.0
1984750,459079,12-07-2019,1.0
715990,368981,20-07-2014,1.0
2370225,483673,26-06-2020,2.0
690405,368987,13-06-2014,2.0
1862874,450918,09-04-2019,2.0
805707,377193,26-01-2015,1.0
80522,311661,16-07-2008,1.0
80535,311661,16-07-2008,1.0
376840,344435,25-01-2012,1.0
133784,319864,16-04-2009,1.0
133806,319864,16-04-2009,1.0
133809,319864,16-04-2009,1.0
1340001,418172,11-08-2017,2.0
206083,328061,19-03-2010,4.0
206204,328062,01-04-2010,2.0
1682676,442750,15-10-2018,1.0
133882,319881,09-04-2009,1.0
1339731,418211,21-08-2017,1.0
66822,311720,23-05-2008,3.0
66832,311720,23-05-2008,1.0
68244,311721,02-06-2008,1.0
2094322,467376,24-10-2019,2.0
2568957,491952,18-11-2020,2.0
582430,360883,09-10-2013,1.0
