,Ing_Order,Ing_Datum,Ing_Aantal
2586660,491520,03-09-2020,1.0
265409,327686,19-04-2010,1.0
316324,327686,25-10-2010,1.0
1466392,417799,21-08-2017,1.0
1449876,417799,04-08-2017,2.0
1460621,417799,09-08-2017,1.0
435721,344070,10-01-2012,2.0
1925699,450569,17-01-2019,1.0
1449973,417804,25-07-2017,4.0
1450003,417804,25-07-2017,3.0
660469,360461,20-09-2013,1.0
436138,344088,09-01-2012,9.0
436537,344088,09-01-2012,11.0
660675,360486,24-09-2013,1.0
660721,360486,24-09-2013,1.0
2181725,466991,13-09-2019,2.0
2181733,466991,13-09-2019,1.0
87314,311348,22-04-2008,1.0
2590306,491578,31-08-2020,1.0
1223025,401476,19-09-2016,2.0
2594877,491589,04-09-2020,2.0
770545,368720,03-06-2014,2.0
550729,352338,06-12-2012,2.0
550735,352338,06-12-2012,2.0
1571930,426067,18-04-2017,1.0
2588406,491611,16-09-2020,1.0
665523,360540,04-10-2013,2.0
886231,376932,05-01-2015,2.0
2736274,499813,08-12-2020,2.0
2736275,499813,08-12-2020,2.0
336778,335974,02-02-2011,1.0
999459,385126,13-08-2015,1.0
3159505,524392,13-12-2021,1.0
437202,344170,16-01-2011,1.0
437215,344170,16-01-2011,1.0
438318,344170,13-01-2012,2.0
1927215,450670,18-01-2019,1.0
3016800,516211,26-07-2021,1.0
3016803,516211,26-07-2021,1.0
3159725,524418,10-12-2021,2.0
3159745,524418,10-12-2021,2.0
2183172,467077,13-09-2019,1.0
771538,368774,28-05-2014,1.0
771695,368778,26-05-2014,1.0
771716,368778,03-06-2014,1.0
3017308,516237,20-08-2021,1.0
771748,368789,04-06-2014,11.0
771973,368794,28-05-2014,1.0
547092,352412,29-11-2012,1.0
547099,352412,29-11-2012,1.0
337315,336029,16-02-2011,1.0
167041,319646,01-04-2009,1.0
251097,327840,13-03-2010,2.0
22233,303268,21-05-2007,1.0
23372,303268,29-05-2007,1.0
547288,352423,03-12-2012,1.0
437973,344236,13-01-2012,3.0
888952,377012,09-01-2015,1.0
888957,377012,12-01-2015,1.0
903547,377012,11-02-2015,1.0
903564,377012,11-02-2015,1.0
2052368,458948,17-05-2019,1.0
22449,303306,21-05-2007,1.0
1115335,393425,05-04-2016,1.0
1115598,393425,05-04-2016,2.0
1115713,393425,05-04-2016,1.0
1116253,393425,05-04-2016,1.0
1116414,393425,05-04-2016,2.0
1116818,393425,05-04-2016,2.0
1334781,409809,14-03-2017,2.0
1452448,418009,04-08-2017,2.0
1452621,418011,04-08-2017,1.0
1452693,418012,04-08-2017,1.0
1453127,418019,31-07-2017,1.0
1453133,418019,31-07-2017,7.0
1454889,418019,31-07-2017,3.0
1001941,385256,28-08-2015,2.0
2206431,467200,03-10-2019,2.0
167353,319749,03-04-2009,1.0
2319281,475399,13-01-2020,1.0
172450,319757,23-04-2009,2.0
2449070,483598,07-05-2020,1.0
1113377,393487,14-03-2016,1.0
1458487,418067,04-08-2017,2.0
1458488,418067,04-08-2017,1.0
1458496,418067,04-08-2017,1.0
1453954,418067,01-08-2017,2.0
22937,303385,23-05-2007,12.0
663925,360732,30-09-2013,1.0
664080,360742,02-10-2013,4.0
664106,360742,02-10-2013,1.0
3161992,524584,17-12-2021,2.0
2592024,491819,05-09-2020,2.0
