,Date,Net_week_art
0,2007-01-14,11.0
1,2007-01-21,6.0
2,2007-01-28,6.0
3,2007-02-04,3.0
4,2007-02-11,3.0
5,2007-02-18,2.0
6,2007-02-25,2.0
7,2007-03-04,2.0
8,2007-03-11,1.0
9,2007-03-18,5.0
10,2007-03-25,5.0
11,2007-04-01,6.0
12,2007-04-08,8.0
13,2007-04-15,11.0
14,2007-04-22,14.0
15,2007-04-29,22.0
16,2007-05-06,24.0
17,2007-05-13,25.0
18,2007-05-20,25.0
19,2007-05-27,25.0
20,2007-06-03,39.0
21,2007-06-10,39.0
22,2007-06-17,36.0
23,2007-06-24,26.0
24,2007-07-01,26.0
25,2007-07-08,25.0
26,2007-07-15,11.0
27,2007-07-22,11.0
28,2007-07-29,11.0
29,2007-08-05,12.0
30,2007-08-12,11.0
31,2007-08-19,11.0
32,2007-08-26,16.0
33,2007-09-02,22.0
34,2007-09-09,28.0
35,2007-09-16,27.0
36,2007-09-23,24.0
37,2007-09-30,17.0
38,2007-10-07,18.0
39,2007-10-14,17.0
40,2007-10-21,17.0
41,2007-10-28,17.0
42,2007-11-04,33.0
43,2007-11-11,29.0
44,2007-11-18,16.0
45,2007-11-25,13.0
46,2007-12-02,15.0
47,2007-12-09,18.0
48,2007-12-16,18.0
49,2007-12-23,18.0
50,2007-12-30,18.0
51,2008-01-06,11.0
52,2008-01-13,11.0
53,2008-01-20,11.0
54,2008-01-27,11.0
55,2008-02-03,11.0
56,2008-02-10,16.0
57,2008-02-17,18.0
58,2008-02-24,15.0
59,2008-03-02,17.0
60,2008-03-09,17.0
61,2008-03-16,26.0
62,2008-03-23,21.0
63,2008-03-30,21.0
64,2008-04-06,17.0
65,2008-04-13,16.0
66,2008-04-20,16.0
67,2008-04-27,27.0
68,2008-05-04,28.0
69,2008-05-11,28.0
70,2008-05-18,26.0
71,2008-05-25,33.0
72,2008-06-01,42.0
73,2008-06-08,34.0
74,2008-06-15,32.0
75,2008-06-22,26.0
76,2008-06-29,26.0
77,2008-07-06,26.0
78,2008-07-13,24.0
79,2008-07-20,24.0
80,2008-07-27,19.0
81,2008-08-03,16.0
82,2008-08-10,16.0
83,2008-08-17,13.0
84,2008-08-24,13.0
85,2008-08-31,18.0
86,2008-09-07,27.0
87,2008-09-14,24.0
88,2008-09-21,23.0
89,2008-09-28,24.0
90,2008-10-05,29.0
91,2008-10-12,29.0
92,2008-10-19,33.0
93,2008-10-26,31.0
94,2008-11-02,30.0
95,2008-11-09,34.0
96,2008-11-16,33.0
97,2008-11-23,35.0
98,2008-11-30,34.0
99,2008-12-07,23.0
100,2008-12-14,31.0
101,2008-12-21,20.0
102,2008-12-28,22.0
103,2009-01-04,14.0
104,2009-01-11,11.0
105,2009-01-18,15.0
106,2009-01-25,16.0
107,2009-02-01,17.0
108,2009-02-08,14.0
109,2009-02-15,18.0
110,2009-02-22,23.0
111,2009-03-01,24.0
112,2009-03-08,26.0
113,2009-03-15,18.0
114,2009-03-22,22.0
115,2009-03-29,27.0
116,2009-04-05,23.0
117,2009-04-12,31.0
118,2009-04-19,30.0
119,2009-04-26,21.0
120,2009-05-03,35.0
121,2009-05-10,30.0
122,2009-05-17,23.0
123,2009-05-24,28.0
124,2009-05-31,18.0
125,2009-06-07,27.0
126,2009-06-14,27.0
127,2009-06-21,21.0
128,2009-06-28,21.0
129,2009-07-05,21.0
130,2009-07-12,18.0
131,2009-07-19,17.0
132,2009-07-26,20.0
133,2009-08-02,21.0
134,2009-08-09,23.0
135,2009-08-16,20.0
136,2009-08-23,21.0
137,2009-08-30,26.0
138,2009-09-06,34.0
139,2009-09-13,34.0
140,2009-09-20,34.0
141,2009-09-27,35.0
142,2009-10-04,38.0
143,2009-10-11,33.0
144,2009-10-18,34.0
145,2009-10-25,37.0
146,2009-11-01,39.0
147,2009-11-08,39.0
148,2009-11-15,31.0
149,2009-11-22,32.0
150,2009-11-29,29.0
151,2009-12-06,27.0
152,2009-12-13,28.0
153,2009-12-20,29.0
154,2009-12-27,32.0
155,2010-01-03,35.0
156,2010-01-10,35.0
157,2010-01-17,38.0
158,2010-01-24,43.0
159,2010-01-31,39.0
160,2010-02-07,27.0
161,2010-02-14,28.0
162,2010-02-21,30.0
163,2010-02-28,36.0
164,2010-03-07,31.0
165,2010-03-14,30.0
166,2010-03-21,30.0
167,2010-03-28,33.0
168,2010-04-04,37.0
169,2010-04-11,44.0
170,2010-04-18,55.0
171,2010-04-25,54.0
172,2010-05-02,47.0
173,2010-05-09,50.0
174,2010-05-16,49.0
175,2010-05-23,46.0
176,2010-05-30,55.0
177,2010-06-06,60.0
178,2010-06-13,48.0
179,2010-06-20,45.0
180,2010-06-27,38.0
181,2010-07-04,35.0
182,2010-07-11,41.0
183,2010-07-18,41.0
184,2010-07-25,36.0
185,2010-08-01,38.0
186,2010-08-08,37.0
187,2010-08-15,35.0
188,2010-08-22,27.0
189,2010-08-29,35.0
190,2010-09-05,34.0
191,2010-09-12,32.0
192,2010-09-19,37.0
193,2010-09-26,42.0
194,2010-10-03,39.0
195,2010-10-10,38.0
196,2010-10-17,37.0
197,2010-10-24,38.0
198,2010-10-31,53.0
199,2010-11-07,56.0
200,2010-11-14,57.0
201,2010-11-21,56.0
202,2010-11-28,53.0
203,2010-12-05,72.0
204,2010-12-12,70.0
205,2010-12-19,68.0
206,2010-12-26,61.0
207,2011-01-02,41.0
208,2011-01-09,41.0
209,2011-01-16,48.0
210,2011-01-23,48.0
211,2011-01-30,48.0
212,2011-02-06,48.0
213,2011-02-13,49.0
214,2011-02-20,49.0
215,2011-02-27,50.0
216,2011-03-06,46.0
217,2011-03-13,51.0
218,2011-03-20,48.0
219,2011-03-27,50.0
220,2011-04-03,43.0
221,2011-04-10,42.0
222,2011-04-17,52.0
223,2011-04-24,54.0
224,2011-05-01,45.0
225,2011-05-08,52.0
226,2011-05-15,56.0
227,2011-05-22,56.0
228,2011-05-29,60.0
229,2011-06-05,48.0
230,2011-06-12,47.0
231,2011-06-19,47.0
232,2011-06-26,47.0
233,2011-07-03,44.0
234,2011-07-10,43.0
235,2011-07-17,47.0
236,2011-07-24,47.0
237,2011-07-31,43.0
238,2011-08-07,38.0
239,2011-08-14,39.0
240,2011-08-21,47.0
241,2011-08-28,49.0
242,2011-09-04,49.0
243,2011-09-11,45.0
244,2011-09-18,51.0
245,2011-09-25,50.0
246,2011-10-02,55.0
247,2011-10-09,57.0
248,2011-10-16,64.0
249,2011-10-23,58.0
