,Date,Net_daily_art
0,2007-01-01,120.0
1,2007-01-02,120.0
2,2007-01-03,124.0
3,2007-01-04,124.0
4,2007-01-05,124.0
5,2007-01-06,124.0
6,2007-01-07,124.0
7,2007-01-08,127.0
8,2007-01-09,141.0
9,2007-01-10,141.0
10,2007-01-11,139.0
11,2007-01-12,155.0
12,2007-01-13,151.0
13,2007-01-14,149.0
14,2007-01-15,165.0
15,2007-01-16,147.0
16,2007-01-17,148.0
17,2007-01-18,137.0
18,2007-01-19,138.0
19,2007-01-20,142.0
20,2007-01-21,142.0
21,2007-01-22,154.0
22,2007-01-23,151.0
23,2007-01-24,158.0
24,2007-01-25,160.0
25,2007-01-26,158.0
26,2007-01-27,156.0
27,2007-01-28,158.0
28,2007-01-29,166.0
29,2007-01-30,165.0
30,2007-01-31,161.0
31,2007-02-01,166.0
32,2007-02-02,166.0
33,2007-02-03,144.0
34,2007-02-04,146.0
35,2007-02-05,150.0
36,2007-02-06,150.0
37,2007-02-07,146.0
38,2007-02-08,144.0
39,2007-02-09,146.0
40,2007-02-10,129.0
41,2007-02-11,129.0
42,2007-02-12,137.0
43,2007-02-13,151.0
44,2007-02-14,153.0
45,2007-02-15,140.0
46,2007-02-16,157.0
47,2007-02-17,146.0
48,2007-02-18,146.0
49,2007-02-19,149.0
50,2007-02-20,152.0
51,2007-02-21,152.0
52,2007-02-22,155.0
53,2007-02-23,163.0
54,2007-02-24,141.0
55,2007-02-25,141.0
56,2007-02-26,149.0
57,2007-02-27,133.0
58,2007-02-28,133.0
59,2007-03-01,131.0
60,2007-03-02,135.0
61,2007-03-03,125.0
62,2007-03-04,125.0
63,2007-03-05,131.0
64,2007-03-06,146.0
65,2007-03-07,146.0
66,2007-03-08,152.0
67,2007-03-09,145.0
68,2007-03-10,136.0
69,2007-03-11,136.0
70,2007-03-12,146.0
71,2007-03-13,144.0
72,2007-03-14,135.0
73,2007-03-15,156.0
74,2007-03-16,156.0
75,2007-03-17,144.0
76,2007-03-18,141.0
77,2007-03-19,161.0
78,2007-03-20,268.0
79,2007-03-21,267.0
80,2007-03-22,261.0
81,2007-03-23,264.0
82,2007-03-24,257.0
83,2007-03-25,257.0
84,2007-03-26,284.0
85,2007-03-27,287.0
86,2007-03-28,277.0
87,2007-03-29,268.0
88,2007-03-30,266.0
89,2007-03-31,253.0
90,2007-04-01,253.0
91,2007-04-02,261.0
92,2007-04-03,262.0
93,2007-04-04,264.0
94,2007-04-05,259.0
95,2007-04-06,248.0
96,2007-04-07,240.0
97,2007-04-08,240.0
98,2007-04-09,240.0
99,2007-04-10,250.0
100,2007-04-11,286.0
101,2007-04-12,281.0
102,2007-04-13,313.0
103,2007-04-14,295.0
104,2007-04-15,293.0
105,2007-04-16,309.0
106,2007-04-17,323.0
107,2007-04-18,308.0
108,2007-04-19,306.0
109,2007-04-20,311.0
110,2007-04-21,298.0
111,2007-04-22,298.0
112,2007-04-23,318.0
113,2007-04-24,331.0
114,2007-04-25,356.0
115,2007-04-26,370.0
116,2007-04-27,358.0
117,2007-04-28,334.0
118,2007-04-29,334.0
119,2007-04-30,334.0
120,2007-05-01,354.0
121,2007-05-02,361.0
122,2007-05-03,361.0
123,2007-05-04,360.0
124,2007-05-05,351.0
125,2007-05-06,357.0
126,2007-05-07,368.0
127,2007-05-08,361.0
128,2007-05-09,366.0
129,2007-05-10,370.0
130,2007-05-11,369.0
131,2007-05-12,347.0
132,2007-05-13,347.0
133,2007-05-14,347.0
134,2007-05-15,334.0
135,2007-05-16,322.0
136,2007-05-17,319.0
137,2007-05-18,319.0
138,2007-05-19,319.0
139,2007-05-20,319.0
140,2007-05-21,344.0
141,2007-05-22,335.0
142,2007-05-23,337.0
143,2007-05-24,344.0
144,2007-05-25,345.0
145,2007-05-26,335.0
146,2007-05-27,330.0
147,2007-05-28,328.0
148,2007-05-29,337.0
149,2007-05-30,346.0
150,2007-05-31,341.0
151,2007-06-01,351.0
152,2007-06-02,333.0
153,2007-06-03,333.0
154,2007-06-04,337.0
155,2007-06-05,339.0
156,2007-06-06,342.0
157,2007-06-07,332.0
158,2007-06-08,334.0
159,2007-06-09,307.0
160,2007-06-10,307.0
161,2007-06-11,317.0
162,2007-06-12,310.0
163,2007-06-13,310.0
164,2007-06-14,309.0
165,2007-06-15,301.0
166,2007-06-16,279.0
167,2007-06-17,279.0
168,2007-06-18,293.0
169,2007-06-19,286.0
170,2007-06-20,284.0
171,2007-06-21,270.0
172,2007-06-22,278.0
173,2007-06-23,262.0
174,2007-06-24,262.0
175,2007-06-25,295.0
176,2007-06-26,294.0
177,2007-06-27,310.0
178,2007-06-28,312.0
179,2007-06-29,312.0
180,2007-06-30,295.0
181,2007-07-01,284.0
182,2007-07-02,312.0
183,2007-07-03,300.0
184,2007-07-04,290.0
185,2007-07-05,288.0
186,2007-07-06,274.0
187,2007-07-07,267.0
188,2007-07-08,267.0
189,2007-07-09,294.0
190,2007-07-10,289.0
191,2007-07-11,295.0
192,2007-07-12,292.0
193,2007-07-13,275.0
194,2007-07-14,260.0
195,2007-07-15,260.0
196,2007-07-16,261.0
197,2007-07-17,267.0
198,2007-07-18,266.0
199,2007-07-19,263.0
200,2007-07-20,261.0
201,2007-07-21,246.0
202,2007-07-22,245.0
203,2007-07-23,251.0
204,2007-07-24,239.0
205,2007-07-25,239.0
206,2007-07-26,241.0
207,2007-07-27,243.0
208,2007-07-28,233.0
209,2007-07-29,233.0
210,2007-07-30,234.0
211,2007-07-31,223.0
212,2007-08-01,224.0
213,2007-08-02,231.0
214,2007-08-03,228.0
215,2007-08-04,224.0
216,2007-08-05,224.0
217,2007-08-06,231.0
218,2007-08-07,231.0
219,2007-08-08,234.0
220,2007-08-09,234.0
221,2007-08-10,236.0
