,End_Order,End_Datum,Ret_Aantal
3020251,524292,09-12-2021,1.0
3020254,524292,09-12-2021,2.0
3020266,524292,12-12-2021,1.0
3020276,524292,12-12-2021,2.0
1012190,393227,15-03-2016,1.0
3021029,524302,20-12-2021,2.0
1008767,393236,22-03-2016,1.0
3021098,524326,16-12-2021,2.0
3021194,524336,10-12-2021,1.0
3021201,524336,10-12-2021,2.0
1009246,393273,08-03-2016,1.0
1009249,393273,08-03-2016,4.0
3021697,524347,20-12-2021,2.0
3021377,524355,14-12-2021,2.0
1009265,393289,15-03-2016,2.0
1009268,393289,15-03-2016,2.0
3024152,524369,22-12-2021,3.0
3024162,524369,22-12-2021,9.0
1009312,393299,17-03-2016,4.0
1009350,393300,11-03-2016,14.0
1009362,393300,11-03-2016,4.0
1009373,393306,11-03-2016,1.0
1010158,393307,11-03-2016,4.0
1035960,393310,26-04-2016,1.0
1035975,393310,26-04-2016,2.0
1009438,393319,11-03-2016,3.0
1009431,393319,10-03-2016,2.0
1009434,393319,10-03-2016,2.0
1010612,393323,10-03-2016,2.0
3022608,524408,24-11-2021,2.0
3022665,524411,24-11-2021,1.0
1009666,393340,10-03-2016,1.0
1009670,393340,10-03-2016,4.0
3022822,524418,13-12-2021,2.0
3022890,524421,23-12-2021,3.0
3041534,524445,23-12-2021,5.0
3036692,524451,23-12-2021,3.0
1009963,393385,29-03-2016,1.0
3023848,524463,22-12-2021,1.0
3023878,524468,20-12-2021,2.0
1012895,393405,16-03-2016,2.0
1020833,393408,30-03-2016,4.0
1016460,393442,21-03-2016,1.0
1196740,393445,28-12-2016,4.0
1010494,393448,23-03-2016,3.0
1010520,393448,23-03-2016,1.0
3025139,524523,21-12-2021,2.0
3025208,524530,17-12-2021,4.0
1017690,393458,11-03-2016,2.0
3025232,524533,23-12-2021,2.0
1010790,393475,11-03-2016,2.0
1017225,393477,21-03-2016,5.0
1010862,393482,14-03-2016,16.0
1010889,393482,14-03-2016,8.0
3025842,524556,20-12-2021,4.0
3025863,524556,20-12-2021,4.0
1011145,393507,18-03-2016,2.0
