,Ing_Order,Ing_Datum,Ing_Aantal
3157484,524292,09-12-2021,1.0
3157491,524292,09-12-2021,2.0
3157543,524292,11-12-2021,1.0
3157551,524292,11-12-2021,2.0
1110431,393227,07-03-2016,1.0
3157753,524301,06-12-2021,3.0
3158232,524302,20-12-2021,2.0
1110507,393236,21-03-2016,1.0
3158249,524326,16-12-2021,2.0
3158400,524336,10-12-2021,1.0
3158403,524336,10-12-2021,2.0
1110808,393273,07-03-2016,1.0
1110819,393273,07-03-2016,4.0
3158961,524347,16-12-2021,2.0
3158726,524355,13-12-2021,2.0
1110904,393289,14-03-2016,2.0
1110914,393289,14-03-2016,2.0
3158953,524367,03-12-2021,3.0
3160562,524369,22-12-2021,3.0
3160569,524369,22-12-2021,9.0
1111000,393299,17-03-2016,4.0
1111023,393300,07-03-2016,4.0
1111027,393300,07-03-2016,14.0
1111051,393306,08-03-2016,1.0
1112182,393307,10-03-2016,4.0
1111154,393310,15-03-2016,1.0
1111161,393310,15-03-2016,2.0
1111203,393319,11-03-2016,3.0
1111193,393319,10-03-2016,2.0
1111200,393319,10-03-2016,2.0
1111288,393323,07-03-2016,2.0
3159637,524408,23-11-2021,2.0
3159650,524411,23-11-2021,1.0
1111628,393340,09-03-2016,4.0
1111634,393340,09-03-2016,1.0
3159710,524418,10-12-2021,2.0
3159803,524421,23-12-2021,3.0
3160244,524445,08-12-2021,5.0
3160325,524451,08-12-2021,3.0
1112099,393385,23-03-2016,1.0
3160531,524463,22-12-2021,1.0
3160538,524468,20-12-2021,2.0
1112213,393405,15-03-2016,2.0
1112239,393408,09-03-2016,4.0
1112558,393442,11-03-2016,1.0
1112674,393445,11-03-2016,4.0
1112757,393448,16-03-2016,3.0
1117716,393448,18-03-2016,1.0
3161106,524523,21-12-2021,2.0
3161178,524530,14-12-2021,4.0
1112876,393458,10-03-2016,2.0
3161271,524533,23-12-2021,2.0
1113145,393475,10-03-2016,2.0
1113156,393477,11-03-2016,5.0
1113242,393482,14-03-2016,16.0
1113274,393482,14-03-2016,8.0
3161650,524556,14-12-2021,4.0
3161654,524556,14-12-2021,4.0
1113626,393507,15-03-2016,2.0
3161999,524584,17-12-2021,3.0
3162055,524588,14-12-2021,3.0
3162616,524590,15-12-2021,1.0
3162634,524590,15-12-2021,4.0
3162350,524616,20-12-2021,2.0
3162354,524616,20-12-2021,2.0
3162429,524618,13-12-2021,8.0
3162793,524619,16-12-2021,4.0
3162559,524633,10-12-2021,2.0
3162755,524635,13-12-2021,2.0
1114457,393569,21-03-2016,4.0
3163648,524643,16-12-2021,3.0
1114498,393573,15-03-2016,2.0
1115871,393575,22-03-2016,2.0
3163237,524655,22-12-2021,1.0
1114562,393585,15-03-2016,8.0
1114584,393585,15-03-2016,16.0
1114727,393595,17-03-2016,2.0
1114808,393600,23-03-2016,2.0
3165490,524676,16-12-2021,2.0
1114970,393619,17-03-2016,13.0
1114985,393619,17-03-2016,4.0
1114998,393619,17-03-2016,1.0
1115011,393625,24-03-2016,2.0
1115074,393629,25-03-2016,1.0
1115097,393633,24-03-2016,2.0
1115185,393643,17-03-2016,2.0
1115207,393644,17-03-2016,2.0
1115234,393645,17-03-2016,2.0
1115463,393654,16-03-2016,2.0
1115559,393658,16-03-2016,1.0
1115835,393670,29-03-2016,2.0
1115857,393674,16-03-2016,2.0
1115861,393674,16-03-2016,2.0
1115933,393676,17-03-2016,5.0
3164966,524764,20-12-2021,2.0
3164970,524764,20-12-2021,2.0
3164951,524765,15-12-2021,2.0
1116117,393695,24-03-2016,2.0
1117149,393731,21-03-2016,2.0
1117504,393743,18-03-2016,10.0
1117591,393747,18-03-2016,1.0
3165633,524824,23-12-2021,2.0
1117941,393755,23-03-2016,2.0
1117740,393757,15-03-2016,8.0
1117843,393762,18-03-2016,5.0
1118045,393769,18-03-2016,1.0
1118077,393770,19-03-2016,2.0
3166024,524852,16-12-2021,1.0
3166039,524852,16-12-2021,2.0
1118467,393780,21-03-2016,2.0
3169306,524862,07-12-2021,3.0
1118187,393791,22-03-2016,4.0
1118287,393797,22-03-2016,5.0
1118585,393809,21-03-2016,3.0
1118589,393809,21-03-2016,2.0
1118599,393809,21-03-2016,4.0
3166860,524885,17-12-2021,12.0
3166640,524892,16-12-2021,4.0
1118662,393820,21-03-2016,2.0
3166691,524898,20-12-2021,2.0
3166702,524898,20-12-2021,2.0
1118723,393830,21-03-2016,2.0
1118943,393857,29-03-2016,1.0
1119006,393860,22-03-2016,1.0
1119022,393860,22-03-2016,2.0
1122376,393861,30-03-2016,5.0
1119244,393861,22-03-2016,2.0
1119257,393861,22-03-2016,5.0
1119060,393862,22-03-2016,6.0
3169273,524941,07-12-2021,4.0
3169283,524941,07-12-2021,4.0
3169322,524942,07-12-2021,3.0
1119331,393873,29-03-2016,3.0
3167309,524954,17-12-2021,4.0
3167332,524954,17-12-2021,5.0
1119514,393886,22-03-2016,1.0
1119533,393886,22-03-2016,2.0
1119542,393886,22-03-2016,2.0
1119560,393891,22-03-2016,2.0
1119572,393892,22-03-2016,1.0
1119621,393897,24-03-2016,2.0
1119662,393900,24-03-2016,6.0
1119707,393901,24-03-2016,5.0
1119784,393912,24-03-2016,1.0
1119912,393915,30-03-2016,1.0
1120004,393928,23-03-2016,2.0
1120154,393936,23-03-2016,4.0
1120156,393936,23-03-2016,2.0
1120185,393942,31-03-2016,4.0
1120206,393950,04-04-2016,2.0
1120249,393957,24-03-2016,4.0
1120265,393957,24-03-2016,1.0
1120287,393961,11-04-2016,2.0
1120300,393961,11-04-2016,2.0
1120314,393962,15-04-2016,3.0
1120327,393962,15-04-2016,1.0
1120369,393963,15-04-2016,4.0
1120384,393963,15-04-2016,3.0
1120401,393964,11-04-2016,9.0
1120413,393965,18-04-2016,2.0
1120416,393966,25-04-2016,1.0
1120893,393980,24-03-2016,2.0
1120907,393980,24-03-2016,4.0
3171229,525056,20-12-2021,2.0
1120711,393995,23-03-2016,2.0
1120799,393998,23-03-2016,2.0
3169810,525078,20-12-2021,4.0
3169832,525078,20-12-2021,1.0
1120994,394013,24-03-2016,4.0
1134450,394013,18-04-2016,3.0
1124812,394015,04-04-2016,2.0
1121972,394015,31-03-2016,2.0
1121146,394019,29-03-2016,3.0
1121587,394048,12-04-2016,4.0
1121598,394048,12-04-2016,2.0
1121604,394048,12-04-2016,2.0
1121644,394049,24-03-2016,2.0
1121756,394068,31-03-2016,2.0
1121818,394078,29-03-2016,2.0
1121927,394083,29-03-2016,3.0
3171332,525169,22-12-2021,1.0
3171336,525169,22-12-2021,2.0
1124478,394104,04-04-2016,1.0
1131346,394126,13-04-2016,2.0
1122422,394126,01-04-2016,2.0
1122434,394130,01-04-2016,1.0
1122446,394130,01-04-2016,2.0
