,Date,Net_week_art
0,2007-01-14,171.0
1,2007-01-21,155.0
2,2007-01-28,165.0
3,2007-02-04,160.0
4,2007-02-11,166.0
5,2007-02-18,150.0
6,2007-02-25,157.0
7,2007-03-04,163.0
8,2007-03-11,149.0
9,2007-03-18,152.0
10,2007-03-25,156.0
11,2007-04-01,268.0
12,2007-04-08,287.0
13,2007-04-15,264.0
14,2007-04-22,313.0
15,2007-04-29,323.0
16,2007-05-06,370.0
17,2007-05-13,361.0
18,2007-05-20,370.0
19,2007-05-27,347.0
20,2007-06-03,345.0
21,2007-06-10,351.0
22,2007-06-17,342.0
23,2007-06-24,317.0
24,2007-07-01,293.0
25,2007-07-08,312.0
26,2007-07-15,312.0
27,2007-07-22,295.0
28,2007-07-29,267.0
29,2007-08-05,251.0
30,2007-08-12,234.0
31,2007-08-19,236.0
32,2007-08-26,277.0
33,2007-09-02,332.0
34,2007-09-09,371.0
35,2007-09-16,363.0
36,2007-09-23,385.0
37,2007-09-30,393.0
38,2007-10-07,375.0
39,2007-10-14,370.0
40,2007-10-21,376.0
41,2007-10-28,367.0
42,2007-11-04,368.0
43,2007-11-11,367.0
44,2007-11-18,358.0
45,2007-11-25,345.0
46,2007-12-02,342.0
47,2007-12-09,341.0
48,2007-12-16,333.0
49,2007-12-23,333.0
50,2007-12-30,267.0
51,2008-01-06,175.0
52,2008-01-13,270.0
53,2008-01-20,203.0
54,2008-01-27,215.0
55,2008-02-03,250.0
56,2008-02-10,260.0
57,2008-02-17,256.0
58,2008-02-24,251.0
59,2008-03-02,250.0
60,2008-03-09,277.0
61,2008-03-16,328.0
62,2008-03-23,334.0
63,2008-03-30,325.0
64,2008-04-06,337.0
65,2008-04-13,344.0
66,2008-04-20,363.0
67,2008-04-27,376.0
68,2008-05-04,402.0
69,2008-05-11,378.0
70,2008-05-18,360.0
71,2008-05-25,381.0
72,2008-06-01,404.0
73,2008-06-08,420.0
74,2008-06-15,438.0
75,2008-06-22,472.0
76,2008-06-29,480.0
77,2008-07-06,488.0
78,2008-07-13,453.0
79,2008-07-20,445.0
80,2008-07-27,420.0
81,2008-08-03,414.0
82,2008-08-10,350.0
83,2008-08-17,313.0
84,2008-08-24,349.0
85,2008-08-31,387.0
86,2008-09-07,420.0
87,2008-09-14,426.0
88,2008-09-21,397.0
89,2008-09-28,417.0
90,2008-10-05,410.0
91,2008-10-12,396.0
92,2008-10-19,409.0
93,2008-10-26,424.0
94,2008-11-02,409.0
95,2008-11-09,414.0
96,2008-11-16,411.0
97,2008-11-23,406.0
98,2008-11-30,416.0
99,2008-12-07,435.0
100,2008-12-14,446.0
101,2008-12-21,474.0
102,2008-12-28,417.0
103,2009-01-04,279.0
104,2009-01-11,267.0
105,2009-01-18,313.0
106,2009-01-25,367.0
107,2009-02-01,368.0
108,2009-02-08,380.0
109,2009-02-15,379.0
110,2009-02-22,431.0
111,2009-03-01,427.0
112,2009-03-08,402.0
113,2009-03-15,412.0
114,2009-03-22,436.0
115,2009-03-29,465.0
116,2009-04-05,460.0
117,2009-04-12,447.0
118,2009-04-19,459.0
119,2009-04-26,461.0
120,2009-05-03,549.0
121,2009-05-10,497.0
122,2009-05-17,502.0
123,2009-05-24,525.0
124,2009-05-31,495.0
125,2009-06-07,501.0
126,2009-06-14,462.0
127,2009-06-21,485.0
128,2009-06-28,508.0
129,2009-07-05,497.0
130,2009-07-12,496.0
131,2009-07-19,514.0
132,2009-07-26,507.0
133,2009-08-02,442.0
134,2009-08-09,406.0
135,2009-08-16,418.0
136,2009-08-23,418.0
137,2009-08-30,459.0
138,2009-09-06,470.0
139,2009-09-13,544.0
140,2009-09-20,608.0
141,2009-09-27,634.0
142,2009-10-04,653.0
143,2009-10-11,568.0
144,2009-10-18,589.0
145,2009-10-25,582.0
146,2009-11-01,627.0
147,2009-11-08,623.0
148,2009-11-15,642.0
149,2009-11-22,694.0
150,2009-11-29,687.0
151,2009-12-06,712.0
152,2009-12-13,722.0
153,2009-12-20,760.0
154,2009-12-27,663.0
155,2010-01-03,512.0
156,2010-01-10,477.0
157,2010-01-17,510.0
158,2010-01-24,493.0
159,2010-01-31,590.0
160,2010-02-07,644.0
161,2010-02-14,616.0
162,2010-02-21,633.0
163,2010-02-28,670.0
164,2010-03-07,696.0
165,2010-03-14,686.0
166,2010-03-21,680.0
167,2010-03-28,670.0
168,2010-04-04,630.0
169,2010-04-11,625.0
170,2010-04-18,659.0
171,2010-04-25,656.0
172,2010-05-02,655.0
173,2010-05-09,643.0
174,2010-05-16,652.0
175,2010-05-23,653.0
176,2010-05-30,621.0
177,2010-06-06,607.0
178,2010-06-13,628.0
179,2010-06-20,656.0
180,2010-06-27,665.0
181,2010-07-04,546.0
182,2010-07-11,524.0
183,2010-07-18,508.0
184,2010-07-25,543.0
185,2010-08-01,519.0
186,2010-08-08,498.0
187,2010-08-15,492.0
188,2010-08-22,526.0
189,2010-08-29,575.0
190,2010-09-05,583.0
191,2010-09-12,637.0
192,2010-09-19,655.0
193,2010-09-26,653.0
194,2010-10-03,650.0
195,2010-10-10,649.0
196,2010-10-17,664.0
197,2010-10-24,761.0
198,2010-10-31,734.0
199,2010-11-07,750.0
200,2010-11-14,771.0
201,2010-11-21,782.0
202,2010-11-28,790.0
203,2010-12-05,775.0
204,2010-12-12,742.0
205,2010-12-19,615.0
206,2010-12-26,598.0
207,2011-01-02,521.0
208,2011-01-09,494.0
209,2011-01-16,531.0
210,2011-01-23,588.0
211,2011-01-30,588.0
212,2011-02-06,634.0
213,2011-02-13,641.0
214,2011-02-20,631.0
215,2011-02-27,615.0
216,2011-03-06,604.0
217,2011-03-13,613.0
218,2011-03-20,603.0
219,2011-03-27,603.0
220,2011-04-03,568.0
221,2011-04-10,568.0
222,2011-04-17,590.0
223,2011-04-24,558.0
224,2011-05-01,511.0
225,2011-05-08,543.0
226,2011-05-15,503.0
227,2011-05-22,521.0
228,2011-05-29,534.0
229,2011-06-05,539.0
230,2011-06-12,534.0
231,2011-06-19,515.0
232,2011-06-26,581.0
233,2011-07-03,582.0
234,2011-07-10,600.0
235,2011-07-17,602.0
236,2011-07-24,611.0
237,2011-07-31,538.0
238,2011-08-07,454.0
239,2011-08-14,437.0
240,2011-08-21,450.0
241,2011-08-28,529.0
242,2011-09-04,596.0
243,2011-09-11,583.0
244,2011-09-18,596.0
245,2011-09-25,601.0
246,2011-10-02,655.0
247,2011-10-09,644.0
248,2011-10-16,619.0
249,2011-10-23,641.0
250,2011-10-30,675.0
251,2011-11-06,677.0
252,2011-11-13,687.0
253,2011-11-20,741.0
254,2011-11-27,722.0
255,2011-12-04,683.0
256,2011-12-11,704.0
257,2011-12-18,688.0
258,2011-12-25,681.0
259,2012-01-01,619.0
260,2012-01-08,536.0
261,2012-01-15,597.0
262,2012-01-22,606.0
263,2012-01-29,616.0
264,2012-02-05,625.0
265,2012-02-12,624.0
266,2012-02-19,566.0
267,2012-02-26,684.0
268,2012-03-04,738.0
269,2012-03-11,761.0
270,2012-03-18,749.0
271,2012-03-25,781.0
272,2012-04-01,796.0
273,2012-04-08,812.0
274,2012-04-15,817.0
275,2012-04-22,785.0
276,2012-04-29,767.0
277,2012-05-06,742.0
278,2012-05-13,801.0
279,2012-05-20,831.0
280,2012-05-27,828.0
281,2012-06-03,750.0
282,2012-06-10,742.0
283,2012-06-17,767.0
284,2012-06-24,808.0
285,2012-07-01,785.0
286,2012-07-08,839.0
287,2012-07-15,836.0
288,2012-07-22,804.0
289,2012-07-29,775.0
290,2012-08-05,714.0
291,2012-08-12,709.0
292,2012-08-19,762.0
293,2012-08-26,782.0
294,2012-09-02,812.0
295,2012-09-09,781.0
296,2012-09-16,806.0
297,2012-09-23,806.0
298,2012-09-30,852.0
299,2012-10-07,856.0
300,2012-10-14,836.0
301,2012-10-21,833.0
302,2012-10-28,910.0
303,2012-11-04,941.0
304,2012-11-11,866.0
305,2012-11-18,887.0
306,2012-11-25,875.0
307,2012-12-02,844.0
308,2012-12-09,844.0
309,2012-12-16,821.0
310,2012-12-23,788.0
311,2012-12-30,758.0
312,2013-01-06,601.0
313,2013-01-13,725.0
314,2013-01-20,700.0
315,2013-01-27,730.0
316,2013-02-03,702.0
317,2013-02-10,760.0
318,2013-02-17,834.0
319,2013-02-24,816.0
320,2013-03-03,827.0
321,2013-03-10,836.0
322,2013-03-17,894.0
323,2013-03-24,941.0
324,2013-03-31,966.0
325,2013-04-07,956.0
326,2013-04-14,965.0
327,2013-04-21,1026.0
328,2013-04-28,1022.0
329,2013-05-05,950.0
330,2013-05-12,902.0
331,2013-05-19,896.0
332,2013-05-26,892.0
333,2013-06-02,911.0
334,2013-06-09,947.0
335,2013-06-16,961.0
336,2013-06-23,936.0
337,2013-06-30,925.0
338,2013-07-07,945.0
339,2013-07-14,985.0
340,2013-07-21,910.0
341,2013-07-28,902.0
342,2013-08-04,831.0
343,2013-08-11,792.0
344,2013-08-18,800.0
345,2013-08-25,860.0
346,2013-09-01,879.0
347,2013-09-08,895.0
348,2013-09-15,929.0
349,2013-09-22,954.0
350,2013-09-29,987.0
351,2013-10-06,987.0
352,2013-10-13,974.0
353,2013-10-20,963.0
354,2013-10-27,1012.0
355,2013-11-03,1045.0
356,2013-11-10,1015.0
357,2013-11-17,1042.0
358,2013-11-24,1098.0
359,2013-12-01,1041.0
360,2013-12-08,1123.0
361,2013-12-15,1069.0
362,2013-12-22,1058.0
363,2013-12-29,939.0
364,2014-01-05,742.0
365,2014-01-12,738.0
366,2014-01-19,817.0
367,2014-01-26,891.0
368,2014-02-02,878.0
369,2014-02-09,864.0
370,2014-02-16,880.0
371,2014-02-23,877.0
372,2014-03-02,830.0
373,2014-03-09,880.0
374,2014-03-16,905.0
375,2014-03-23,891.0
376,2014-03-30,890.0
377,2014-04-06,878.0
378,2014-04-13,973.0
379,2014-04-20,905.0
380,2014-04-27,813.0
381,2014-05-04,821.0
382,2014-05-11,836.0
383,2014-05-18,830.0
384,2014-05-25,829.0
385,2014-06-01,836.0
386,2014-06-08,861.0
387,2014-06-15,916.0
388,2014-06-22,949.0
389,2014-06-29,964.0
390,2014-07-06,961.0
391,2014-07-13,934.0
392,2014-07-20,920.0
393,2014-07-27,944.0
394,2014-08-03,874.0
395,2014-08-10,823.0
396,2014-08-17,821.0
397,2014-08-24,795.0
398,2014-08-31,857.0
399,2014-09-07,844.0
400,2014-09-14,803.0
401,2014-09-21,842.0
402,2014-09-28,873.0
403,2014-10-05,938.0
404,2014-10-12,976.0
405,2014-10-19,953.0
406,2014-10-26,1015.0
407,2014-11-02,999.0
408,2014-11-09,939.0
409,2014-11-16,859.0
410,2014-11-23,892.0
411,2014-11-30,881.0
412,2014-12-07,977.0
413,2014-12-14,987.0
414,2014-12-21,998.0
415,2014-12-28,904.0
416,2015-01-04,765.0
417,2015-01-11,696.0
418,2015-01-18,753.0
419,2015-01-25,811.0
420,2015-02-01,822.0
421,2015-02-08,823.0
422,2015-02-15,850.0
423,2015-02-22,846.0
424,2015-03-01,841.0
