,End_Order,End_Datum,Ret_Aantal
2490264,491520,02-10-2020,5.0
2480987,491520,23-09-2020,2.0
2446630,491521,17-09-2020,3.0
589012,360452,18-10-2013,20.0
222806,327686,07-05-2010,3.0
234445,327686,22-06-2010,12.0
261042,327686,29-10-2010,15.0
263010,327686,05-11-2010,8.0
264466,327686,18-11-2010,17.0
269628,327686,17-12-2010,8.0
576923,360475,23-09-2013,13.0
2036222,458780,03-09-2019,7.0
215735,327718,10-06-2010,5.0
577289,360486,27-09-2013,19.0
3021168,524330,10-12-2021,7.0
3030029,524330,14-12-2021,1.0
577333,360491,26-09-2013,12.0
244219,327734,16-08-2010,9.0
266487,327734,16-11-2010,8.0
337995,327734,27-05-2011,1.0
577397,360503,25-09-2013,6.0
208450,327744,17-03-2010,7.0
3021387,524355,14-12-2021,5.0
2457354,491589,06-09-2020,6.0
2457367,491589,06-09-2020,5.0
2457368,491589,06-09-2020,9.0
2457374,491589,06-09-2020,6.0
1467564,426057,22-12-2017,26.0
1450519,426067,28-04-2017,6.0
1450561,426067,28-04-2017,17.0
577846,360538,23-09-2013,6.0
2447973,491611,18-09-2020,1.0
581872,360540,18-10-2013,21.0
581885,360540,18-10-2013,10.0
581929,360540,18-10-2013,4.0
581991,360540,18-10-2013,17.0
279777,327773,31-12-2010,2.0
1035992,393310,26-04-2016,3.0
577893,360545,23-10-2013,2.0
3022601,524408,24-11-2021,2.0
3022655,524411,24-11-2021,7.0
578170,360574,22-10-2013,7.0
205586,327809,15-03-2010,15.0
203383,327815,23-04-2010,13.0
1919403,458902,11-06-2019,5.0
210769,327842,26-03-2010,8.0
3036652,524451,23-12-2021,4.0
3036666,524451,23-12-2021,1.0
3036668,524451,23-12-2021,3.0
1458605,426147,21-12-2017,13.0
1458642,426147,21-12-2017,12.0
578634,360611,30-09-2013,4.0
1009957,393385,29-03-2016,6.0
215234,327860,16-04-2010,3.0
215255,327860,16-04-2010,22.0
215259,327860,16-04-2010,8.0
215261,327860,16-04-2010,1.0
215303,327860,16-04-2010,2.0
215309,327860,16-04-2010,4.0
580967,360632,28-10-2013,2.0
580977,360632,28-10-2013,2.0
3023897,524475,20-12-2021,8.0
598444,360645,31-10-2013,6.0
1015118,393425,10-04-2016,6.0
1015211,393425,10-04-2016,1.0
1015305,393425,10-04-2016,2.0
1015307,393425,10-04-2016,4.0
1015310,393425,10-04-2016,12.0
1015311,393425,10-04-2016,3.0
1027118,393425,10-04-2016,9.0
579679,360662,30-09-2013,3.0
579703,360662,30-09-2013,6.0
579301,360664,08-10-2013,5.0
1452639,426213,13-12-2017,5.0
579656,360678,04-10-2013,14.0
1452905,426223,15-12-2017,10.0
1010638,393465,18-03-2016,5.0
1010643,393465,18-03-2016,5.0
223612,327932,21-05-2010,10.0
1093680,393481,05-08-2016,8.0
2450291,491786,09-10-2020,9.0
2450303,491786,09-10-2020,2.0
222880,327954,07-05-2010,3.0
581478,360730,04-10-2013,15.0
581529,360730,04-10-2013,7.0
1923379,459042,24-05-2019,12.0
1923403,459042,24-05-2019,13.0
1923406,459042,24-05-2019,14.0
3026363,524584,21-12-2021,5.0
208425,327977,18-03-2010,20.0
580578,360744,01-10-2013,6.0
2482023,491819,26-09-2020,5.0
2495720,491819,10-10-2020,7.0
2495748,491819,10-10-2020,10.0
2495752,491819,10-10-2020,3.0
3026450,524588,22-12-2021,3.0
3026452,524588,22-12-2021,2.0
3027295,524590,24-12-2021,2.0
3027316,524590,24-12-2021,2.0
1454030,426307,29-12-2017,6.0
1454047,426307,29-12-2017,5.0
1454171,426308,14-12-2017,3.0
1454185,426308,14-12-2017,3.0
624774,360771,30-12-2013,27.0
1454088,426310,20-12-2017,2.0
1945499,459079,07-06-2019,8.0
1945523,459079,07-06-2019,12.0
580843,360772,01-11-2013,4.0
1455079,426313,15-12-2017,18.0
1455100,426313,15-12-2017,13.0
1455102,426313,15-12-2017,13.0
1922169,459082,17-05-2019,2.0
1922171,459082,17-05-2019,2.0
3027418,524619,20-12-2021,36.0
582963,360795,17-10-2013,41.0
205835,328031,17-03-2010,4.0
1011898,393569,25-03-2016,11.0
1454406,426338,20-12-2017,7.0
1454421,426338,20-12-2017,12.0
3028747,524643,16-12-2021,3.0
2452151,491874,08-09-2020,2.0
2452153,491874,08-09-2020,4.0
2460073,491884,23-10-2020,8.0
3040458,524653,17-12-2021,2.0
3040461,524653,17-12-2021,10.0
1922505,459125,16-05-2019,14.0
1922535,459125,16-05-2019,12.0
581710,360826,08-10-2013,11.0
1012239,393595,29-03-2016,13.0
206104,328061,19-03-2010,3.0
206211,328062,01-04-2010,16.0
206155,328065,17-03-2010,5.0
3030897,524676,17-12-2021,12.0
3030928,524676,17-12-2021,11.0
582046,360842,28-10-2013,10.0
1012597,393633,01-04-2016,2.0
582231,360866,11-10-2013,3.0
582259,360866,11-10-2013,3.0
1937573,459171,31-05-2019,23.0
582310,360868,04-10-2013,5.0
1014716,393643,18-03-2016,8.0
1014737,393643,18-03-2016,7.0
2453772,491958,07-09-2020,10.0
2453798,491958,07-09-2020,5.0
593541,360887,23-10-2013,23.0
599346,360903,01-11-2013,13.0
629681,360907,17-01-2014,15.0
1026900,393681,06-04-2016,3.0
590172,360915,21-10-2013,3.0
594896,360915,28-10-2013,5.0
594934,360915,28-10-2013,13.0
594945,360915,28-10-2013,8.0
594969,360915,28-10-2013,3.0
601647,360915,11-11-2013,29.0
1456955,426460,19-12-2017,18.0
3030101,524765,16-12-2021,4.0
