,Ing_Order,Ing_Datum,Ing_Aantal
3157941,524288,03-12-2021,6.0
2586659,491520,03-09-2020,5.0
2586690,491520,03-09-2020,2.0
2586848,491521,15-09-2020,3.0
660254,360452,20-09-2013,20.0
265402,327686,19-04-2010,3.0
278887,327686,07-06-2010,12.0
318708,327686,01-11-2010,8.0
320378,327686,08-11-2010,17.0
316327,327686,25-10-2010,15.0
325420,327686,13-12-2010,8.0
660551,360475,20-09-2013,13.0
2052581,458780,13-05-2019,7.0
277932,327718,02-06-2010,5.0
660728,360486,24-09-2013,19.0
3158357,524330,08-12-2021,8.0
660850,360491,24-09-2013,12.0
249874,327734,05-03-2010,9.0
294791,327734,16-08-2010,9.0
660970,360503,24-09-2013,6.0
249973,327744,02-03-2010,7.0
3158738,524355,13-12-2021,5.0
2594837,491589,04-09-2020,6.0
2594842,491589,04-09-2020,5.0
2594858,491589,04-09-2020,9.0
2594903,491589,04-09-2020,6.0
1571599,426057,08-12-2017,26.0
1571956,426067,18-04-2017,17.0
1571960,426067,18-04-2017,6.0
661362,360538,23-09-2013,6.0
2588407,491611,16-09-2020,1.0
665448,360540,04-10-2013,10.0
665456,360540,04-10-2013,17.0
665496,360540,04-10-2013,4.0
665508,360540,04-10-2013,23.0
250306,327773,01-03-2010,2.0
1111114,393310,15-03-2016,3.0
661429,360545,25-09-2013,2.0
3159635,524408,23-11-2021,2.0
3159656,524411,23-11-2021,7.0
661859,360574,18-10-2013,7.0
253062,327809,12-03-2010,15.0
250798,327815,19-03-2010,13.0
2051819,458902,05-06-2019,5.0
251077,327842,09-03-2010,8.0
3160327,524451,08-12-2021,1.0
3169211,524451,08-12-2021,4.0
3169218,524451,08-12-2021,3.0
1572882,426147,12-12-2017,13.0
1572907,426147,12-12-2017,12.0
662300,360611,27-09-2013,4.0
1112108,393385,23-03-2016,6.0
251409,327860,19-03-2010,22.0
251456,327860,19-03-2010,8.0
253751,327860,19-03-2010,4.0
257063,327860,23-03-2010,3.0
257192,327860,23-03-2010,1.0
261205,327860,01-04-2010,2.0
663077,360632,27-09-2013,2.0
663102,360632,27-09-2013,2.0
3160598,524475,17-12-2021,8.0
662685,360645,01-10-2013,6.0
1116966,393425,05-04-2016,6.0
1117079,393425,05-04-2016,1.0
1117167,393425,05-04-2016,4.0
1117168,393425,05-04-2016,12.0
1117169,393425,05-04-2016,2.0
1117172,393425,05-04-2016,3.0
1117162,393425,06-04-2016,9.0
662991,360662,27-09-2013,3.0
663002,360662,27-09-2013,6.0
663015,360664,04-10-2013,5.0
1573561,426213,11-12-2017,5.0
663222,360678,27-09-2013,14.0
1573686,426223,15-12-2017,10.0
1112947,393465,17-03-2016,5.0
1112960,393465,17-03-2016,5.0
253336,327932,15-03-2010,10.0
1113282,393481,14-03-2016,8.0
2591770,491786,21-09-2020,2.0
2591776,491786,21-09-2020,9.0
252366,327954,09-03-2010,3.0
663900,360730,30-09-2013,7.0
663908,360730,30-09-2013,15.0
2056432,459042,24-05-2019,14.0
2056445,459042,24-05-2019,12.0
2056452,459042,24-05-2019,13.0
3162001,524584,17-12-2021,5.0
254840,327977,16-03-2010,20.0
664177,360744,01-10-2013,6.0
2592070,491819,05-09-2020,10.0
2592076,491819,05-09-2020,12.0
2626480,491819,26-09-2020,3.0
3162052,524588,14-12-2021,3.0
3162074,524588,14-12-2021,2.0
3162631,524590,15-12-2021,2.0
3162642,524590,15-12-2021,2.0
1574515,426307,28-12-2017,6.0
1574541,426307,28-12-2017,5.0
1574707,426308,12-12-2017,3.0
1574728,426308,12-12-2017,3.0
664495,360771,01-10-2013,27.0
1574640,426310,19-12-2017,2.0
2055190,459079,16-05-2019,12.0
2055222,459079,16-05-2019,8.0
664620,360772,29-10-2013,4.0
1575004,426313,15-12-2017,18.0
1575016,426313,15-12-2017,13.0
1575031,426313,15-12-2017,13.0
2054773,459082,16-05-2019,2.0
2054781,459082,16-05-2019,2.0
3162767,524619,16-12-2021,36.0
665361,360795,14-10-2013,41.0
253493,328031,17-03-2010,4.0
1114462,393569,21-03-2016,11.0
1574824,426338,19-12-2017,7.0
1574875,426338,19-12-2017,12.0
3163656,524643,16-12-2021,3.0
2593224,491874,07-09-2020,4.0
2593254,491874,07-09-2020,2.0
2601515,491884,23-09-2020,8.0
3163140,524653,13-12-2021,2.0
3163153,524653,13-12-2021,10.0
2054988,459125,15-05-2019,14.0
2054996,459125,15-05-2019,12.0
665305,360826,04-10-2013,11.0
1114754,393595,17-03-2016,13.0
253779,328061,15-03-2010,3.0
253881,328062,26-03-2010,16.0
253844,328065,16-03-2010,5.0
3165505,524676,16-12-2021,11.0
3165515,524676,16-12-2021,12.0
665698,360842,18-10-2013,10.0
1115115,393633,24-03-2016,2.0
665867,360866,09-10-2013,3.0
665890,360866,09-10-2013,3.0
2055591,459171,17-05-2019,23.0
665932,360868,02-10-2013,5.0
1115201,393643,17-03-2016,7.0
1115204,393643,17-03-2016,8.0
2595238,491958,02-09-2020,5.0
2595262,491958,02-09-2020,10.0
666142,360887,04-10-2013,23.0
666276,360903,18-10-2013,13.0
666446,360907,14-10-2013,15.0
1115953,393681,16-03-2016,3.0
675028,360915,18-10-2013,3.0
679397,360915,25-10-2013,3.0
679440,360915,25-10-2013,5.0
679443,360915,25-10-2013,13.0
679447,360915,25-10-2013,8.0
686046,360915,08-11-2013,29.0
1576814,426460,19-12-2017,18.0
3164938,524765,15-12-2021,4.0
3164940,524765,15-12-2021,7.0
254655,328157,16-03-2010,10.0
2608800,492003,15-09-2020,2.0
2608809,492003,15-09-2020,4.0
2612546,492003,15-09-2020,1.0
2612549,492003,15-09-2020,2.0
2598698,492003,04-09-2020,11.0
2598708,492003,04-09-2020,18.0
2604473,492003,10-09-2020,17.0
666866,360936,04-10-2013,3.0
666888,360940,22-11-2013,5.0
666971,360946,04-10-2013,13.0
713404,360946,23-01-2014,3.0
713408,360946,23-01-2014,4.0
286398,328181,29-06-2010,3.0
2610126,492023,15-09-2020,8.0
2610137,492023,15-09-2020,9.0
2628172,492023,24-09-2020,4.0
667229,360956,14-10-2013,16.0
667263,360958,14-10-2013,13.0
667356,360965,14-10-2013,4.0
2057540,459270,17-05-2019,5.0
254957,328199,17-03-2010,5.0
667509,360971,07-10-2013,12.0
667517,360973,07-10-2013,20.0
1117575,393747,18-03-2016,3.0
1117588,393747,18-03-2016,3.0
1577784,426517,19-12-2017,7.0
1577792,426517,19-12-2017,7.0
1117630,393750,22-03-2016,2.0
3165611,524824,23-12-2021,6.0
3165617,524824,23-12-2021,5.0
255186,328223,24-03-2010,6.0
1117841,393762,18-03-2016,2.0
1117864,393762,18-03-2016,2.0
2059446,459305,27-05-2019,4.0
2059471,459305,27-05-2019,3.0
2059494,459305,27-05-2019,6.0
255396,328240,23-03-2010,15.0
2409739,459312,27-03-2020,8.0
3166036,524852,16-12-2021,6.0
255457,328244,24-03-2010,9.0
668150,361017,04-10-2013,9.0
255602,328257,19-03-2010,8.0
668437,361039,10-10-2013,5.0
1578598,426578,12-01-2018,4.0
1578604,426578,12-01-2018,4.0
1118637,393812,21-03-2016,16.0
255830,328283,22-03-2010,4.0
255851,328284,26-03-2010,10.0
255888,328284,26-03-2010,13.0
255891,328284,26-03-2010,3.0
2597929,492123,08-09-2020,4.0
1119017,393860,22-03-2016,4.0
1119028,393860,22-03-2016,3.0
1119087,393862,22-03-2016,25.0
668923,361096,28-10-2013,8.0
3169323,524942,07-12-2021,1.0
3167330,524954,17-12-2021,4.0
3167342,524954,17-12-2021,4.0
669164,361114,09-10-2013,9.0
669256,361116,08-10-2013,5.0
669434,361119,11-10-2013,12.0
2599156,492193,04-09-2020,6.0
2599159,492193,04-09-2020,6.0
256750,328357,19-03-2010,5.0
1119688,393901,24-03-2016,16.0
2628335,492206,23-09-2020,5.0
256893,328369,22-03-2010,20.0
1618281,426675,05-03-2018,4.0
256918,328372,23-03-2010,10.0
1119769,393912,24-03-2016,8.0
669904,361147,16-10-2013,11.0
671790,361155,17-10-2013,12.0
1119996,393928,23-03-2016,2.0
672151,361161,14-10-2013,11.0
2060166,459467,22-05-2019,12.0
2060189,459467,22-05-2019,10.0
2060314,459468,21-05-2019,6.0
672996,361165,18-10-2013,5.0
673002,361165,18-10-2013,7.0
260592,328400,06-04-2010,10.0
280979,328400,11-06-2010,21.0
295661,328400,17-08-2010,5.0
302154,328400,03-09-2010,4.0
309506,328400,01-10-2010,35.0
318349,328400,28-10-2010,9.0
670141,361178,11-10-2013,11.0
