,Date,Net_month_art
0,2007-01-31,240.0
1,2007-02-28,260.0
2,2007-03-31,305.0
3,2007-04-30,303.0
4,2007-05-31,319.0
5,2007-06-30,373.0
6,2007-07-31,320.0
7,2007-08-31,431.0
8,2007-09-30,443.0
9,2007-10-31,415.0
10,2007-11-30,381.0
11,2007-12-31,315.0
12,2008-01-31,272.0
13,2008-02-29,303.0
14,2008-03-31,371.0
15,2008-04-30,407.0
16,2008-05-31,493.0
17,2008-06-30,485.0
18,2008-07-31,512.0
19,2008-08-31,439.0
20,2008-09-30,492.0
21,2008-10-31,598.0
22,2008-11-30,532.0
23,2008-12-31,512.0
24,2009-01-31,372.0
25,2009-02-28,416.0
26,2009-03-31,597.0
27,2009-04-30,563.0
28,2009-05-31,558.0
29,2009-06-30,512.0
30,2009-07-31,666.0
31,2009-08-31,530.0
32,2009-09-30,775.0
33,2009-10-31,716.0
34,2009-11-30,658.0
35,2009-12-31,602.0
36,2010-01-31,392.0
37,2010-02-28,521.0
38,2010-03-31,673.0
39,2010-04-30,812.0
40,2010-05-31,618.0
41,2010-06-30,689.0
42,2010-07-31,516.0
43,2010-08-31,804.0
44,2010-09-30,888.0
45,2010-10-31,1087.0
46,2010-11-30,1010.0
47,2010-12-31,775.0
48,2011-01-31,734.0
49,2011-02-28,872.0
50,2011-03-31,931.0
51,2011-04-30,955.0
52,2011-05-31,819.0
53,2011-06-30,872.0
54,2011-07-31,982.0
55,2011-08-31,667.0
56,2011-09-30,916.0
57,2011-10-31,889.0
58,2011-11-30,797.0
59,2011-12-31,688.0
60,2012-01-31,786.0
61,2012-02-29,859.0
62,2012-03-31,958.0
63,2012-04-30,935.0
64,2012-05-31,1063.0
65,2012-06-30,1133.0
66,2012-07-31,1213.0
67,2012-08-31,1175.0
68,2012-09-30,996.0
69,2012-10-31,1063.0
70,2012-11-30,1031.0
71,2012-12-31,792.0
72,2013-01-31,670.0
73,2013-02-28,842.0
74,2013-03-31,1077.0
75,2013-04-30,1169.0
76,2013-05-31,1094.0
77,2013-06-30,1059.0
78,2013-07-31,1270.0
79,2013-08-31,978.0
80,2013-09-30,1024.0
81,2013-10-31,983.0
82,2013-11-30,1057.0
83,2013-12-31,987.0
84,2014-01-31,745.0
85,2014-02-28,803.0
86,2014-03-31,817.0
87,2014-04-30,942.0
88,2014-05-31,961.0
89,2014-06-30,1032.0
90,2014-07-31,793.0
91,2014-08-31,1020.0
92,2014-09-30,1045.0
93,2014-10-31,1044.0
94,2014-11-30,898.0
95,2014-12-31,846.0
96,2015-01-31,628.0
97,2015-02-28,880.0
98,2015-03-31,836.0
99,2015-04-30,831.0
100,2015-05-31,870.0
101,2015-06-30,863.0
102,2015-07-31,577.0
103,2015-08-31,695.0
104,2015-09-30,1060.0
105,2015-10-31,1080.0
106,2015-11-30,1011.0
107,2015-12-31,749.0
108,2016-01-31,757.0
109,2016-02-29,801.0
110,2016-03-31,884.0
111,2016-04-30,970.0
112,2016-05-31,968.0
113,2016-06-30,919.0
114,2016-07-31,886.0
115,2016-08-31,833.0
116,2016-09-30,895.0
117,2016-10-31,959.0
118,2016-11-30,934.0
119,2016-12-31,884.0
120,2017-01-31,715.0
121,2017-02-28,776.0
122,2017-03-31,909.0
123,2017-04-30,871.0
124,2017-05-31,855.0
125,2017-06-30,956.0
126,2017-07-31,864.0
127,2017-08-31,827.0
128,2017-09-30,872.0
129,2017-10-31,887.0
130,2017-11-30,846.0
131,2017-12-31,858.0
132,2018-01-31,634.0
133,2018-02-28,671.0
134,2018-03-31,718.0
135,2018-04-30,744.0
136,2018-05-31,799.0
137,2018-06-30,925.0
138,2018-07-31,995.0
139,2018-08-31,1004.0
140,2018-09-30,908.0
141,2018-10-31,900.0
142,2018-11-30,933.0
143,2018-12-31,849.0
144,2019-01-31,758.0
145,2019-02-28,737.0
146,2019-03-31,780.0
147,2019-04-30,827.0
148,2019-05-31,919.0
149,2019-06-30,974.0
150,2019-07-31,1046.0
151,2019-08-31,973.0
152,2019-09-30,1173.0
153,2019-10-31,1083.0
154,2019-11-30,1206.0
155,2019-12-31,1030.0
156,2020-01-31,757.0
157,2020-02-29,879.0
158,2020-03-31,1000.0
159,2020-04-30,1020.0
160,2020-05-31,1006.0
161,2020-06-30,1143.0
162,2020-07-31,1235.0
163,2020-08-31,1168.0
164,2020-09-30,1214.0
165,2020-10-31,1203.0
166,2020-11-30,1170.0
167,2020-12-31,991.0
168,2021-01-31,818.0
169,2021-02-28,914.0
170,2021-03-31,1021.0
171,2021-04-30,953.0
172,2021-05-31,945.0
173,2021-06-30,1339.0
174,2021-07-31,1283.0
175,2021-08-31,911.0
176,2021-09-30,962.0
177,2021-10-31,979.0
178,2021-11-30,993.0
179,2021-12-31,870.0
