,Date,Net_week_art
0,2007-01-14,117.0
1,2007-01-21,153.0
2,2007-01-28,234.0
3,2007-02-04,233.0
4,2007-02-11,240.0
5,2007-02-18,258.0
6,2007-02-25,260.0
7,2007-03-04,237.0
8,2007-03-11,225.0
9,2007-03-18,217.0
10,2007-03-25,231.0
11,2007-04-01,254.0
12,2007-04-08,305.0
13,2007-04-15,242.0
14,2007-04-22,273.0
15,2007-04-29,199.0
16,2007-05-06,303.0
17,2007-05-13,299.0
18,2007-05-20,319.0
19,2007-05-27,248.0
20,2007-06-03,270.0
21,2007-06-10,336.0
22,2007-06-17,321.0
23,2007-06-24,354.0
24,2007-07-01,359.0
25,2007-07-08,373.0
26,2007-07-15,304.0
27,2007-07-22,320.0
28,2007-07-29,315.0
29,2007-08-05,298.0
30,2007-08-12,199.0
31,2007-08-19,264.0
32,2007-08-26,314.0
33,2007-09-02,414.0
34,2007-09-09,431.0
35,2007-09-16,443.0
36,2007-09-23,384.0
37,2007-09-30,351.0
38,2007-10-07,358.0
39,2007-10-14,326.0
40,2007-10-21,344.0
41,2007-10-28,415.0
42,2007-11-04,375.0
43,2007-11-11,338.0
44,2007-11-18,316.0
45,2007-11-25,381.0
46,2007-12-02,352.0
47,2007-12-09,370.0
48,2007-12-16,315.0
49,2007-12-23,312.0
50,2007-12-30,248.0
51,2008-01-06,143.0
52,2008-01-13,186.0
53,2008-01-20,187.0
54,2008-01-27,255.0
55,2008-02-03,252.0
56,2008-02-10,303.0
57,2008-02-17,282.0
58,2008-02-24,265.0
59,2008-03-02,261.0
60,2008-03-09,193.0
61,2008-03-16,285.0
62,2008-03-23,320.0
63,2008-03-30,293.0
64,2008-04-06,358.0
65,2008-04-13,407.0
66,2008-04-20,393.0
67,2008-04-27,403.0
68,2008-05-04,357.0
69,2008-05-11,320.0
70,2008-05-18,405.0
71,2008-05-25,418.0
72,2008-06-01,446.0
73,2008-06-08,493.0
74,2008-06-15,471.0
75,2008-06-22,417.0
76,2008-06-29,362.0
77,2008-07-06,446.0
78,2008-07-13,485.0
79,2008-07-20,512.0
80,2008-07-27,444.0
81,2008-08-03,390.0
82,2008-08-10,312.0
83,2008-08-17,306.0
84,2008-08-24,328.0
85,2008-08-31,334.0
86,2008-09-07,439.0
87,2008-09-14,421.0
88,2008-09-21,343.0
89,2008-09-28,415.0
90,2008-10-05,407.0
91,2008-10-12,492.0
92,2008-10-19,429.0
93,2008-10-26,598.0
94,2008-11-02,535.0
95,2008-11-09,513.0
96,2008-11-16,469.0
97,2008-11-23,448.0
98,2008-11-30,447.0
99,2008-12-07,532.0
100,2008-12-14,512.0
101,2008-12-21,422.0
102,2008-12-28,409.0
103,2009-01-04,203.0
104,2009-01-11,203.0
105,2009-01-18,254.0
106,2009-01-25,305.0
107,2009-02-01,341.0
108,2009-02-08,372.0
109,2009-02-15,386.0
110,2009-02-22,398.0
111,2009-03-01,416.0
112,2009-03-08,351.0
113,2009-03-15,422.0
114,2009-03-22,416.0
115,2009-03-29,496.0
116,2009-04-05,597.0
117,2009-04-12,579.0
118,2009-04-19,430.0
119,2009-04-26,486.0
120,2009-05-03,563.0
121,2009-05-10,559.0
122,2009-05-17,558.0
123,2009-05-24,548.0
124,2009-05-31,499.0
125,2009-06-07,514.0
126,2009-06-14,495.0
127,2009-06-21,512.0
128,2009-06-28,512.0
129,2009-07-05,478.0
130,2009-07-12,508.0
131,2009-07-19,591.0
132,2009-07-26,666.0
133,2009-08-02,625.0
134,2009-08-09,518.0
135,2009-08-16,486.0
136,2009-08-23,530.0
137,2009-08-30,515.0
138,2009-09-06,435.0
139,2009-09-13,500.0
140,2009-09-20,551.0
141,2009-09-27,750.0
142,2009-10-04,775.0
143,2009-10-11,507.0
144,2009-10-18,611.0
145,2009-10-25,716.0
146,2009-11-01,713.0
147,2009-11-08,705.0
148,2009-11-15,658.0
149,2009-11-22,620.0
150,2009-11-29,593.0
151,2009-12-06,528.0
152,2009-12-13,564.0
153,2009-12-20,602.0
154,2009-12-27,555.0
155,2010-01-03,406.0
156,2010-01-10,353.0
157,2010-01-17,391.0
158,2010-01-24,367.0
159,2010-01-31,376.0
160,2010-02-07,392.0
161,2010-02-14,412.0
162,2010-02-21,430.0
163,2010-02-28,502.0
164,2010-03-07,521.0
165,2010-03-14,578.0
166,2010-03-21,572.0
167,2010-03-28,566.0
168,2010-04-04,673.0
169,2010-04-11,655.0
170,2010-04-18,742.0
171,2010-04-25,812.0
172,2010-05-02,738.0
173,2010-05-09,638.0
174,2010-05-16,563.0
175,2010-05-23,534.0
176,2010-05-30,618.0
177,2010-06-06,547.0
178,2010-06-13,588.0
179,2010-06-20,689.0
180,2010-06-27,681.0
181,2010-07-04,586.0
182,2010-07-11,530.0
183,2010-07-18,510.0
184,2010-07-25,516.0
185,2010-08-01,509.0
186,2010-08-08,482.0
187,2010-08-15,608.0
188,2010-08-22,657.0
189,2010-08-29,708.0
190,2010-09-05,731.0
191,2010-09-12,888.0
192,2010-09-19,846.0
193,2010-09-26,833.0
194,2010-10-03,848.0
195,2010-10-10,885.0
196,2010-10-17,908.0
197,2010-10-24,1087.0
198,2010-10-31,1036.0
199,2010-11-07,1000.0
200,2010-11-14,985.0
201,2010-11-21,993.0
202,2010-11-28,1010.0
203,2010-12-05,963.0
204,2010-12-12,843.0
205,2010-12-19,775.0
206,2010-12-26,711.0
207,2011-01-02,547.0
208,2011-01-09,447.0
209,2011-01-16,572.0
210,2011-01-23,583.0
211,2011-01-30,633.0
212,2011-02-06,734.0
213,2011-02-13,721.0
214,2011-02-20,702.0
215,2011-02-27,757.0
216,2011-03-06,815.0
217,2011-03-13,884.0
218,2011-03-20,913.0
219,2011-03-27,931.0
220,2011-04-03,930.0
221,2011-04-10,899.0
222,2011-04-17,899.0
223,2011-04-24,955.0
224,2011-05-01,898.0
225,2011-05-08,850.0
226,2011-05-15,780.0
227,2011-05-22,791.0
228,2011-05-29,806.0
229,2011-06-05,819.0
230,2011-06-12,725.0
231,2011-06-19,731.0
232,2011-06-26,758.0
233,2011-07-03,810.0
234,2011-07-10,975.0
235,2011-07-17,982.0
236,2011-07-24,982.0
237,2011-07-31,865.0
238,2011-08-07,601.0
239,2011-08-14,575.0
240,2011-08-21,665.0
241,2011-08-28,667.0
242,2011-09-04,598.0
243,2011-09-11,711.0
244,2011-09-18,805.0
245,2011-09-25,863.0
246,2011-10-02,916.0
247,2011-10-09,911.0
248,2011-10-16,786.0
249,2011-10-23,746.0
250,2011-10-30,868.0
251,2011-11-06,889.0
252,2011-11-13,835.0
253,2011-11-20,760.0
254,2011-11-27,795.0
255,2011-12-04,725.0
256,2011-12-11,665.0
257,2011-12-18,688.0
258,2011-12-25,653.0
259,2012-01-01,574.0
260,2012-01-08,437.0
261,2012-01-15,542.0
262,2012-01-22,779.0
263,2012-01-29,786.0
264,2012-02-05,774.0
265,2012-02-12,729.0
266,2012-02-19,727.0
267,2012-02-26,737.0
268,2012-03-04,818.0
269,2012-03-11,865.0
270,2012-03-18,958.0
271,2012-03-25,921.0
272,2012-04-01,893.0
273,2012-04-08,887.0
274,2012-04-15,860.0
275,2012-04-22,848.0
276,2012-04-29,822.0
277,2012-05-06,935.0
278,2012-05-13,1028.0
279,2012-05-20,1063.0
280,2012-05-27,988.0
281,2012-06-03,980.0
282,2012-06-10,1010.0
283,2012-06-17,1011.0
284,2012-06-24,992.0
285,2012-07-01,1091.0
286,2012-07-08,1133.0
287,2012-07-15,1213.0
288,2012-07-22,1026.0
289,2012-07-29,905.0
290,2012-08-05,871.0
291,2012-08-12,887.0
292,2012-08-19,973.0
293,2012-08-26,1077.0
294,2012-09-02,1149.0
295,2012-09-09,1175.0
296,2012-09-16,945.0
297,2012-09-23,941.0
298,2012-09-30,962.0
299,2012-10-07,996.0
300,2012-10-14,964.0
301,2012-10-21,1063.0
302,2012-10-28,1045.0
303,2012-11-04,964.0
304,2012-11-11,1005.0
305,2012-11-18,1031.0
306,2012-11-25,839.0
307,2012-12-02,785.0
308,2012-12-09,824.0
309,2012-12-16,792.0
310,2012-12-23,751.0
311,2012-12-30,752.0
312,2013-01-06,496.0
313,2013-01-13,587.0
314,2013-01-20,652.0
315,2013-01-27,654.0
316,2013-02-03,652.0
317,2013-02-10,690.0
318,2013-02-17,727.0
319,2013-02-24,724.0
320,2013-03-03,842.0
321,2013-03-10,824.0
322,2013-03-17,937.0
323,2013-03-24,998.0
324,2013-03-31,1064.0
325,2013-04-07,1077.0
326,2013-04-14,1169.0
327,2013-04-21,1137.0
328,2013-04-28,1082.0
329,2013-05-05,1044.0
330,2013-05-12,1064.0
331,2013-05-19,948.0
332,2013-05-26,1094.0
333,2013-06-02,1012.0
334,2013-06-09,1017.0
335,2013-06-16,945.0
336,2013-06-23,939.0
337,2013-06-30,897.0
338,2013-07-07,1059.0
339,2013-07-14,1061.0
340,2013-07-21,1078.0
341,2013-07-28,1270.0
342,2013-08-04,1216.0
343,2013-08-11,934.0
344,2013-08-18,903.0
345,2013-08-25,929.0
346,2013-09-01,971.0
347,2013-09-08,978.0
348,2013-09-15,1024.0
349,2013-09-22,946.0
350,2013-09-29,992.0
351,2013-10-06,998.0
352,2013-10-13,946.0
353,2013-10-20,922.0
354,2013-10-27,983.0
355,2013-11-03,912.0
356,2013-11-10,963.0
357,2013-11-17,1025.0
358,2013-11-24,1057.0
359,2013-12-01,1029.0
360,2013-12-08,1019.0
361,2013-12-15,987.0
362,2013-12-22,928.0
363,2013-12-29,772.0
364,2014-01-05,588.0
365,2014-01-12,602.0
366,2014-01-19,724.0
367,2014-01-26,725.0
368,2014-02-02,745.0
369,2014-02-09,725.0
370,2014-02-16,734.0
371,2014-02-23,795.0
372,2014-03-02,803.0
373,2014-03-09,695.0
374,2014-03-16,725.0
375,2014-03-23,711.0
376,2014-03-30,683.0
377,2014-04-06,797.0
378,2014-04-13,880.0
379,2014-04-20,833.0
380,2014-04-27,820.0
381,2014-05-04,878.0
382,2014-05-11,942.0
383,2014-05-18,961.0
384,2014-05-25,910.0
385,2014-06-01,915.0
386,2014-06-08,889.0
387,2014-06-15,1032.0
388,2014-06-22,898.0
389,2014-06-29,873.0
390,2014-07-06,833.0
391,2014-07-13,733.0
392,2014-07-20,748.0
393,2014-07-27,793.0
394,2014-08-03,758.0
395,2014-08-10,737.0
396,2014-08-17,814.0
397,2014-08-24,914.0
398,2014-08-31,1020.0
399,2014-09-07,981.0
400,2014-09-14,978.0
401,2014-09-21,1045.0
402,2014-09-28,996.0
403,2014-10-05,866.0
404,2014-10-12,887.0
405,2014-10-19,891.0
406,2014-10-26,995.0
407,2014-11-02,1044.0
408,2014-11-09,977.0
409,2014-11-16,898.0
410,2014-11-23,846.0
411,2014-11-30,802.0
412,2014-12-07,840.0
413,2014-12-14,846.0
414,2014-12-21,814.0
415,2014-12-28,737.0
416,2015-01-04,568.0
417,2015-01-11,559.0
418,2015-01-18,589.0
419,2015-01-25,582.0
420,2015-02-01,593.0
421,2015-02-08,628.0
422,2015-02-15,677.0
423,2015-02-22,692.0
424,2015-03-01,880.0
425,2015-03-08,865.0
426,2015-03-15,836.0
427,2015-03-22,795.0
428,2015-03-29,770.0
429,2015-04-05,779.0
430,2015-04-12,709.0
431,2015-04-19,734.0
432,2015-04-26,807.0
433,2015-05-03,831.0
434,2015-05-10,786.0
435,2015-05-17,853.0
436,2015-05-24,870.0
437,2015-05-31,842.0
438,2015-06-07,779.0
439,2015-06-14,829.0
440,2015-06-21,863.0
441,2015-06-28,832.0
442,2015-07-05,709.0
443,2015-07-12,675.0
444,2015-07-19,545.0
445,2015-07-26,522.0
446,2015-08-02,508.0
447,2015-08-09,487.0
448,2015-08-16,512.0
449,2015-08-23,510.0
450,2015-08-30,605.0
451,2015-09-06,664.0
452,2015-09-13,745.0
453,2015-09-20,902.0
454,2015-09-27,971.0
455,2015-10-04,1060.0
456,2015-10-11,1013.0
457,2015-10-18,1041.0
458,2015-10-25,1080.0
459,2015-11-01,1053.0
460,2015-11-08,980.0
461,2015-11-15,1011.0
462,2015-11-22,996.0
463,2015-11-29,917.0
464,2015-12-06,865.0
465,2015-12-13,772.0
466,2015-12-20,741.0
467,2015-12-27,749.0
468,2016-01-03,569.0
469,2016-01-10,498.0
470,2016-01-17,641.0
471,2016-01-24,723.0
472,2016-01-31,757.0
473,2016-02-07,725.0
474,2016-02-14,724.0
475,2016-02-21,721.0
476,2016-02-28,744.0
477,2016-03-06,801.0
478,2016-03-13,877.0
479,2016-03-20,884.0
480,2016-03-27,840.0
481,2016-04-03,861.0
482,2016-04-10,743.0
483,2016-04-17,859.0
484,2016-04-24,970.0
485,2016-05-01,925.0
486,2016-05-08,878.0
487,2016-05-15,881.0
488,2016-05-22,968.0
489,2016-05-29,938.0
490,2016-06-05,926.0
491,2016-06-12,828.0
492,2016-06-19,919.0
493,2016-06-26,908.0
494,2016-07-03,882.0
495,2016-07-10,863.0
496,2016-07-17,833.0
497,2016-07-24,852.0
498,2016-07-31,886.0
499,2016-08-07,863.0
500,2016-08-14,822.0
501,2016-08-21,800.0
502,2016-08-28,821.0
503,2016-09-04,784.0
504,2016-09-11,835.0
505,2016-09-18,853.0
506,2016-09-25,889.0
507,2016-10-02,895.0
508,2016-10-09,880.0
509,2016-10-16,942.0
510,2016-10-23,903.0
511,2016-10-30,933.0
512,2016-11-06,959.0
513,2016-11-13,913.0
514,2016-11-20,905.0
515,2016-11-27,921.0
516,2016-12-04,934.0
517,2016-12-11,852.0
518,2016-12-18,884.0
519,2016-12-25,828.0
520,2017-01-01,763.0
521,2017-01-08,604.0
522,2017-01-15,617.0
523,2017-01-22,657.0
524,2017-01-29,670.0
525,2017-02-05,696.0
526,2017-02-12,743.0
527,2017-02-19,752.0
528,2017-02-26,747.0
529,2017-03-05,776.0
530,2017-03-12,736.0
531,2017-03-19,766.0
532,2017-03-26,871.0
533,2017-04-02,897.0
534,2017-04-09,909.0
535,2017-04-16,791.0
536,2017-04-23,770.0
537,2017-04-30,871.0
538,2017-05-07,861.0
539,2017-05-14,793.0
540,2017-05-21,793.0
541,2017-05-28,855.0
542,2017-06-04,845.0
543,2017-06-11,849.0
544,2017-06-18,828.0
545,2017-06-25,869.0
546,2017-07-02,862.0
547,2017-07-09,956.0
548,2017-07-16,864.0
549,2017-07-23,812.0
550,2017-07-30,851.0
551,2017-08-06,830.0
552,2017-08-13,818.0
553,2017-08-20,818.0
554,2017-08-27,827.0
555,2017-09-03,766.0
556,2017-09-10,775.0
557,2017-09-17,768.0
558,2017-09-24,780.0
559,2017-10-01,809.0
560,2017-10-08,872.0
561,2017-10-15,827.0
562,2017-10-22,869.0
563,2017-10-29,887.0
564,2017-11-05,786.0
565,2017-11-12,846.0
566,2017-11-19,806.0
567,2017-11-26,822.0
568,2017-12-03,795.0
569,2017-12-10,840.0
570,2017-12-17,844.0
571,2017-12-24,858.0
572,2017-12-31,813.0
573,2018-01-07,608.0
574,2018-01-14,588.0
575,2018-01-21,634.0
576,2018-01-28,626.0
577,2018-02-04,584.0
578,2018-02-11,597.0
579,2018-02-18,636.0
580,2018-02-25,671.0
581,2018-03-04,643.0
582,2018-03-11,623.0
583,2018-03-18,626.0
584,2018-03-25,659.0
585,2018-04-01,718.0
586,2018-04-08,670.0
587,2018-04-15,639.0
588,2018-04-22,638.0
589,2018-04-29,744.0
590,2018-05-06,658.0
591,2018-05-13,701.0
592,2018-05-20,713.0
593,2018-05-27,784.0
594,2018-06-03,799.0
595,2018-06-10,769.0
596,2018-06-17,747.0
597,2018-06-24,820.0
598,2018-07-01,925.0
599,2018-07-08,903.0
600,2018-07-15,849.0
601,2018-07-22,960.0
602,2018-07-29,995.0
603,2018-08-05,935.0
604,2018-08-12,1004.0
605,2018-08-19,976.0
606,2018-08-26,881.0
607,2018-09-02,909.0
608,2018-09-09,913.0
609,2018-09-16,827.0
610,2018-09-23,894.0
611,2018-09-30,908.0
612,2018-10-07,863.0
613,2018-10-14,858.0
614,2018-10-21,865.0
615,2018-10-28,900.0
616,2018-11-04,880.0
617,2018-11-11,916.0
618,2018-11-18,870.0
619,2018-11-25,851.0
620,2018-12-02,878.0
621,2018-12-09,933.0
622,2018-12-16,849.0
623,2018-12-23,697.0
624,2018-12-30,684.0
625,2019-01-06,588.0
626,2019-01-13,610.0
627,2019-01-20,699.0
628,2019-01-27,692.0
629,2019-02-03,702.0
630,2019-02-10,758.0
631,2019-02-17,734.0
632,2019-02-24,722.0
633,2019-03-03,703.0
634,2019-03-10,690.0
635,2019-03-17,684.0
