,Ing_Order,Ing_Datum,Ing_Aantal
2586679,491520,03-09-2020,2.0
2586693,491520,03-09-2020,1.0
2586705,491520,03-09-2020,1.0
2586873,491521,15-09-2020,2.0
2586793,491521,09-09-2020,2.0
660239,360452,20-09-2013,2.0
660258,360452,20-09-2013,2.0
660291,360452,23-09-2013,1.0
661244,360452,23-09-2013,1.0
660636,360453,30-09-2013,2.0
253279,327686,15-03-2010,2.0
253409,327686,17-03-2010,2.0
256073,327686,22-03-2010,4.0
265397,327686,19-04-2010,6.0
278896,327686,07-06-2010,6.0
318706,327686,01-11-2010,3.0
318715,327686,01-11-2010,1.0
320360,327686,08-11-2010,5.0
316326,327686,25-10-2010,3.0
325417,327686,13-12-2010,3.0
325427,327686,13-12-2010,2.0
249414,327687,26-02-2010,2.0
249483,327687,03-03-2010,1.0
660305,360455,23-09-2013,1.0
2587829,491532,31-08-2020,1.0
660547,360475,20-09-2013,2.0
660554,360475,20-09-2013,2.0
2052603,458780,13-05-2019,1.0
249636,327712,26-02-2010,1.0
249667,327713,01-03-2010,2.0
249670,327713,01-03-2010,1.0
2050486,458788,13-05-2019,1.0
660664,360485,20-09-2013,1.0
660701,360486,24-09-2013,7.0
660705,360486,24-09-2013,12.0
660784,360486,25-09-2013,2.0
3158278,524330,07-12-2021,2.0
3158348,524330,08-12-2021,2.0
3158353,524330,08-12-2021,2.0
249767,327723,17-03-2010,2.0
660875,360491,24-09-2013,3.0
249873,327734,05-03-2010,1.0
249882,327734,05-03-2010,1.0
249885,327734,05-03-2010,1.0
249890,327734,05-03-2010,2.0
294806,327734,11-08-2010,6.0
294793,327734,16-08-2010,1.0
294795,327734,16-08-2010,2.0
660961,360503,24-09-2013,6.0
3158512,524347,13-12-2021,2.0
3158995,524347,16-12-2021,3.0
3158996,524347,16-12-2021,1.0
249960,327744,02-03-2010,3.0
3158729,524355,13-12-2021,1.0
2594840,491589,04-09-2020,1.0
2594848,491589,04-09-2020,2.0
2594851,491589,04-09-2020,4.0
2594856,491589,04-09-2020,4.0
2594888,491589,04-09-2020,2.0
2594894,491589,04-09-2020,2.0
2594895,491589,04-09-2020,2.0
2594896,491589,04-09-2020,3.0
1571595,426057,08-12-2017,1.0
1571603,426057,08-12-2017,1.0
1571889,426067,18-04-2017,15.0
1571944,426067,18-04-2017,2.0
661370,360538,23-09-2013,3.0
665437,360540,04-10-2013,1.0
665442,360540,04-10-2013,1.0
665443,360540,04-10-2013,3.0
665447,360540,04-10-2013,1.0
665453,360540,04-10-2013,1.0
665455,360540,04-10-2013,1.0
665457,360540,04-10-2013,1.0
665479,360540,04-10-2013,1.0
665486,360540,04-10-2013,1.0
665494,360540,04-10-2013,1.0
665504,360540,04-10-2013,1.0
665511,360540,04-10-2013,1.0
665531,360540,04-10-2013,7.0
661418,360540,25-09-2013,4.0
2588876,491613,26-08-2020,2.0
1111117,393310,15-03-2016,1.0
1111122,393310,15-03-2016,1.0
1111155,393310,15-03-2016,1.0
661435,360545,25-09-2013,2.0
250386,327781,02-03-2010,10.0
661479,360549,25-09-2013,1.0
661491,360549,25-09-2013,1.0
661513,360549,25-09-2013,1.0
661516,360549,25-09-2013,1.0
661524,360549,25-09-2013,2.0
661526,360549,25-09-2013,1.0
661535,360549,25-09-2013,1.0
1572123,426089,07-12-2017,3.0
661693,360560,25-09-2013,3.0
250470,327799,05-03-2010,1.0
3159665,524411,23-11-2021,1.0
661824,360574,18-10-2013,5.0
3159706,524418,08-12-2021,2.0
3159788,524421,17-12-2021,2.0
250822,327815,19-03-2010,5.0
2051716,458894,13-05-2019,4.0
1111755,393361,14-03-2016,1.0
