,Date,Net_month_art
0,2007-01-31,123.0
1,2007-02-28,162.0
2,2007-03-31,216.0
3,2007-04-30,241.0
4,2007-05-31,250.0
5,2007-06-30,226.0
6,2007-07-31,191.0
7,2007-08-31,230.0
8,2007-09-30,276.0
9,2007-10-31,301.0
10,2007-11-30,273.0
11,2007-12-31,220.0
12,2008-01-31,158.0
13,2008-02-29,176.0
14,2008-03-31,244.0
15,2008-04-30,291.0
16,2008-05-31,327.0
17,2008-06-30,345.0
18,2008-07-31,331.0
19,2008-08-31,339.0
20,2008-09-30,329.0
21,2008-10-31,403.0
22,2008-11-30,387.0
23,2008-12-31,325.0
24,2009-01-31,322.0
25,2009-02-28,321.0
26,2009-03-31,385.0
27,2009-04-30,436.0
28,2009-05-31,392.0
29,2009-06-30,375.0
30,2009-07-31,408.0
31,2009-08-31,361.0
32,2009-09-30,490.0
33,2009-10-31,500.0
34,2009-11-30,486.0
35,2009-12-31,427.0
36,2010-01-31,372.0
37,2010-02-28,436.0
38,2010-03-31,532.0
39,2010-04-30,608.0
40,2010-05-31,574.0
41,2010-06-30,481.0
42,2010-07-31,481.0
43,2010-08-31,603.0
44,2010-09-30,676.0
45,2010-10-31,688.0
46,2010-11-30,727.0
47,2010-12-31,583.0
48,2011-01-31,535.0
49,2011-02-28,572.0
50,2011-03-31,641.0
51,2011-04-30,669.0
52,2011-05-31,681.0
53,2011-06-30,666.0
54,2011-07-31,726.0
55,2011-08-31,571.0
56,2011-09-30,673.0
57,2011-10-31,690.0
58,2011-11-30,655.0
59,2011-12-31,648.0
60,2012-01-31,669.0
61,2012-02-29,712.0
62,2012-03-31,820.0
63,2012-04-30,887.0
64,2012-05-31,913.0
65,2012-06-30,949.0
66,2012-07-31,970.0
67,2012-08-31,1009.0
68,2012-09-30,904.0
69,2012-10-31,876.0
70,2012-11-30,887.0
71,2012-12-31,740.0
72,2013-01-31,697.0
73,2013-02-28,825.0
74,2013-03-31,1022.0
75,2013-04-30,1121.0
76,2013-05-31,1034.0
77,2013-06-30,948.0
78,2013-07-31,1059.0
79,2013-08-31,982.0
80,2013-09-30,968.0
81,2013-10-31,987.0
82,2013-11-30,1024.0
83,2013-12-31,1007.0
84,2014-01-31,853.0
85,2014-02-28,882.0
86,2014-03-31,891.0
87,2014-04-30,927.0
88,2014-05-31,972.0
89,2014-06-30,1106.0
90,2014-07-31,955.0
91,2014-08-31,986.0
92,2014-09-30,930.0
93,2014-10-31,916.0
94,2014-11-30,892.0
95,2014-12-31,867.0
96,2015-01-31,791.0
97,2015-02-28,915.0
98,2015-03-31,906.0
99,2015-04-30,988.0
100,2015-05-31,920.0
101,2015-06-30,905.0
102,2015-07-31,667.0
103,2015-08-31,727.0
104,2015-09-30,977.0
105,2015-10-31,905.0
106,2015-11-30,863.0
107,2015-12-31,785.0
108,2016-01-31,744.0
109,2016-02-29,793.0
110,2016-03-31,852.0
111,2016-04-30,899.0
112,2016-05-31,927.0
113,2016-06-30,832.0
114,2016-07-31,828.0
115,2016-08-31,845.0
116,2016-09-30,927.0
117,2016-10-31,948.0
118,2016-11-30,920.0
119,2016-12-31,865.0
120,2017-01-31,791.0
121,2017-02-28,796.0
122,2017-03-31,865.0
123,2017-04-30,952.0
124,2017-05-31,879.0
125,2017-06-30,944.0
126,2017-07-31,904.0
127,2017-08-31,881.0
128,2017-09-30,976.0
129,2017-10-31,976.0
130,2017-11-30,873.0
131,2017-12-31,878.0
132,2018-01-31,764.0
133,2018-02-28,763.0
134,2018-03-31,883.0
135,2018-04-30,1016.0
136,2018-05-31,921.0
137,2018-06-30,1013.0
138,2018-07-31,951.0
139,2018-08-31,911.0
140,2018-09-30,864.0
141,2018-10-31,966.0
142,2018-11-30,1006.0
143,2018-12-31,940.0
144,2019-01-31,862.0
145,2019-02-28,839.0
146,2019-03-31,855.0
147,2019-04-30,937.0
148,2019-05-31,907.0
149,2019-06-30,973.0
150,2019-07-31,991.0
151,2019-08-31,1015.0
152,2019-09-30,1154.0
153,2019-10-31,1212.0
154,2019-11-30,1209.0
155,2019-12-31,1011.0
156,2020-01-31,859.0
157,2020-02-29,942.0
158,2020-03-31,1008.0
159,2020-04-30,1085.0
160,2020-05-31,1122.0
161,2020-06-30,1239.0
162,2020-07-31,1200.0
163,2020-08-31,1210.0
164,2020-09-30,1203.0
165,2020-10-31,1269.0
166,2020-11-30,1270.0
167,2020-12-31,1132.0
168,2021-01-31,1009.0
169,2021-02-28,1155.0
170,2021-03-31,1242.0
171,2021-04-30,1193.0
172,2021-05-31,1194.0
173,2021-06-30,1515.0
174,2021-07-31,1388.0
175,2021-08-31,976.0
176,2021-09-30,1086.0
177,2021-10-31,1177.0
178,2021-11-30,1096.0
179,2021-12-31,1011.0
