,End_Order,End_Datum,Ret_Aantal
1011055,393222,16-03-2016,5.0
2500198,491527,07-10-2020,5.0
1044235,393225,13-05-2016,2.0
1058148,393225,10-06-2016,2.0
580336,360460,27-09-2013,3.0
1917720,458764,03-06-2019,4.0
3042398,524329,24-12-2021,3.0
1918365,458802,21-05-2019,4.0
1450044,426048,21-12-2017,3.0
1450081,426048,21-12-2017,3.0
1452142,426051,07-12-2017,8.0
1456859,426069,15-12-2017,4.0
3022776,524377,22-12-2021,2.0
1947916,458844,07-06-2019,6.0
2010320,458844,07-06-2019,1.0
611703,360553,29-11-2013,5.0
3022588,524403,13-12-2021,2.0
583723,360568,04-10-2013,11.0
3023562,524417,23-12-2021,2.0
1919155,458883,17-05-2019,12.0
580931,360590,30-09-2013,4.0
3024413,524448,10-12-2021,5.0
3024454,524449,10-12-2021,2.0
581785,360621,27-09-2013,1.0
3024985,524477,20-12-2021,1.0
1452305,426181,18-12-2017,3.0
583157,360646,03-10-2013,2.0
1029782,393434,14-04-2016,3.0
1045349,393434,23-05-2016,1.0
1058048,393434,06-06-2016,1.0
1058058,393434,06-06-2016,8.0
2505306,491763,09-10-2020,0.0
2449992,491766,02-09-2020,6.0
2450020,491767,02-09-2020,2.0
1075727,393464,08-07-2016,7.0
2450148,491775,08-09-2020,2.0
1461983,426241,21-12-2017,3.0
2511682,491781,12-10-2020,3.0
584581,360713,08-10-2013,4.0
1931846,459019,10-06-2019,4.0
2450344,491795,03-09-2020,4.0
587623,360728,09-10-2013,4.0
1921145,459033,24-05-2019,2.0
2504928,491800,09-10-2020,2.0
3026792,524586,16-12-2021,2.0
611363,360750,22-11-2013,2.0
602095,360753,02-11-2013,3.0
3031559,524594,20-12-2021,9.0
583292,360767,02-10-2013,2.0
583677,360768,03-10-2013,2.0
1016269,393536,22-03-2016,3.0
1921782,459076,16-05-2019,4.0
596703,360783,25-10-2013,4.0
1011602,393552,19-04-2016,2.0
3027447,524624,14-12-2021,4.0
596668,360786,01-10-2013,2.0
2560769,491875,11-11-2020,4.0
1922392,459116,06-06-2019,4.0
3028056,524665,14-12-2021,1.0
3028126,524666,15-12-2021,7.0
3029106,524668,22-12-2021,4.0
1454696,426364,21-12-2017,3.0
607562,360836,14-11-2013,3.0
2454648,491916,15-09-2020,2.0
622291,360851,06-11-2013,2.0
603634,360852,08-11-2013,2.0
1922709,459164,27-05-2019,2.0
3029199,524705,21-12-2021,5.0
2455299,491938,03-09-2020,2.0
1455657,426406,18-12-2017,2.0
1461906,426423,18-12-2017,6.0
2453651,491966,03-09-2020,6.0
2453672,491967,04-09-2020,2.0
3029636,524734,14-12-2021,2.0
3030758,524736,15-12-2021,1.0
3030785,524736,15-12-2021,4.0
2453711,491971,11-09-2020,2.0
1028677,393687,12-04-2016,6.0
1462618,426456,20-12-2017,4.0
1463486,426459,19-12-2017,4.0
2050246,459227,26-07-2019,3.0
1461693,426476,19-12-2017,4.0
2481262,492021,23-09-2020,4.0
1932387,459254,31-05-2019,4.0
1924276,459257,22-05-2019,2.0
1924326,459259,24-05-2019,5.0
2454852,492029,02-09-2020,2.0
2458775,492032,03-09-2020,2.0
2454926,492033,02-09-2020,2.0
2454936,492034,02-09-2020,2.0
1462655,426501,21-12-2017,4.0
1924923,459286,24-05-2019,2.0
610588,360987,19-11-2013,2.0
602060,360991,02-11-2013,2.0
602033,360994,02-11-2013,4.0
2455440,492072,03-09-2020,6.0
1462647,426538,22-12-2017,2.0
3031822,524845,21-12-2021,2.0
1458975,426542,17-01-2018,2.0
596768,361020,28-10-2013,5.0
2456457,492093,10-09-2020,2.0
1017964,393792,21-03-2016,2.0
1459310,426561,18-12-2017,6.0
604581,361026,07-10-2013,2.0
2456276,492099,16-09-2020,3.0
2478766,492099,23-09-2020,3.0
1928319,459360,10-06-2019,1.0
1460410,426612,08-01-2018,2.0
1496349,426617,21-02-2018,2.0
1927294,459385,27-05-2019,3.0
3034575,524963,22-12-2021,2.0
3034589,524963,22-12-2021,3.0
1931532,459443,22-05-2019,2.0
2458020,492213,08-09-2020,2.0
3035515,524981,21-12-2021,3.0
3035516,524981,21-12-2021,1.0
1468157,426686,22-12-2017,2.0
3035204,524993,21-12-2021,4.0
1927958,459474,23-05-2019,2.0
3036859,525014,24-12-2021,4.0
3036889,525014,24-12-2021,3.0
1928004,459488,23-05-2019,3.0
1018409,393953,30-03-2016,1.0
1462704,426726,22-12-2017,2.0
2492978,492264,06-10-2020,4.0
2492997,492264,06-10-2020,2.0
2459217,492277,04-09-2020,8.0
1018353,393974,31-03-2016,4.0
2459165,492278,04-09-2020,8.0
3037270,525048,22-12-2021,2.0
588332,361217,16-10-2013,2.0
2006003,459521,01-08-2019,4.0
2459249,492292,02-10-2020,2.0
2459767,492317,10-09-2020,7.0
587606,361248,11-10-2013,3.0
1929920,459561,22-05-2019,2.0
1530937,426795,11-04-2018,8.0
589751,361265,17-10-2013,3.0
1946877,459571,07-06-2019,4.0
594459,361274,23-10-2013,2.0
2537340,492348,13-10-2020,6.0
2467962,492359,17-09-2020,3.0
1021797,394057,07-04-2016,8.0
2574175,492374,23-11-2020,2.0
2574180,492374,23-11-2020,2.0
606525,361307,14-11-2013,6.0
594490,361308,28-10-2013,2.0
594491,361308,28-10-2013,4.0
606543,361310,07-11-2013,6.0
1483234,426856,02-02-2018,2.0
1483248,426856,02-02-2018,2.0
1019674,394099,01-04-2016,2.0
2509097,492419,16-10-2020,1.0
2509106,492419,16-10-2020,2.0
1020033,394118,31-03-2016,4.0
2613875,492434,18-12-2020,3.0
2461642,492435,09-09-2020,7.0
2539200,492437,30-10-2020,6.0
1943740,459674,31-05-2019,5.0
596036,361377,18-10-2013,6.0
3042302,525239,24-12-2021,2.0
2462066,492490,22-09-2020,4.0
2508635,492494,09-10-2020,2.0
1931572,459727,31-05-2019,2.0
1931657,459728,28-05-2019,3.0
1954428,459751,14-06-2019,2.0
2498272,492522,07-10-2020,21.0
2498283,492522,07-10-2020,1.0
2498348,492522,07-10-2020,15.0
596071,361451,17-10-2013,6.0
1024053,394219,05-04-2016,1.0
1954845,459780,17-06-2019,3.0
1941306,459784,11-06-2019,5.0
602180,361489,17-10-2013,2.0
1933385,459793,29-05-2019,4.0
1036445,394263,07-04-2016,2.0
600384,361503,16-10-2013,4.0
