,Ing_Order,Ing_Datum,Ing_Aantal
1113432,393222,14-03-2016,5.0
2586884,491527,27-08-2020,5.0
1110424,393225,07-03-2016,2.0
1127078,393225,11-04-2016,2.0
660361,360460,27-09-2013,3.0
2049961,458764,13-05-2019,4.0
3158326,524329,07-12-2021,3.0
2050751,458802,21-05-2019,4.0
1571528,426048,19-12-2017,3.0
1571503,426048,18-12-2017,3.0
1571553,426051,07-12-2017,8.0
1571834,426069,11-12-2017,4.0
3159687,524377,20-12-2021,2.0
2051019,458844,20-05-2019,7.0
661669,360553,27-09-2013,5.0
3159626,524403,09-12-2021,2.0
661752,360568,04-10-2013,11.0
3160113,524417,21-12-2021,2.0
2051657,458883,15-05-2019,12.0
662014,360590,29-09-2013,4.0
3160712,524448,10-12-2021,5.0
3160735,524449,10-12-2021,2.0
662397,360621,25-09-2013,1.0
3161055,524477,17-12-2021,1.0
1573267,426181,15-12-2017,3.0
662730,360646,02-10-2013,2.0
1112629,393434,14-03-2016,12.0
1120455,393434,23-03-2016,1.0
2590977,491763,31-08-2020,1.0
2591017,491766,02-09-2020,6.0
2591066,491767,02-09-2020,2.0
1119434,393464,29-03-2016,7.0
2591273,491775,08-09-2020,2.0
1573838,426241,11-12-2017,3.0
2591676,491781,01-09-2020,3.0
664151,360713,04-10-2013,4.0
2058555,459019,29-05-2019,4.0
2591690,491795,01-09-2020,4.0
663717,360728,30-09-2013,4.0
2053624,459033,21-05-2019,2.0
2605524,491800,14-09-2020,2.0
3162253,524586,16-12-2021,2.0
664245,360750,30-09-2013,2.0
664274,360753,30-09-2013,3.0
3165880,524594,17-12-2021,9.0
664385,360767,02-10-2013,2.0
664395,360768,03-10-2013,2.0
1113862,393536,13-03-2016,3.0
2054467,459076,16-05-2019,4.0
664677,360783,21-10-2013,4.0
1114006,393552,18-04-2016,2.0
3162689,524624,13-12-2021,4.0
664711,360786,01-10-2013,2.0
2593212,491875,31-08-2020,4.0
2054971,459116,06-05-2019,4.0
3163331,524665,13-12-2021,1.0
3163412,524666,15-12-2021,7.0
3164014,524668,22-12-2021,4.0
1575176,426364,18-12-2017,3.0
669568,360836,14-10-2013,3.0
2595846,491916,15-09-2020,2.0
684438,360851,04-11-2013,2.0
