,Ing_Order,Ing_Datum,Ing_Aantal
664415,360451,30-09-2013,2.0
2049938,458756,10-05-2019,2.0
1113472,393222,15-03-2016,8.0
2586889,491527,27-08-2020,12.0
1110421,393225,07-03-2016,4.0
1127084,393225,11-04-2016,10.0
2050026,458762,10-05-2019,4.0
660359,360460,27-09-2013,2.0
1570961,425998,08-12-2017,1.0
2600182,491535,10-09-2020,1.0
2587051,491538,21-09-2020,12.0
1571027,426003,06-12-2017,2.0
2587110,491542,26-08-2020,4.0
660520,360473,14-10-2013,8.0
1571178,426018,06-12-2017,4.0
2050400,458789,22-05-2019,20.0
3158320,524329,07-12-2021,7.0
1571228,426033,06-12-2017,2.0
2051132,458802,21-05-2019,20.0
1571352,426041,06-12-2017,8.0
1571499,426048,18-12-2017,2.0
1571572,426048,20-12-2017,4.0
1571524,426048,19-12-2017,2.0
3158689,524353,06-12-2021,2.0
1571554,426051,07-12-2017,18.0
2587816,491587,15-09-2020,2.0
2050990,458830,10-05-2019,4.0
661345,360536,25-09-2013,30.0
3159686,524377,20-12-2021,6.0
2051020,458844,20-05-2019,3.0
3159312,524381,06-12-2021,4.0
661625,360553,27-09-2013,21.0
1572135,426091,11-12-2017,6.0
3159561,524397,10-12-2021,8.0
3159623,524403,09-12-2021,8.0
1572237,426100,06-12-2017,4.0
2588963,491640,31-08-2020,2.0
661759,360568,04-10-2013,6.0
2051399,458877,27-05-2019,4.0
3160121,524417,21-12-2021,8.0
2051658,458883,15-05-2019,17.0
2589143,491659,31-08-2020,8.0
3159922,524427,15-12-2021,11.0
3159943,524430,09-12-2021,4.0
662146,360600,04-10-2013,3.0
2051788,458904,13-05-2019,8.0
3160704,524448,10-12-2021,2.0
2051900,458914,10-05-2019,4.0
2052299,458915,15-05-2019,10.0
662395,360621,25-09-2013,2.0
2052158,458930,09-05-2019,2.0
662615,360633,30-09-2013,2.0
3161053,524477,17-12-2021,7.0
1573249,426181,15-12-2017,5.0
662737,360646,02-10-2013,8.0
3160818,524491,13-12-2021,1.0
3160858,524491,16-12-2021,3.0
3161596,524493,16-12-2021,1.0
2052475,458963,13-05-2019,10.0
1114150,393430,14-03-2016,2.0
1114167,393430,14-03-2016,2.0
1112622,393434,14-03-2016,17.0
2052814,458978,20-05-2019,12.0
2590713,491752,28-08-2020,2.0
1573575,426218,11-12-2017,2.0
2590822,491754,31-08-2020,6.0
1573656,426221,12-12-2017,7.0
3161187,524525,13-12-2021,5.0
1573706,426225,08-12-2017,2.0
2590963,491763,31-08-2020,4.0
2591024,491766,02-09-2020,2.0
2591050,491767,02-09-2020,14.0
1120819,393464,29-03-2016,12.0
3161324,524534,13-12-2021,4.0
1113012,393468,30-03-2016,2.0
1573854,426241,11-12-2017,4.0
2591660,491781,01-09-2020,8.0
2617313,491781,18-09-2020,8.0
2053566,459015,23-05-2019,4.0
664159,360713,04-10-2013,11.0
2058623,459019,03-06-2019,8.0
2591694,491795,01-09-2020,3.0
663710,360728,30-09-2013,2.0
2053637,459033,21-05-2019,2.0
2605550,491800,14-09-2020,6.0
1574169,426278,11-12-2017,2.0
2068226,459048,03-06-2019,7.0
2103504,459048,02-07-2019,1.0
2141986,459048,19-08-2019,8.0
3162231,524586,16-12-2021,5.0
2053937,459052,15-05-2019,4.0
664231,360750,30-09-2013,4.0
664277,360753,30-09-2013,7.0
3165950,524594,20-12-2021,1.0
3165884,524594,17-12-2021,3.0
2054194,459064,20-05-2019,5.0
1113860,393536,13-03-2016,3.0
2054447,459076,16-05-2019,4.0
664673,360783,21-10-2013,8.0
1114001,393552,18-04-2016,8.0
3162712,524624,13-12-2021,8.0
664707,360786,01-10-2013,2.0
2057906,459092,20-05-2019,4.0
2074458,459092,03-06-2019,6.0
3162552,524631,09-12-2021,2.0
2596355,491875,02-09-2020,6.0
2593206,491875,31-08-2020,6.0
2599754,491875,04-09-2020,6.0
2650836,491875,09-10-2020,3.0
2647606,491875,06-10-2020,2.0
2682466,491875,29-10-2020,2.0
2687669,491875,04-11-2020,3.0
1114511,393576,17-03-2016,10.0
3163093,524648,16-12-2021,6.0
2054966,459116,06-05-2019,2.0
1114668,393592,14-03-2016,2.0
3163339,524665,13-12-2021,6.0
3163387,524666,15-12-2021,1.0
1575196,426364,18-12-2017,2.0
2055075,459132,15-05-2019,4.0
3164027,524668,22-12-2021,4.0
3163454,524672,15-12-2021,5.0
3163624,524673,20-12-2021,12.0
669569,360836,14-10-2013,2.0
2595830,491916,15-09-2020,3.0
2598729,491920,31-08-2020,4.0
2594475,491920,04-09-2020,15.0
2670298,491920,19-10-2020,7.0
2638535,491920,06-10-2020,1.0
2646888,491920,15-10-2020,4.0
684437,360851,04-11-2013,2.0
685158,360852,07-11-2013,2.0
1575733,426392,20-12-2017,2.0
2055348,459161,22-05-2019,5.0
2055433,459164,20-05-2019,4.0
2055551,459166,20-05-2019,5.0
2115679,459166,10-07-2019,2.0
3164054,524705,14-12-2021,3.0
