,End_Order,End_Datum,Ret_Aantal
1930011,458756,22-05-2019,2.0
1011053,393222,16-03-2016,2.0
1011057,393222,16-03-2016,5.0
2500197,491527,07-10-2020,6.0
2500204,491527,07-10-2020,5.0
2500207,491527,07-10-2020,3.0
1058126,393225,10-06-2016,3.0
1058151,393225,10-06-2016,2.0
1044240,393225,13-05-2016,2.0
1917639,458762,10-05-2019,3.0
580335,360460,27-09-2013,3.0
1449309,425998,08-12-2017,8.0
2458595,491535,10-09-2020,8.0
2552044,491538,10-11-2020,4.0
1454211,426003,11-12-2017,2.0
2691535,491542,11-03-2021,3.0
591942,360473,18-10-2013,2.0
3042393,524329,24-12-2021,1.0
3042394,524329,24-12-2021,3.0
1449773,426033,13-12-2017,2.0
1918385,458802,21-05-2019,4.0
1918394,458802,21-05-2019,3.0
1918421,458802,21-05-2019,4.0
1450032,426048,21-12-2017,3.0
1450057,426048,21-12-2017,3.0
1450076,426048,21-12-2017,3.0
3026513,524353,13-12-2021,2.0
1452136,426051,07-12-2017,6.0
1452145,426051,07-12-2017,8.0
2451241,491587,15-09-2020,3.0
1930788,458830,23-05-2019,2.0
1456844,426069,15-12-2017,4.0
1456853,426069,15-12-2017,2.0
1456874,426069,15-12-2017,2.0
3022760,524377,22-12-2021,4.0
3022763,524377,22-12-2021,1.0
3022765,524377,22-12-2021,2.0
1947915,458844,07-06-2019,6.0
2010319,458844,07-06-2019,1.0
611699,360553,29-11-2013,5.0
608760,360553,25-11-2013,2.0
1459086,426091,22-12-2017,4.0
3045303,524397,24-12-2021,3.0
3022589,524403,13-12-2021,2.0
1461960,426100,20-12-2017,10.0
2448295,491640,31-08-2020,4.0
583717,360568,04-10-2013,2.0
583722,360568,04-10-2013,11.0
1918825,458877,29-05-2019,4.0
3023558,524417,23-12-2021,1.0
3023561,524417,23-12-2021,2.0
1919172,458883,17-05-2019,4.0
1919174,458883,17-05-2019,12.0
2520721,491659,20-10-2020,5.0
2520728,491659,20-10-2020,2.0
3023259,524427,15-12-2021,3.0
3023302,524430,09-12-2021,4.0
3024416,524448,10-12-2021,5.0
3024455,524449,10-12-2021,2.0
1919848,458915,16-05-2019,1.0
1919855,458915,16-05-2019,3.0
581787,360621,27-09-2013,1.0
581789,360621,27-09-2013,1.0
584158,360633,07-10-2013,2.0
3025000,524477,20-12-2021,1.0
3025001,524477,20-12-2021,5.0
1452301,426181,18-12-2017,3.0
583153,360646,03-10-2013,2.0
3024779,524491,16-12-2021,1.0
3024782,524491,16-12-2021,2.0
3024923,524491,17-12-2021,4.0
3024935,524491,17-12-2021,1.0
3025737,524493,16-12-2021,22.0
1944956,458963,06-06-2019,6.0
1033068,393430,20-04-2016,1.0
1043736,393430,11-05-2016,2.0
1029789,393434,14-04-2016,3.0
1045350,393434,23-05-2016,1.0
1058067,393434,06-06-2016,8.0
1920326,458978,20-05-2019,4.0
1920328,458978,20-05-2019,8.0
2458055,491752,03-09-2020,2.0
1462668,426218,22-12-2017,3.0
2487994,491754,29-09-2020,1.0
2487998,491754,29-09-2020,2.0
2488007,491754,29-09-2020,4.0
1463324,426221,19-12-2017,3.0
3025190,524525,15-12-2021,5.0
2505297,491763,09-10-2020,2.0
2505304,491763,09-10-2020,2.0
2505321,491763,09-10-2020,0.0
2449990,491766,02-09-2020,6.0
2450003,491766,02-09-2020,5.0
2450017,491767,02-09-2020,5.0
2450019,491767,02-09-2020,2.0
2450029,491767,02-09-2020,2.0
1075703,393464,08-07-2016,4.0
1075704,393464,08-07-2016,7.0
1010715,393468,31-03-2016,1.0
1010724,393468,31-03-2016,2.0
2450151,491775,08-09-2020,2.0
1461989,426241,21-12-2017,2.0
1461994,426241,21-12-2017,3.0
2511666,491781,12-10-2020,1.0
2511688,491781,12-10-2020,3.0
1921098,459015,05-06-2019,2.0
584562,360713,08-10-2013,4.0
1931851,459019,10-06-2019,4.0
1931878,459019,10-06-2019,2.0
2450342,491795,03-09-2020,2.0
2450347,491795,03-09-2020,4.0
587628,360728,09-10-2013,4.0
1921132,459033,24-05-2019,2.0
2504922,491800,09-10-2020,1.0
2504932,491800,09-10-2020,2.0
1011126,393502,14-03-2016,6.0
1011129,393502,14-03-2016,2.0
1921201,459044,17-05-2019,2.0
1921213,459044,17-05-2019,2.0
1453372,426278,12-12-2017,2.0
1993758,459048,19-07-2019,3.0
1963010,459048,01-07-2019,3.0
2043218,459048,11-09-2019,3.0
3026797,524586,16-12-2021,2.0
611355,360750,22-11-2013,2.0
602115,360750,02-11-2013,1.0
602092,360753,02-11-2013,2.0
602105,360753,02-11-2013,1.0
602109,360753,02-11-2013,3.0
3031563,524594,20-12-2021,4.0
3031578,524594,20-12-2021,9.0
3031585,524594,20-12-2021,3.0
3031737,524594,20-12-2021,4.0
3026632,524598,13-12-2021,12.0
