,End_Order,End_Datum,Ret_Aantal
2763318,507904,29-04-2021,2.0
1011049,393222,16-03-2016,1.0
1011058,393222,16-03-2016,4.0
1058128,393225,10-06-2016,2.0
2810480,507914,30-04-2021,1.0
2347400,483338,04-06-2020,5.0
2930889,483338,24-09-2021,3.0
1698741,442380,16-10-2018,1.0
1698743,442380,16-10-2018,2.0
1810138,450571,01-02-2019,1.0
1117316,401423,14-10-2016,2.0
1117332,401423,14-10-2016,2.0
1117340,401423,14-10-2016,2.0
1117360,401423,14-10-2016,6.0
1129384,401424,14-10-2016,4.0
1129404,401424,14-10-2016,3.0
1129405,401424,14-10-2016,2.0
1129407,401424,14-10-2016,12.0
1129409,401424,14-10-2016,1.0
1129413,401424,14-10-2016,1.0
1129414,401424,14-10-2016,1.0
1129428,401424,14-10-2016,5.0
1809947,450575,25-01-2019,1.0
1818055,450575,06-02-2019,1.0
1558266,434195,07-05-2018,3.0
2593235,499732,17-12-2020,3.0
2546209,491542,05-11-2020,2.0
2691538,491542,11-03-2021,1.0
2691541,491542,11-03-2021,2.0
1347590,418458,21-08-2017,30.0
1347591,418458,21-08-2017,22.0
1347597,418458,21-08-2017,6.0
1557985,434200,14-05-2018,2.0
1629722,434203,23-07-2018,1.0
1629723,434203,23-07-2018,1.0
1629732,434203,23-07-2018,1.0
1629735,434203,23-07-2018,3.0
1629737,434203,23-07-2018,1.0
1629738,434203,23-07-2018,1.0
1629745,434203,23-07-2018,1.0
1629750,434203,23-07-2018,1.0
1629756,434203,23-07-2018,2.0
1629758,434203,23-07-2018,2.0
1629763,434203,23-07-2018,1.0
1629764,434203,23-07-2018,4.0
1629771,434203,23-07-2018,12.0
2185429,475171,15-01-2020,1.0
2185436,475171,15-01-2020,1.0
1917983,458789,27-05-2019,15.0
1917973,458790,27-05-2019,15.0
1807355,450599,04-02-2019,2.0
2876027,516139,30-07-2021,2.0
2876033,516139,30-07-2021,1.0
2876034,516139,30-07-2021,4.0
2876039,516139,30-07-2021,1.0
2876058,516139,30-07-2021,1.0
506276,352303,26-03-2013,1.0
1449767,426033,13-12-2017,1.0
1918377,458802,21-05-2019,2.0
1918378,458802,21-05-2019,3.0
1918401,458802,21-05-2019,2.0
1918411,458802,21-05-2019,13.0
493509,352308,19-02-2013,2.0
618688,352308,26-07-2013,3.0
681669,368694,12-05-2014,1.0
681678,368694,12-05-2014,2.0
2725176,507959,12-04-2021,1.0
2725189,507959,12-04-2021,3.0
1700017,442431,28-09-2018,2.0
1450040,426048,21-12-2017,2.0
908919,385095,24-08-2015,4.0
908921,385095,24-08-2015,1.0
2723724,507976,12-05-2021,4.0
2828154,507976,22-06-2021,8.0
1456849,426069,15-12-2017,4.0
1456869,426069,15-12-2017,2.0
1456873,426069,15-12-2017,3.0
801204,376918,12-01-2015,1.0
830043,376918,20-03-2015,1.0
830054,376918,20-03-2015,1.0
3022766,524377,22-12-2021,2.0
1223457,409691,16-03-2017,2.0
1223463,409691,16-03-2017,7.0
1223466,409691,16-03-2017,7.0
2092836,467044,27-10-2019,7.0
1232907,409706,24-03-2017,3.0
3045272,524397,24-12-2021,1.0
3045277,524397,24-12-2021,1.0
3045288,524397,24-12-2021,1.0
3045295,524397,24-12-2021,3.0
1219317,409711,17-03-2017,6.0
1219320,409711,17-03-2017,2.0
1148264,401524,02-11-2016,2.0
622381,360565,18-10-2013,5.0
2047860,467065,20-09-2019,2.0
2047877,467065,20-09-2019,3.0
1175060,401531,14-12-2016,1.0
1238412,401531,03-04-2017,1.0
1918814,458877,29-05-2019,1.0
1919131,458883,17-05-2019,4.0
1919133,458883,17-05-2019,3.0
2734863,508036,13-04-2021,8.0
2734866,508036,13-04-2021,2.0
2734875,508036,13-04-2021,1.0
806099,376965,23-01-2015,8.0
841315,376965,01-04-2015,2.0
841325,376965,01-04-2015,6.0
746134,368776,08-10-2014,2.0
746146,368776,08-10-2014,2.0
1869859,442504,29-03-2019,1.0
2197447,475273,21-01-2020,1.0
2197448,475273,21-01-2020,1.0
2471628,491659,14-09-2020,2.0
2471631,491659,14-09-2020,2.0
2520718,491659,20-10-2020,2.0
2185829,475274,10-01-2020,2.0
2185844,475274,10-01-2020,1.0
2185849,475274,10-01-2020,3.0
2185853,475274,10-01-2020,2.0
2185858,475274,10-01-2020,1.0
2185873,475276,10-01-2020,1.0
2331313,483466,10-06-2020,1.0
1115474,401557,28-09-2016,2.0
583690,360600,04-10-2013,1.0
583694,360600,04-10-2013,4.0
1559714,434329,21-05-2018,3.0
1559740,434329,21-05-2018,4.0
2393261,483482,03-07-2020,1.0
2423836,483482,24-07-2020,1.0
2074624,467099,08-10-2019,2.0
2392476,483483,10-07-2020,5.0
2392477,483483,10-07-2020,2.0
2392479,483483,10-07-2020,1.0
2392488,483483,10-07-2020,2.0
2320110,483483,12-05-2020,2.0
2392255,483484,10-07-2020,2.0
2392256,483484,10-07-2020,4.0
2392261,483484,10-07-2020,1.0
2320094,483484,12-05-2020,2.0
2320100,483484,12-05-2020,1.0
1335718,417950,22-08-2017,1.0
1335721,417950,22-08-2017,5.0
1335728,417950,22-08-2017,1.0
583731,360607,04-10-2013,3.0
2454248,483485,07-09-2020,1.0
473953,352417,28-11-2012,2.0
1919560,458914,20-05-2019,2.0
2608017,499876,14-12-2020,3.0
2393058,483492,13-07-2020,1.0
2501480,483492,19-10-2020,1.0
2501482,483492,19-10-2020,4.0
2501483,483492,19-10-2020,10.0
2949019,516262,06-10-2021,3.0
1784066,434346,14-12-2018,1.0
1693378,442543,28-09-2018,2.0
2047761,467120,13-09-2019,2.0
2186268,475315,13-01-2020,2.0
2186272,475315,13-01-2020,3.0
1785834,442549,21-12-2018,1.0
2055066,467131,20-09-2019,7.0
2055068,467131,20-09-2019,2.0
2725523,508092,12-04-2021,2.0
579929,360637,26-09-2013,3.0
710912,368830,18-07-2014,10.0
710925,368830,18-07-2014,2.0
710929,368830,18-07-2014,2.0
579935,360639,04-10-2013,2.0
1686190,442558,18-09-2018,4.0
2788851,508094,26-05-2021,1.0
2788857,508094,26-05-2021,2.0
2788860,508094,26-05-2021,1.0
2788883,508094,26-05-2021,2.0
2904725,516283,27-08-2021,1.0
2904734,516283,27-08-2021,2.0
1604043,434372,31-05-2018,2.0
1452285,426181,18-12-2017,2.0
1452294,426181,18-12-2017,1.0
1452313,426181,18-12-2017,2.0
583156,360646,03-10-2013,2.0
583159,360646,03-10-2013,2.0
583173,360646,03-10-2013,2.0
1116091,401610,03-10-2016,4.0
475046,352459,28-11-2012,2.0
1223827,409805,13-03-2017,1.0
1117911,401615,03-10-2016,7.0
1117935,401615,03-10-2016,2.0
1702223,442584,05-10-2018,2.0
2192668,475352,27-01-2020,2.0
2192669,475352,27-01-2020,7.0
2192681,475352,27-01-2020,10.0
2192698,475352,27-01-2020,2.0
2192700,475352,27-01-2020,4.0
2192704,475352,27-01-2020,3.0
1036058,393434,13-05-2016,3.0
1058035,393434,06-06-2016,1.0
1058065,393434,06-06-2016,1.0
1058071,393434,06-06-2016,5.0
1920156,458973,14-07-2019,4.0
799505,377058,22-01-2015,2.0
799508,377058,22-01-2015,4.0
799509,377058,22-01-2015,3.0
2076254,467172,14-10-2019,2.0
2076257,467172,14-10-2019,1.0
2076260,467172,14-10-2019,1.0
2076263,467172,14-10-2019,2.0
2076266,467172,14-10-2019,1.0
2092933,467172,27-10-2019,2.0
2092950,467172,27-10-2019,1.0
2092962,467172,27-10-2019,1.0
2092965,467172,27-10-2019,2.0
2092970,467172,27-10-2019,1.0
2092972,467172,27-10-2019,11.0
2092984,467172,27-10-2019,1.0
2092987,467172,27-10-2019,1.0
2092993,467172,27-10-2019,2.0
2093027,467172,27-10-2019,11.0
1805063,450789,25-01-2019,12.0
485178,352486,07-01-2013,3.0
1463346,426221,19-12-2017,3.0
579884,360688,23-09-2013,2.0
807163,377072,27-01-2015,4.0
807178,377072,27-01-2015,10.0
2187620,475376,15-01-2020,3.0
3032830,524534,15-12-2021,2.0
1921678,458999,25-05-2019,9.0
1075698,393464,08-07-2016,16.0
1075699,393464,08-07-2016,2.0
1075711,393464,08-07-2016,2.0
1944711,459001,07-06-2019,3.0
2622665,499960,29-12-2020,1.0
2622669,499960,29-12-2020,1.0
1223770,409850,15-03-2017,1.0
1223786,409850,15-03-2017,2.0
1010707,393468,31-03-2016,2.0
906511,385280,21-08-2015,2.0
2095408,467201,25-10-2019,3.0
2095409,467201,25-10-2019,2.0
2095414,467201,25-10-2019,2.0
2095416,467201,25-10-2019,1.0
2095419,467201,25-10-2019,2.0
2129433,467201,15-11-2019,2.0
2187409,475393,17-01-2020,2.0
2359832,483588,12-06-2020,1.0
2473937,491781,21-09-2020,1.0
2473940,491781,21-09-2020,1.0
2511676,491781,12-10-2020,1.0
2511691,491781,12-10-2020,1.0
1921083,459015,05-06-2019,2.0
1921095,459015,05-06-2019,3.0
584567,360713,08-10-2013,2.0
