,Ing_Order,Ing_Datum,Ing_Aantal
2883478,507904,14-04-2021,2.0
1113425,393222,11-03-2016,1.0
1113435,393222,14-03-2016,4.0
1127064,393225,11-04-2016,2.0
2868504,507914,06-04-2021,1.0
2444297,483338,28-04-2020,8.0
1828901,442380,05-10-2018,1.0
1828907,442380,16-10-2018,2.0
1925727,450571,17-01-2019,1.0
1222187,401423,20-09-2016,2.0
1226461,401423,03-10-2016,2.0
1226470,401423,03-10-2016,6.0
1226472,401423,03-10-2016,2.0
1222189,401424,20-09-2016,4.0
1227294,401424,03-10-2016,2.0
1227309,401424,03-10-2016,5.0
1227312,401424,03-10-2016,1.0
1227321,401424,03-10-2016,3.0
1227329,401424,03-10-2016,1.0
1227332,401424,03-10-2016,1.0
1226929,401424,28-09-2016,12.0
1925778,450575,17-01-2019,1.0
1925781,450575,17-01-2019,1.0
1683545,434195,07-05-2018,3.0
2734712,499732,11-12-2020,3.0
2587111,491542,26-08-2020,2.0
2587133,491542,26-08-2020,1.0
2587134,491542,26-08-2020,2.0
1461371,418458,17-08-2017,30.0
1461375,418458,17-08-2017,6.0
1461377,418458,17-08-2017,22.0
1682818,434200,03-05-2018,2.0
1683035,434203,04-05-2018,12.0
1683041,434203,04-05-2018,1.0
1683046,434203,04-05-2018,1.0
1683050,434203,04-05-2018,3.0
1683053,434203,04-05-2018,1.0
1683055,434203,04-05-2018,2.0
1683056,434203,04-05-2018,1.0
1683061,434203,04-05-2018,4.0
1683065,434203,04-05-2018,1.0
1683072,434203,04-05-2018,1.0
1683075,434203,04-05-2018,2.0
1683076,434203,04-05-2018,1.0
1683081,434203,04-05-2018,1.0
2313333,475171,06-01-2020,1.0
2314402,475171,13-01-2020,1.0
2050397,458789,22-05-2019,15.0
2050327,458790,15-05-2019,15.0
1925986,450599,15-01-2019,2.0
3016119,516139,23-07-2021,2.0
3017011,516139,28-07-2021,4.0
3017014,516139,28-07-2021,1.0
3017044,516139,28-07-2021,1.0
3017068,516139,28-07-2021,1.0
545685,352303,22-11-2012,1.0
1571229,426033,06-12-2017,1.0
2050717,458802,21-05-2019,13.0
2050745,458802,21-05-2019,3.0
2050746,458802,21-05-2019,2.0
2050490,458802,14-05-2019,2.0
545722,352308,22-11-2012,2.0
570807,352308,01-03-2013,3.0
3159214,524342,20-12-2021,2.0
3159353,524343,20-12-2021,2.0
770170,368694,07-04-2014,2.0
770215,368694,11-04-2014,1.0
2869729,507959,08-04-2021,3.0
2869404,507959,06-04-2021,1.0
1807109,442431,14-09-2018,2.0
1571573,426048,20-12-2017,2.0
1000456,385095,14-08-2015,1.0
999039,385095,12-08-2015,4.0
2869707,507976,06-04-2021,4.0
2955045,507976,09-06-2021,8.0
1571816,426069,11-12-2017,2.0
1571817,426069,11-12-2017,3.0
1571828,426069,11-12-2017,4.0
885433,376917,05-01-2015,2.0
885441,376918,08-01-2015,2.0
917217,376918,09-03-2015,1.0
