,Ing_Order,Ing_Datum,Ing_Aantal
2049943,458756,10-05-2019,2.0
1113446,393222,14-03-2016,5.0
1113452,393222,14-03-2016,2.0
2586887,491527,27-08-2020,6.0
2586896,491527,27-08-2020,5.0
2586898,491527,27-08-2020,3.0
1110423,393225,07-03-2016,2.0
1127052,393225,11-04-2016,3.0
1127065,393225,11-04-2016,2.0
2050027,458762,10-05-2019,3.0
660355,360460,27-09-2013,3.0
1570959,425998,08-12-2017,8.0
2600186,491535,10-09-2020,8.0
2587054,491538,21-09-2020,4.0
1571028,426003,06-12-2017,2.0
2587124,491542,26-08-2020,3.0
660521,360473,14-10-2013,2.0
3158324,524329,07-12-2021,3.0
3158331,524329,07-12-2021,1.0
1571227,426033,06-12-2017,2.0
2050704,458802,21-05-2019,4.0
2050710,458802,21-05-2019,3.0
2050753,458802,21-05-2019,4.0
1571531,426048,19-12-2017,3.0
1571536,426048,19-12-2017,3.0
1571507,426048,18-12-2017,3.0
3158687,524353,06-12-2021,2.0
1571550,426051,07-12-2017,6.0
1571551,426051,07-12-2017,8.0
2587813,491587,15-09-2020,3.0
2050985,458830,10-05-2019,2.0
1571813,426069,11-12-2017,2.0
1571822,426069,11-12-2017,4.0
1571829,426069,11-12-2017,2.0
3159691,524377,20-12-2021,1.0
3159692,524377,20-12-2021,2.0
3159699,524377,20-12-2021,4.0
2051015,458844,20-05-2019,7.0
661654,360553,27-09-2013,5.0
661660,360553,27-09-2013,2.0
1572139,426091,11-12-2017,4.0
3159571,524397,10-12-2021,3.0
3159625,524403,09-12-2021,2.0
1572234,426100,06-12-2017,10.0
2588949,491640,31-08-2020,4.0
661749,360568,04-10-2013,11.0
661757,360568,04-10-2013,2.0
2051411,458877,27-05-2019,4.0
3160116,524417,21-12-2021,4.0
3160118,524417,21-12-2021,1.0
3160124,524417,21-12-2021,2.0
2051676,458883,15-05-2019,4.0
2051686,458883,15-05-2019,12.0
2589134,491659,31-08-2020,5.0
2589144,491659,31-08-2020,2.0
3159921,524427,15-12-2021,3.0
3159935,524430,09-12-2021,4.0
3160706,524448,10-12-2021,5.0
3160739,524449,10-12-2021,2.0
2052305,458915,15-05-2019,1.0
2052308,458915,15-05-2019,3.0
662393,360621,25-09-2013,1.0
662396,360621,25-09-2013,1.0
662616,360633,30-09-2013,2.0
3161062,524477,17-12-2021,1.0
3161068,524477,17-12-2021,5.0
1573258,426181,15-12-2017,3.0
662735,360646,02-10-2013,2.0
3160808,524491,13-12-2021,1.0
3160826,524491,13-12-2021,6.0
3160961,524491,17-12-2021,1.0
3161592,524493,16-12-2021,22.0
2052471,458963,13-05-2019,6.0
1112507,393430,14-03-2016,3.0
1112612,393434,14-03-2016,12.0
2052799,458978,20-05-2019,8.0
2052804,458978,20-05-2019,4.0
2590710,491752,28-08-2020,2.0
1573573,426218,11-12-2017,3.0
2590806,491754,31-08-2020,2.0
2590817,491754,31-08-2020,1.0
2590820,491754,31-08-2020,4.0
1573649,426221,12-12-2017,3.0
3161207,524525,13-12-2021,5.0
2590964,491763,31-08-2020,1.0
2590983,491763,31-08-2020,2.0
2590986,491763,31-08-2020,2.0
2591033,491766,02-09-2020,6.0
2591037,491766,02-09-2020,5.0
2591042,491767,02-09-2020,2.0
2591043,491767,02-09-2020,5.0
2591056,491767,02-09-2020,2.0
1119436,393464,29-03-2016,4.0
1119440,393464,29-03-2016,7.0
1113015,393468,30-03-2016,1.0
1113023,393468,30-03-2016,2.0
2591275,491775,08-09-2020,2.0
1573837,426241,11-12-2017,3.0
1573847,426241,11-12-2017,2.0
2591665,491781,01-09-2020,3.0
2591675,491781,01-09-2020,1.0
2053578,459015,23-05-2019,2.0
664164,360713,04-10-2013,4.0
2058539,459019,29-05-2019,2.0
2058550,459019,29-05-2019,4.0
2591685,491795,01-09-2020,2.0
2591708,491795,01-09-2020,4.0
663714,360728,30-09-2013,4.0
2053626,459033,21-05-2019,2.0
2605515,491800,14-09-2020,2.0
2605517,491800,14-09-2020,1.0
1113587,393502,14-03-2016,6.0
1113594,393502,14-03-2016,2.0
2053755,459044,17-05-2019,2.0
2053764,459044,17-05-2019,2.0
1574175,426278,11-12-2017,2.0
2068240,459048,03-06-2019,6.0
2141981,459048,19-08-2019,3.0
3162244,524586,16-12-2021,2.0
664226,360750,30-09-2013,1.0
664243,360750,30-09-2013,2.0
664255,360753,30-09-2013,1.0
664269,360753,30-09-2013,3.0
664276,360753,30-09-2013,2.0
3165944,524594,20-12-2021,4.0
3165874,524594,17-12-2021,9.0
3165877,524594,17-12-2021,4.0
3165881,524594,17-12-2021,3.0
3162119,524598,13-12-2021,12.0
2054136,459064,17-05-2019,3.0
664382,360767,02-10-2013,2.0
664390,360767,02-10-2013,2.0
664396,360768,03-10-2013,2.0
664406,360768,03-10-2013,2.0
1113857,393536,13-03-2016,3.0
2054452,459076,16-05-2019,4.0
2054468,459076,16-05-2019,4.0
664671,360783,21-10-2013,4.0
1114013,393552,18-04-2016,2.0
3162678,524624,13-12-2021,4.0
3162699,524624,13-12-2021,1.0
664717,360786,01-10-2013,2.0
2057909,459092,20-05-2019,4.0
2593214,491875,31-08-2020,4.0
2687668,491875,04-11-2020,2.0
1114515,393576,17-03-2016,4.0
3163088,524648,16-12-2021,3.0
3163099,524648,16-12-2021,3.0
3163102,524648,16-12-2021,1.0
2054962,459116,06-05-2019,2.0
2054969,459116,06-05-2019,4.0
1114665,393592,14-03-2016,2.0
3163332,524665,13-12-2021,2.0
3163333,524665,13-12-2021,1.0
3163342,524665,13-12-2021,1.0
3163344,524665,13-12-2021,1.0
3163377,524666,15-12-2021,7.0
3163393,524666,15-12-2021,3.0
1575188,426364,18-12-2017,3.0
1575198,426364,18-12-2017,8.0
2055073,459132,15-05-2019,2.0
3164011,524668,22-12-2021,4.0
3164025,524668,22-12-2021,3.0
3163472,524672,15-12-2021,5.0
3163625,524673,20-12-2021,5.0
2060363,459138,20-05-2019,4.0
669549,360836,14-10-2013,3.0
2595827,491916,15-09-2020,4.0
2595848,491916,15-09-2020,2.0
1114921,393615,18-03-2016,2.0
2670286,491920,19-10-2020,4.0
2594477,491920,04-09-2020,11.0
2638549,491920,06-10-2020,2.0
684442,360851,04-11-2013,2.0
685177,360852,07-11-2013,2.0
1575737,426392,20-12-2017,2.0
2055352,459161,22-05-2019,3.0
2055418,459164,20-05-2019,2.0
2055562,459166,20-05-2019,3.0
2055563,459166,20-05-2019,4.0
3164057,524705,14-12-2021,5.0
3164059,524705,14-12-2021,4.0
2594514,491938,31-08-2020,2.0
1118624,393635,24-03-2016,4.0
3164107,524706,10-12-2021,5.0
1576040,426406,18-12-2017,2.0
3164183,524712,16-12-2021,5.0
1576088,426409,24-01-2018,1.0
1576093,426409,24-01-2018,2.0
2057197,459190,24-05-2019,2.0
1576287,426423,18-12-2017,2.0
1576288,426423,18-12-2017,6.0
3164456,524732,22-12-2021,2.0
3164467,524733,14-12-2021,3.0
2595084,491966,03-09-2020,4.0
2595107,491966,03-09-2020,6.0
2595151,491967,03-09-2020,2.0
3164498,524734,14-12-2021,2.0
3165359,524736,15-12-2021,7.0
3165360,524736,15-12-2021,4.0
3165371,524736,15-12-2021,1.0
3164552,524737,14-12-2021,3.0
2595302,491971,02-09-2020,2.0
1576655,426451,15-12-2017,2.0
1576668,426454,14-12-2017,2.0
1115993,393687,17-03-2016,6.0
1115995,393687,17-03-2016,3.0
1576702,426456,18-12-2017,4.0
1576800,426459,14-12-2017,4.0
1576803,426459,14-12-2017,2.0
2059009,459227,13-05-2019,3.0
1116130,393693,21-03-2016,4.0
2595720,492001,09-09-2020,2.0
3167547,524769,20-12-2021,6.0
3167730,524770,21-12-2021,4.0
3167665,524771,23-12-2021,6.0
2057110,459243,20-05-2019,7.0
1577144,426476,15-12-2017,4.0
1577157,426476,15-12-2017,2.0
2596057,492021,04-09-2020,4.0
2057261,459254,20-05-2019,4.0
2057266,459254,20-05-2019,2.0
2057314,459257,22-05-2019,2.0
2057353,459259,20-05-2019,5.0
3165745,524796,23-12-2021,4.0
2596132,492029,02-09-2020,2.0
2596150,492029,02-09-2020,2.0
2596159,492032,01-09-2020,2.0
2596166,492032,01-09-2020,2.0
2596208,492033,02-09-2020,2.0
2596222,492034,02-09-2020,2.0
3165309,524801,15-12-2021,3.0
1578005,426501,18-12-2017,4.0
1578012,426501,18-12-2017,3.0
2057798,459286,20-05-2019,2.0
2057803,459286,20-05-2019,1.0
3165677,524822,20-12-2021,6.0
3165651,524826,16-12-2021,3.0
667728,360987,08-10-2013,2.0
2057869,459291,20-05-2019,5.0
667801,360991,04-10-2013,2.0
667817,360994,04-10-2013,4.0
667824,360994,04-10-2013,1.0
2597023,492072,03-09-2020,6.0
1577980,426538,18-12-2017,2.0
1578003,426540,18-12-2017,2.0
3165967,524845,21-12-2021,2.0
1578064,426542,14-12-2017,2.0
2597327,492087,03-09-2020,5.0
2597332,492087,03-09-2020,1.0
3166047,524856,15-12-2021,4.0
668251,361020,07-10-2013,5.0
2597731,492093,03-09-2020,4.0
2597754,492093,03-09-2020,2.0
2597762,492093,03-09-2020,2.0
1578344,426561,18-12-2017,6.0
1578354,426561,18-12-2017,6.0
668255,361026,07-10-2013,2.0
668266,361026,07-10-2013,2.0
2598035,492099,15-09-2020,3.0
2622726,492099,22-09-2020,3.0
2597650,492103,03-09-2020,5.0
1578648,426591,19-12-2017,2.0
2060594,459360,31-05-2019,2.0
2060609,459360,31-05-2019,2.0
2060610,459360,31-05-2019,1.0
2060614,459360,31-05-2019,5.0
2058844,459370,22-05-2019,4.0
2078494,459370,07-06-2019,10.0
3166725,524906,16-12-2021,2.0
1578874,426612,08-01-2018,2.0
1579021,426617,05-01-2018,2.0
1579032,426617,05-01-2018,4.0
2059240,459385,27-05-2019,1.0
2059250,459385,27-05-2019,3.0
2059256,459385,27-05-2019,2.0
2059262,459386,20-05-2019,2.0
2598629,492164,08-09-2020,6.0
2059439,459399,17-05-2019,8.0
2603909,492168,14-09-2020,5.0
