,End_Order,End_Datum,Ret_Aantal
2763325,507904,29-04-2021,4.0
1011067,393222,16-03-2016,9.0
1058136,393225,10-06-2016,7.0
1698757,442380,16-10-2018,6.0
2755482,507917,21-04-2021,3.0
1117325,401423,14-10-2016,12.0
1117353,401423,14-10-2016,10.0
1129408,401424,14-10-2016,6.0
1129429,401424,14-10-2016,6.0
1818054,450575,06-02-2019,2.0
2691544,491542,11-03-2021,1.0
2691547,491542,11-03-2021,1.0
1629719,434203,23-07-2018,15.0
1629728,434203,23-07-2018,13.0
1629734,434203,23-07-2018,12.0
1629759,434203,23-07-2018,5.0
2185439,475171,15-01-2020,6.0
2876044,516139,30-07-2021,9.0
2876083,516139,30-07-2021,13.0
1918369,458802,21-05-2019,34.0
472762,352308,22-11-2012,1.0
493513,352308,19-02-2013,1.0
681662,368694,12-05-2014,3.0
2725170,507959,12-04-2021,9.0
1456862,426069,15-12-2017,16.0
801200,376918,12-01-2015,3.0
830045,376918,20-03-2015,5.0
1223472,409691,16-03-2017,16.0
1232902,409706,24-03-2017,6.0
3045290,524397,24-12-2021,3.0
3045302,524397,24-12-2021,4.0
2047853,467065,20-09-2019,6.0
1238421,401531,03-04-2017,14.0
1919141,458883,17-05-2019,8.0
2734864,508036,13-04-2021,5.0
806102,376965,23-01-2015,5.0
841317,376965,01-04-2015,7.0
841324,376965,01-04-2015,16.0
746137,368776,08-10-2014,2.0
1869858,442504,29-03-2019,4.0
2185838,475274,10-01-2020,7.0
2185843,475274,10-01-2020,5.0
2471634,491659,14-09-2020,7.0
2471637,491659,14-09-2020,7.0
2337282,483474,26-05-2020,3.0
583693,360600,04-10-2013,3.0
583704,360600,04-10-2013,4.0
1559739,434329,21-05-2018,7.0
2392474,483483,10-07-2020,10.0
2392486,483483,10-07-2020,2.0
2392257,483484,10-07-2020,5.0
2392263,483484,10-07-2020,13.0
2320102,483484,12-05-2020,15.0
473941,352417,28-11-2012,3.0
2347689,483492,05-06-2020,3.0
2393059,483492,13-07-2020,12.0
2501479,483492,19-10-2020,21.0
2501486,483492,19-10-2020,9.0
2501489,483492,19-10-2020,3.0
2501496,483492,19-10-2020,8.0
1693381,442543,28-09-2018,3.0
2047756,467120,13-09-2019,11.0
2186273,475315,13-01-2020,4.0
1785817,442549,21-12-2018,2.0
2055067,467131,20-09-2019,11.0
2904743,516283,27-08-2021,3.0
2904745,516283,27-08-2021,3.0
710937,368830,18-07-2014,20.0
1686195,442558,18-09-2018,6.0
2788878,508094,26-05-2021,9.0
2788886,508094,26-05-2021,15.0
1452310,426181,18-12-2017,6.0
583166,360646,03-10-2013,7.0
1116084,401610,03-10-2016,19.0
1117896,401615,03-10-2016,21.0
2076269,467172,14-10-2019,3.0
2092961,467172,27-10-2019,20.0
2093011,467172,27-10-2019,23.0
2093025,467172,27-10-2019,3.0
485173,352486,07-01-2013,3.0
1463341,426221,19-12-2017,5.0
3025176,524525,15-12-2021,2.0
807169,377072,27-01-2015,14.0
1921680,458999,25-05-2019,9.0
1075692,393464,08-07-2016,2.0
1075713,393464,08-07-2016,37.0
1075724,393464,08-07-2016,2.0
1077228,393464,08-07-2016,1.0
1223773,409850,15-03-2017,5.0
1223779,409850,15-03-2017,4.0
906489,385280,21-08-2015,14.0
2095415,467201,25-10-2019,9.0
2095421,467201,25-10-2019,7.0
2473936,491781,21-09-2020,6.0
2511686,491781,12-10-2020,2.0
1921080,459015,05-06-2019,9.0
584571,360713,08-10-2013,13.0
1931861,459019,10-06-2019,21.0
1931882,459019,10-06-2019,16.0
1931899,459019,10-06-2019,3.0
2323393,483599,19-05-2020,5.0
2323407,483599,19-05-2020,1.0
2323423,483599,19-05-2020,4.0
2323425,483599,19-05-2020,21.0
2323450,483599,19-05-2020,19.0
2323452,483599,19-05-2020,18.0
2317406,483599,13-05-2020,5.0
1805660,450838,25-01-2019,24.0
2727291,508183,08-04-2021,3.0
2504924,491800,09-10-2020,9.0
2477865,483616,18-09-2020,12.0
1564947,434468,23-05-2018,3.0
1564968,434468,23-05-2018,2.0
1805928,450854,24-01-2019,15.0
3026794,524586,16-12-2021,3.0
