,Ing_Order,Ing_Datum,Ing_Aantal
2883490,507904,28-04-2021,4.0
1113454,393222,14-03-2016,9.0
1127072,393225,11-04-2016,7.0
1828919,442380,16-10-2018,6.0
2879625,507917,09-04-2021,3.0
1226485,401423,03-10-2016,10.0
1226488,401423,03-10-2016,12.0
1227299,401424,03-10-2016,6.0
1227302,401424,03-10-2016,6.0
1925770,450575,17-01-2019,2.0
2587109,491542,26-08-2020,1.0
2587131,491542,26-08-2020,1.0
1683036,434203,04-05-2018,13.0
1683051,434203,04-05-2018,5.0
1683062,434203,04-05-2018,15.0
1683079,434203,04-05-2018,12.0
2314401,475171,13-01-2020,6.0
3017036,516139,28-07-2021,13.0
3017045,516139,28-07-2021,9.0
2050735,458802,21-05-2019,34.0
545720,352308,22-11-2012,2.0
770216,368694,11-04-2014,3.0
2869730,507959,08-04-2021,9.0
1571812,426069,11-12-2017,16.0
885444,376918,08-01-2015,8.0
1332744,409691,16-03-2017,16.0
1332838,409706,13-03-2017,6.0
3159566,524397,10-12-2021,4.0
3159581,524397,10-12-2021,3.0
2183974,467065,19-09-2019,6.0
1224184,401531,29-09-2016,14.0
2051681,458883,15-05-2019,8.0
2870726,508036,12-04-2021,5.0
887473,376965,12-01-2015,21.0
894482,376965,20-01-2015,7.0
771480,368776,02-06-2014,2.0
1808166,442504,14-09-2018,4.0
2314973,475274,08-01-2020,7.0
2314978,475274,08-01-2020,5.0
2589136,491659,31-08-2020,7.0
2589151,491659,31-08-2020,7.0
2446672,483474,29-04-2020,3.0
662142,360600,04-10-2013,4.0
662148,360600,04-10-2013,3.0
1684584,434329,17-05-2018,7.0
2474199,483483,22-05-2020,12.0
2446960,483484,04-05-2020,20.0
2474142,483484,15-05-2020,13.0
547236,352417,27-11-2012,3.0
2449735,483492,06-05-2020,8.0
2449742,483492,06-05-2020,3.0
2449748,483492,06-05-2020,15.0
2536857,483492,13-07-2020,9.0
2536860,483492,13-07-2020,21.0
1808723,442543,17-09-2018,3.0
2183842,467120,12-09-2019,11.0
2315511,475315,13-01-2020,4.0
1809185,442549,17-09-2018,2.0
2184014,467131,13-09-2019,11.0
3019041,516283,24-08-2021,3.0
3019045,516283,24-08-2021,3.0
772716,368830,10-06-2014,20.0
1808936,442558,14-09-2018,6.0
2871763,508094,07-04-2021,9.0
2871779,508094,07-04-2021,15.0
1573247,426181,15-12-2017,6.0
662726,360646,02-10-2013,7.0
1225195,401610,30-09-2016,19.0
1227224,401615,30-09-2016,21.0
2217613,467172,14-10-2019,3.0
2184846,467172,26-09-2019,26.0
2184915,467172,26-09-2019,20.0
548586,352486,29-11-2012,3.0
1573650,426221,12-12-2017,5.0
3161209,524525,13-12-2021,2.0
888083,377072,09-01-2015,14.0
2054082,458999,24-05-2019,9.0
1119438,393464,29-03-2016,37.0
1122213,393464,29-03-2016,2.0
1122610,393464,29-03-2016,3.0
1335374,409850,13-03-2017,5.0
1335383,409850,13-03-2017,4.0
1001682,385280,20-08-2015,14.0
2192200,467201,20-09-2019,9.0
2192214,467201,20-09-2019,7.0
2591649,491781,01-09-2020,6.0
2617315,491781,18-09-2020,2.0
2053575,459015,23-05-2019,9.0
664160,360713,04-10-2013,13.0
2058548,459019,29-05-2019,16.0
2058557,459019,29-05-2019,21.0
2058631,459019,03-06-2019,3.0
2460727,483599,13-05-2020,1.0
2466969,483599,18-05-2020,19.0
2466977,483599,18-05-2020,5.0
2448765,483599,01-05-2020,23.0
2448784,483599,01-05-2020,21.0
2448797,483599,01-05-2020,4.0
1928707,450838,24-01-2019,24.0
2873303,508183,08-04-2021,3.0
2605512,491800,14-09-2020,9.0
2449129,483616,04-05-2020,12.0
1690302,434468,22-05-2018,3.0
1690309,434468,22-05-2018,2.0
1929032,450854,24-01-2019,15.0
3162234,524586,16-12-2021,3.0
1810535,442667,17-09-2018,11.0
2449522,483631,04-05-2020,5.0
2873998,508214,09-04-2021,4.0
2054130,459064,17-05-2019,11.0
3021250,516409,16-08-2021,7.0
3021255,516409,16-08-2021,14.0
1226637,401727,30-09-2016,4.0
1343376,409922,27-03-2017,4.0
888427,377160,07-01-2015,7.0
1003352,385355,24-08-2015,8.0
664666,360783,21-10-2013,25.0
680995,360783,21-10-2013,13.0
1114007,393552,18-04-2016,25.0
3162686,524624,13-12-2021,1.0
3162718,524624,13-12-2021,1.0
1697583,434519,30-05-2018,11.0
1697602,434519,30-05-2018,8.0
2450941,483672,07-05-2020,1.0
1811915,442713,21-09-2018,6.0
774353,368994,03-06-2014,11.0
2596356,491875,02-09-2020,5.0
2599755,491875,04-09-2020,5.0
1336749,409968,27-03-2017,10.0
1003270,385395,31-08-2015,24.0
2328674,475512,24-01-2020,6.0
2328680,475512,24-01-2020,7.0
2328693,475512,24-01-2020,8.0
1227906,401785,17-10-2016,11.0
1227988,401787,24-10-2016,5.0
3024854,516478,27-08-2021,3.0
2875113,508293,09-04-2021,4.0
1930145,450949,23-01-2019,2.0
1346868,401799,27-03-2017,5.0
1346871,401799,27-03-2017,6.0
1689756,434573,11-05-2018,10.0
1689805,434573,11-05-2018,7.0
1938523,450965,06-02-2019,3.0
1938570,450965,06-02-2019,3.0
2055351,459161,22-05-2019,1.0
2055366,459161,22-05-2019,3.0
2741233,500121,11-12-2020,4.0
889501,377243,12-01-2015,3.0
2875366,508321,12-04-2021,5.0
2891227,508321,16-04-2021,2.0
2055570,459172,16-05-2019,7.0
2188372,467377,07-09-2019,6.0
2456352,483765,08-05-2020,18.0
2456368,483765,08-05-2020,16.0
1228443,401851,27-09-2016,16.0
3164462,524733,14-12-2021,1.0
3164474,524733,14-12-2021,3.0
3164550,524737,14-12-2021,2.0
2320108,475588,13-01-2020,3.0
2320109,475588,13-01-2020,3.0
550749,352709,11-12-2012,10.0
2606561,491985,07-09-2020,9.0
2595487,491985,04-09-2020,3.0
1689479,434642,14-05-2018,16.0
776288,369114,05-06-2014,1.0
2876484,508379,21-05-2021,3.0
1232544,401886,10-10-2016,11.0
2056720,459232,17-05-2019,165.0
2743019,500194,11-01-2021,40.0
2452615,483814,11-05-2020,15.0
2452637,483814,12-05-2020,1.0
2057097,459243,20-05-2019,11.0
2320690,475627,14-01-2020,8.0
1459648,418291,14-08-2017,14.0
2742460,500215,18-12-2020,6.0
2601710,492024,07-09-2020,2.0
2596070,492024,01-09-2020,3.0
1813681,442873,20-09-2018,4.0
2596283,492026,03-09-2020,4.0
2191646,467455,24-09-2019,14.0
2191669,467455,24-09-2019,9.0
1813845,442881,20-09-2018,14.0
667459,360968,04-10-2013,5.0
2879945,508424,15-04-2021,2.0
2452858,483850,06-05-2020,6.0
1690744,434699,14-05-2018,16.0
2879970,508433,15-04-2021,6.0
2880027,508435,16-04-2021,21.0
667723,360987,08-10-2013,2.0
2057866,459291,20-05-2019,3.0
2878269,508447,12-04-2021,9.0
2597022,492072,03-09-2020,10.0
2598046,492099,15-09-2020,8.0
2598063,492099,15-09-2020,6.0
2622737,492099,22-09-2020,8.0
2622754,492099,22-09-2020,6.0
892123,377413,16-01-2015,17.0
1006329,385606,01-09-2015,8.0
2471399,483917,18-05-2020,1.0
2454085,483917,06-05-2020,6.0
2454089,483917,06-05-2020,6.0
