,End_Order,End_Datum,Ret_Aantal
2453315,491523,15-09-2020,8.0
2596282,499715,11-12-2020,2.0
1008672,393221,09-03-2016,4.0
681261,368645,28-05-2014,4.0
2596388,499716,11-12-2020,6.0
2596505,499719,11-12-2020,4.0
680821,368656,23-05-2014,4.0
1008695,393233,07-03-2016,4.0
1008723,393235,08-03-2016,4.0
1802977,450583,21-01-2019,8.0
1679403,442396,14-09-2018,7.0
1008858,393245,09-03-2016,4.0
684515,368671,28-05-2014,2.0
1803030,450592,22-01-2019,8.0
1679413,442401,14-09-2018,4.0
1008868,393252,10-03-2016,4.0
1008886,393254,11-03-2016,4.0
1008896,393257,08-03-2016,4.0
1008906,393258,09-03-2016,4.0
2447098,491562,01-09-2020,10.0
2447103,491562,01-09-2020,10.0
2447184,491563,02-09-2020,10.0
2447189,491563,02-09-2020,10.0
2447226,491564,03-09-2020,10.0
2447231,491564,03-09-2020,10.0
1557624,434221,09-05-2018,5.0
2447243,491567,04-09-2020,10.0
2447248,491567,04-09-2020,10.0
2447265,491568,07-09-2020,10.0
2447270,491568,07-09-2020,10.0
2447296,491569,08-09-2020,10.0
2447301,491569,08-09-2020,10.0
2281848,466989,09-04-2020,2.0
2354708,483371,12-06-2020,8.0
2302452,483372,28-04-2020,8.0
911388,385073,28-08-2015,6.0
2367772,483378,15-06-2020,5.0
911179,385076,24-08-2015,7.0
2909930,516149,01-09-2021,4.0
2499295,491579,02-10-2020,10.0
2499297,491579,02-10-2020,10.0
1466383,426044,21-12-2017,2.0
2499319,491582,02-10-2020,10.0
2499324,491582,02-10-2020,10.0
2302598,483391,28-04-2020,8.0
2310369,483392,08-05-2020,4.0
2311580,483397,08-05-2020,1.0
1918311,458822,04-06-2019,2.0
911221,385096,24-08-2015,2.0
911229,385096,24-08-2015,4.0
2302834,483402,29-04-2020,8.0
2046630,467020,26-09-2019,2.0
812914,376908,10-02-2015,1.0
850111,376908,24-04-2015,3.0
2302966,483404,30-04-2020,4.0
2723636,507984,07-04-2021,4.0
2384013,483409,03-07-2020,3.0
2596831,499797,08-12-2020,8.0
1678908,442453,14-09-2018,2.0
1558518,434264,25-05-2018,6.0
2303189,483416,30-04-2020,2.0
1344991,417884,09-08-2017,1.0
682237,368739,02-06-2014,8.0
682337,368743,02-06-2014,4.0
1176058,401511,15-12-2016,2.0
682427,368749,02-06-2014,4.0
2595921,499821,13-03-2021,4.0
2595937,499821,13-03-2021,4.0
1336707,417901,26-07-2017,2.0
682463,368753,02-06-2014,2.0
1720511,442482,22-10-2018,4.0
1720520,442482,22-10-2018,6.0
1710354,442483,15-10-2018,6.0
2448984,491636,28-08-2020,7.0
2324053,483443,02-06-2020,2.0
2466050,483443,21-09-2020,1.0
2437224,483445,24-08-2020,2.0
2437228,483445,24-08-2020,3.0
2196717,475255,17-01-2020,8.0
2561004,483447,13-11-2020,2.0
1803950,450681,05-02-2019,2.0
2725467,508026,10-04-2021,1.0
2725500,508026,10-04-2021,9.0
1460189,426108,15-12-2017,4.0
2191152,475261,27-01-2020,9.0
2611046,499838,21-12-2020,4.0
1353280,417917,25-08-2017,4.0
2186257,475266,09-01-2020,12.0
1451309,426115,08-12-2017,8.0
2047458,467093,13-09-2019,4.0
2640091,499862,27-01-2021,4.0
2650512,499864,12-03-2021,4.0
1050248,393369,27-05-2016,2.0
690593,368793,16-06-2014,18.0
2086824,467108,11-10-2019,4.0
1680069,442534,17-09-2018,6.0
1680123,442535,18-09-2018,6.0
798943,377000,06-01-2015,4.0
1680141,442536,19-09-2018,6.0
1680159,442537,20-09-2018,6.0
1453363,426156,11-12-2017,24.0
684242,368813,02-06-2014,6.0
1698873,442542,04-10-2018,1.0
2304427,483503,08-05-2020,7.0
2452438,491696,04-09-2020,4.0
2452468,491697,04-09-2020,4.0
2452487,491698,04-09-2020,4.0
2452529,491699,04-09-2020,6.0
2452582,491700,04-09-2020,2.0
2452658,491701,04-09-2020,3.0
2468642,491702,15-09-2020,6.0
2502104,491703,06-10-2020,1.0
1731902,442548,02-11-2018,3.0
684280,368825,02-06-2014,6.0
