,End_Order,End_Datum,Ret_Aantal
2909922,516147,01-09-2021,2.0
2453312,491523,15-09-2020,7.0
2453314,491523,15-09-2020,4.0
2453317,491523,15-09-2020,8.0
2596288,499715,11-12-2020,2.0
1008669,393221,09-03-2016,4.0
1008670,393221,09-03-2016,4.0
1470441,401412,14-12-2016,2.0
681262,368645,28-05-2014,2.0
681266,368645,28-05-2014,4.0
681269,368645,28-05-2014,4.0
2596392,499716,11-12-2020,1.0
2596394,499716,11-12-2020,6.0
2596461,499717,11-12-2020,3.0
2596449,499718,11-12-2020,3.0
2596516,499719,11-12-2020,4.0
2722448,507908,08-04-2021,2.0
912837,385033,10-08-2015,4.0
1116581,401422,21-09-2016,4.0
2909934,516149,01-09-2021,4.0
680816,368656,23-05-2014,2.0
680830,368656,23-05-2014,4.0
1008693,393233,07-03-2016,4.0
1008697,393233,07-03-2016,4.0
1008721,393235,08-03-2016,4.0
1008725,393235,08-03-2016,4.0
1917762,458774,17-05-2019,2.0
1802968,450583,21-01-2019,4.0
1802971,450583,21-01-2019,4.0
1802979,450583,21-01-2019,8.0
1679396,442396,14-09-2018,7.0
1008856,393245,09-03-2016,4.0
1008860,393245,09-03-2016,4.0
684519,368671,28-05-2014,2.0
684521,368671,28-05-2014,22.0
1803021,450592,22-01-2019,4.0
1803024,450592,22-01-2019,4.0
1803032,450592,22-01-2019,8.0
1679422,442401,14-09-2018,4.0
1008866,393252,10-03-2016,4.0
1008870,393252,10-03-2016,4.0
2723252,507940,15-04-2021,2.0
1008884,393254,11-03-2016,4.0
1008888,393254,11-03-2016,4.0
1249901,409638,14-04-2017,6.0
2723020,507943,06-04-2021,16.0
1008894,393257,08-03-2016,4.0
1008898,393257,08-03-2016,4.0
1008904,393258,09-03-2016,4.0
1008908,393258,09-03-2016,4.0
2447104,491562,01-09-2020,10.0
2447105,491562,01-09-2020,10.0
2447190,491563,02-09-2020,10.0
2447191,491563,02-09-2020,10.0
2447232,491564,03-09-2020,10.0
2447233,491564,03-09-2020,10.0
2470865,491565,10-09-2020,12.0
1009032,393263,09-03-2016,2.0
2447249,491567,04-09-2020,10.0
2447250,491567,04-09-2020,10.0
2447271,491568,07-09-2020,10.0
2447272,491568,07-09-2020,10.0
2447302,491569,08-09-2020,10.0
2447303,491569,08-09-2020,10.0
2281845,466989,09-04-2020,2.0
1557605,434221,09-05-2018,2.0
1557609,434221,09-05-2018,4.0
1557631,434221,09-05-2018,5.0
2723185,507948,08-04-2021,16.0
2723222,507949,09-04-2021,16.0
2309237,483376,08-05-2020,2.0
908231,385073,25-08-2015,1.0
911389,385073,28-08-2015,6.0
2367753,483378,15-06-2020,5.0
2367760,483378,15-06-2020,2.0
2606365,499770,11-12-2020,2.0
2499296,491579,02-10-2020,10.0
2499303,491579,02-10-2020,10.0
1466369,426044,21-12-2017,2.0
911167,385076,24-08-2015,7.0
2499308,491582,02-10-2020,10.0
2499315,491582,02-10-2020,10.0
1382043,417846,29-09-2017,2.0
797709,376896,20-12-2014,4.0
797720,376896,20-12-2014,4.0
2302594,483391,28-04-2020,8.0
2302606,483391,28-04-2020,4.0
2310353,483392,08-05-2020,4.0
2310354,483392,08-05-2020,1.0
2310374,483392,08-05-2020,1.0
688080,368707,06-06-2014,14.0
2311560,483397,08-05-2020,1.0
1918317,458822,04-06-2019,2.0
1918322,458822,04-06-2019,4.0
1258434,409670,26-04-2017,2.0
911211,385096,24-08-2015,4.0
911215,385096,24-08-2015,2.0
911220,385096,24-08-2015,2.0
2220368,475209,12-02-2020,8.0
2302828,483402,29-04-2020,4.0
2302830,483402,29-04-2020,8.0
798738,376907,22-12-2014,6.0
2046625,467020,26-09-2019,2.0
2046700,467021,26-09-2019,4.0
812913,376908,10-02-2015,1.0
850110,376908,24-04-2015,3.0
850114,376908,24-04-2015,1.0
2302965,483404,30-04-2020,4.0
2202400,475216,24-01-2020,6.0
1009463,393297,08-03-2016,4.0
2723635,507984,07-04-2021,4.0
