,Ing_Order,Ing_Datum,Ing_Aantal
3015680,516147,20-08-2021,2.0
2586798,491523,31-08-2020,7.0
2586801,491523,31-08-2020,8.0
2586805,491523,31-08-2020,4.0
2736832,499715,09-12-2020,2.0
1110375,393221,08-03-2016,4.0
1110390,393221,08-03-2016,4.0
1222076,401412,19-09-2016,2.0
769248,368645,26-05-2014,4.0
769254,368645,26-05-2014,4.0
769278,368645,26-05-2014,2.0
2736947,499716,09-12-2020,1.0
2736953,499716,09-12-2020,6.0
2736988,499717,09-12-2020,3.0
2736967,499718,09-12-2020,3.0
2737062,499719,09-12-2020,4.0
2868321,507908,06-04-2021,2.0
998241,385033,10-08-2015,4.0
1222185,401422,16-09-2016,4.0
3015685,516149,20-08-2021,4.0
769335,368656,23-05-2014,4.0
769347,368656,23-05-2014,2.0
1110480,393233,07-03-2016,4.0
1110482,393233,07-03-2016,4.0
1110491,393235,08-03-2016,4.0
1110493,393235,08-03-2016,4.0
2050196,458774,13-05-2019,2.0
1925785,450583,21-01-2019,8.0
1925800,450583,21-01-2019,4.0
1925807,450583,21-01-2019,4.0
1806856,442396,14-09-2018,7.0
1110579,393245,09-03-2016,4.0
1110581,393245,09-03-2016,4.0
769738,368671,23-05-2014,2.0
770043,368671,23-05-2014,22.0
1925838,450592,22-01-2019,8.0
1925853,450592,22-01-2019,4.0
1925860,450592,22-01-2019,4.0
1806711,442401,14-09-2018,4.0
1110591,393252,10-03-2016,4.0
1110593,393252,10-03-2016,4.0
2869252,507940,09-04-2021,2.0
1110650,393254,11-03-2016,4.0
1110652,393254,11-03-2016,4.0
1332054,409638,14-03-2017,6.0
2869051,507943,06-04-2021,16.0
1110723,393257,08-03-2016,4.0
1110725,393257,08-03-2016,4.0
1110733,393258,09-03-2016,4.0
1110735,393258,09-03-2016,4.0
2587446,491562,01-09-2020,10.0
2587448,491562,01-09-2020,10.0
2587489,491563,02-09-2020,10.0
2587491,491563,02-09-2020,10.0
2587549,491564,03-09-2020,10.0
2587551,491564,03-09-2020,10.0
2587643,491565,10-09-2020,12.0
1110747,393263,09-03-2016,2.0
2587566,491567,04-09-2020,10.0
2587568,491567,04-09-2020,10.0
2587583,491568,07-09-2020,10.0
2587585,491568,07-09-2020,10.0
2587600,491569,08-09-2020,10.0
2587602,491569,08-09-2020,10.0
2188111,466989,18-09-2019,3.0
1683219,434221,03-05-2018,5.0
1683234,434221,03-05-2018,2.0
1683237,434221,03-05-2018,4.0
2869224,507948,08-04-2021,16.0
2869239,507949,09-04-2021,16.0
2451745,483376,04-05-2020,2.0
998709,385073,11-08-2015,1.0
998715,385073,11-08-2015,6.0
2445142,483378,25-05-2020,5.0
2445161,483378,25-05-2020,2.0
2735500,499770,07-12-2020,2.0
2645707,491579,02-10-2020,10.0
2645714,491579,02-10-2020,10.0
1571449,426044,06-12-2017,2.0
998833,385076,18-08-2015,7.0
2645723,491582,02-10-2020,10.0
2645727,491582,02-10-2020,10.0
1450677,417846,24-07-2017,2.0
885075,376896,19-12-2014,4.0
885082,376896,19-12-2014,4.0
2445206,483391,28-04-2020,8.0
2445208,483391,28-04-2020,4.0
2453024,483392,06-05-2020,1.0
2453049,483392,06-05-2020,1.0
2453055,483392,06-05-2020,4.0
770382,368707,26-05-2014,14.0
2454651,483397,07-05-2020,1.0
2051072,458822,04-06-2019,2.0
2051077,458822,04-06-2019,4.0
1332349,409670,08-03-2017,2.0
1000581,385096,18-08-2015,4.0
1000582,385096,18-08-2015,2.0
1004106,385096,19-08-2015,2.0
2313854,475209,06-01-2020,8.0
2445379,483402,29-04-2020,8.0
2445381,483402,29-04-2020,4.0
885339,376907,22-12-2014,6.0
2182238,467020,26-09-2019,2.0
2182305,467021,26-09-2019,4.0
885359,376908,19-12-2014,1.0
885366,376908,19-12-2014,4.0
2445476,483404,29-04-2020,4.0
2313983,475216,06-01-2020,6.0
1111228,393297,08-03-2016,4.0
2869641,507984,07-04-2021,4.0
1926505,450638,16-01-2019,8.0
2445543,483409,06-05-2020,3.0
2736116,499797,07-12-2020,7.0
2736130,499797,07-12-2020,2.0
2737329,499797,08-12-2020,4.0
2737340,499797,08-12-2020,8.0
1807505,442453,13-09-2018,4.0
1807507,442453,13-09-2018,2.0
1926493,450642,18-01-2019,3.0
1683731,434264,07-05-2018,6.0
2445810,483416,29-04-2020,4.0
2445833,483416,29-04-2020,2.0
1926570,450649,21-01-2019,4.0
1571861,426075,06-12-2017,4.0
1452139,417884,31-07-2017,1.0
1452143,417884,31-07-2017,1.0
1332812,409697,13-03-2017,13.0
1332821,409697,13-03-2017,48.0
2454488,483425,06-05-2020,2.0
770822,368739,28-05-2014,1.0
770823,368739,28-05-2014,4.0
770825,368739,28-05-2014,8.0
770835,368742,03-06-2014,2.0
770862,368743,28-05-2014,4.0
1223779,401511,19-09-2016,2.0
1332885,409708,13-03-2017,3.0
770951,368749,28-05-2014,4.0
2736505,499821,27-02-2021,4.0
2736518,499821,27-02-2021,2.0
2819148,499821,02-03-2021,4.0
2447280,475244,29-04-2020,2.0
2447288,475244,29-04-2020,4.0
2447296,475244,29-04-2020,2.0
2058821,458864,21-05-2019,4.0
771004,368752,28-05-2014,2.0
771011,368753,28-05-2014,2.0
1333131,409712,10-03-2017,8.0
2588828,491636,28-08-2020,7.0
1807947,442482,17-09-2018,6.0
1808105,442482,17-09-2018,4.0
1808437,442483,17-09-2018,5.0
1808449,442483,17-09-2018,6.0
2314763,475252,22-01-2020,2.0
1333246,409720,10-03-2017,8.0
2052517,458873,20-05-2019,3.0
1224027,401529,20-09-2016,2.0
2314668,475255,07-01-2020,8.0
1572740,426108,11-12-2017,2.0
1572745,426108,11-12-2017,4.0
2871605,508026,09-04-2021,4.0
2871606,508026,09-04-2021,9.0
2871648,508026,09-04-2021,4.0
2737022,499838,09-12-2020,4.0
2321208,475261,23-01-2020,9.0
2609377,483447,21-09-2020,3.0
2609440,483447,21-09-2020,2.0
1926924,450681,05-02-2019,2.0
2315408,475266,08-01-2020,12.0
2315433,475266,08-01-2020,1.0
1572486,426115,08-12-2017,8.0
1572527,426116,15-12-2017,6.0
1451384,417917,23-08-2017,4.0
1451387,417917,23-08-2017,2.0
2877005,508041,12-04-2021,4.0
886437,376972,08-12-2014,6.0
1573095,426130,15-12-2017,4.0
1808277,442516,14-09-2018,5.0
2183399,467093,13-09-2019,4.0
2183403,467093,13-09-2019,4.0
1572646,426134,06-12-2017,12.0
2777708,499862,27-01-2021,4.0
2777714,499862,27-01-2021,2.0
2777741,499862,27-01-2021,2.0
2790222,499864,12-03-2021,4.0
2790231,499864,12-03-2021,2.0
1111960,393369,11-03-2016,2.0
2601091,491675,05-09-2020,7.0
1927346,450716,17-01-2019,4.0
886646,376990,05-01-2015,4.0
886666,376990,05-01-2015,4.0
1224646,401567,21-09-2016,4.0
886743,376995,19-01-2015,2.0
886745,376995,19-01-2015,1.0
2183742,467108,17-09-2019,12.0
2183750,467108,17-09-2019,4.0
2315297,475301,07-01-2020,4.0
1808606,442534,17-09-2018,10.0
1808620,442534,17-09-2018,6.0
1808621,442534,17-09-2018,6.0
1808624,442535,18-09-2018,10.0
1808638,442535,18-09-2018,6.0
1808639,442535,18-09-2018,6.0
1112082,393384,09-03-2016,4.0
886781,377000,06-01-2015,4.0
1808642,442536,19-09-2018,10.0
1808656,442536,19-09-2018,6.0
1808657,442536,19-09-2018,6.0
1808660,442537,20-09-2018,10.0
1808674,442537,20-09-2018,6.0
1808675,442537,20-09-2018,6.0
1572983,426156,08-12-2017,24.0
772535,368813,02-06-2014,6.0
2315395,475307,08-01-2020,4.0
1808789,442542,17-09-2018,4.0
1808790,442542,17-09-2018,1.0
1808793,442542,17-09-2018,2.0
2592618,491696,31-08-2020,4.0
2592623,491696,31-08-2020,2.0
2593519,491697,31-08-2020,4.0
2593898,491698,31-08-2020,4.0
2592758,491699,31-08-2020,6.0
2593541,491700,31-08-2020,2.0
2593916,491701,31-08-2020,2.0
2593931,491701,31-08-2020,3.0
2594191,491702,07-09-2020,6.0
2594264,491703,07-09-2020,2.0
2594270,491703,07-09-2020,1.0
2183871,467126,13-09-2019,4.0
2737762,499895,09-12-2020,2.0
772588,368825,02-06-2014,6.0
1808869,442548,17-09-2018,3.0
2315558,475317,09-01-2020,6.0
1333985,409784,13-03-2017,3.0
1479622,417982,07-09-2017,2.0
1479632,417982,07-09-2017,6.0
1334103,409792,13-03-2017,12.0
1368717,409792,24-04-2017,7.0
1368726,409792,24-04-2017,4.0
1368744,409792,24-04-2017,2.0
1334115,409793,13-03-2017,4.0
1334137,409794,13-03-2017,4.0
2447639,483522,01-05-2020,1.0
2447641,483522,01-05-2020,5.0
2447319,483524,29-04-2020,3.0
772792,368837,02-06-2014,8.0
1573221,426184,08-12-2017,6.0
772841,368841,02-06-2014,3.0
2447356,483528,30-04-2020,3.0
2447359,483528,30-04-2020,4.0
1686928,434380,14-05-2018,8.0
1579456,426189,02-01-2018,2.0
2591418,491725,02-09-2020,15.0
2591419,491725,02-09-2020,7.0
1225218,401614,26-09-2016,1.0
1685410,434383,07-05-2018,5.0
2184265,467151,17-09-2019,18.0
1685480,434385,07-05-2018,8.0
1573328,426196,07-12-2017,2.0
2739026,499924,11-12-2020,2.0
2739044,499924,11-12-2020,13.0
2744512,499924,15-12-2020,2.0
2744535,499924,15-12-2020,4.0
2185359,467159,24-09-2019,2.0
1685517,434392,07-05-2018,6.0
1685518,434392,07-05-2018,6.0
1685521,434392,07-05-2018,10.0
1573393,426203,11-12-2017,4.0
2459006,483551,07-05-2020,4.0
2184721,467168,19-09-2019,13.0
2184722,467168,19-09-2019,4.0
2184734,467168,19-09-2019,6.0
1112573,393444,15-03-2016,4.0
1112579,393444,15-03-2016,2.0
1685738,434404,08-05-2018,6.0
1685739,434404,08-05-2018,6.0
1685742,434404,08-05-2018,10.0
1112708,393446,14-03-2016,4.0
1112711,393446,14-03-2016,4.0
2053096,458983,13-05-2019,4.0
2053107,458983,13-05-2019,2.0
1685756,434407,14-05-2018,6.0
1685757,434407,14-05-2018,6.0
1685760,434407,14-05-2018,10.0
1685779,434409,15-05-2018,6.0
1685780,434409,15-05-2018,6.0
1685783,434409,15-05-2018,10.0
2316447,475369,09-01-2020,2.0
2316454,475369,09-01-2020,9.0
1928237,450788,17-01-2019,4.0
1928261,450788,17-01-2019,4.0
1928267,450788,17-01-2019,2.0
1112854,393452,16-03-2016,3.0
1685806,434412,16-05-2018,6.0
1685807,434412,16-05-2018,6.0
1685810,434412,16-05-2018,10.0
1685826,434413,07-05-2018,4.0
1685837,434413,07-05-2018,4.0
1685848,434414,17-05-2018,6.0
1685849,434414,17-05-2018,6.0
1685852,434414,17-05-2018,10.0
1685971,434416,18-05-2018,6.0
1685972,434416,18-05-2018,6.0
1685975,434416,18-05-2018,10.0
3020892,516329,30-08-2021,8.0
3020904,516329,30-08-2021,7.0
2447913,483565,06-05-2020,3.0
2474663,483565,20-05-2020,4.0
1454144,418032,31-07-2017,4.0
1454161,418032,31-07-2017,2.0
1454172,418032,31-07-2017,4.0
1573793,426229,11-12-2017,2.0
1592126,426230,16-01-2018,2.0
1809990,442613,18-09-2018,2.0
1810016,442613,18-09-2018,2.0
2185428,467198,17-09-2019,4.0
1335457,409856,27-03-2017,4.0
2185587,467207,17-09-2019,2.0
2185602,467207,17-09-2019,6.0
1686229,434441,08-05-2018,22.0
2053586,459018,16-05-2019,5.0
1686329,434446,08-05-2018,3.0
1335534,409871,20-03-2017,8.0
1341437,409871,20-03-2017,4.0
2592812,491792,03-09-2020,4.0
1002274,385301,24-08-2015,4.0
2456009,483608,08-05-2020,1.0
2456022,483608,08-05-2020,7.0
2592248,491803,28-08-2020,3.0
1574152,426268,13-12-2017,7.0
2186648,467229,18-09-2019,2.0
2186666,467229,18-09-2019,5.0
2186670,467229,18-09-2019,8.0
2592356,491806,31-08-2020,4.0
2873417,508191,19-04-2021,4.0
2902758,508191,28-04-2021,2.0
1810354,442656,17-09-2018,2.0
1577659,426273,15-12-2017,6.0
1577662,426273,15-12-2017,1.0
2317876,475425,13-01-2020,4.0
2591962,491811,28-08-2020,4.0
2456193,483612,12-05-2020,3.0
2456224,483612,12-05-2020,2.0
1454088,418084,31-07-2017,8.0
774419,368934,05-06-2014,3.0
2739485,500012,17-12-2020,2.0
1113725,393520,14-03-2016,4.0
1113727,393520,14-03-2016,4.0
1113738,393521,15-03-2016,4.0
1113740,393521,15-03-2016,4.0
1113748,393522,16-03-2016,4.0
1113750,393522,16-03-2016,4.0
1113758,393523,17-03-2016,4.0
1113760,393523,17-03-2016,4.0
2592459,491827,15-09-2020,37.0
1113768,393524,18-03-2016,4.0
1113770,393524,18-03-2016,4.0
1686817,434483,08-05-2018,2.0
1686819,434483,08-05-2018,2.0
1226638,401718,26-09-2016,1.0
2449548,483638,06-05-2020,9.0
2462815,483641,14-05-2020,3.0
2592521,491834,31-08-2020,4.0
2652697,491834,08-10-2020,2.0
1226595,401722,26-09-2016,4.0
1929215,450879,18-01-2019,4.0
1226721,401729,26-09-2016,2.0
1226739,401729,26-09-2016,14.0
2054497,459078,21-05-2019,2.0
2054498,459078,21-05-2019,8.0
773967,368966,05-06-2014,10.0
1689090,434503,14-05-2018,2.0
2321362,475465,15-01-2020,4.0
1929544,450886,21-01-2019,2.0
1454465,418119,21-08-2017,22.0
1454466,418119,21-08-2017,10.0
1454485,418119,21-08-2017,2.0
1929395,450888,11-02-2019,2.0
1810934,442704,18-09-2018,6.0
1810955,442704,18-09-2018,2.0
2054622,459089,21-05-2019,1.0
2054623,459089,21-05-2019,2.0
1114035,393555,11-03-2016,4.0
774468,368979,05-06-2014,3.0
2186790,467283,23-09-2019,2.0
2874339,508246,28-04-2021,1.0
774168,368984,02-06-2014,10.0
1929696,450904,04-03-2019,4.0
1336332,409947,16-03-2017,3.0
1575047,426334,12-12-2017,3.0
1936503,450914,04-02-2019,13.0
1936532,450914,04-02-2019,5.0
