,Date,Net_month_art
0,2010-01-31,0.0
1,2010-02-28,0.0
2,2010-03-31,0.0
3,2010-04-30,0.0
4,2010-05-31,0.0
5,2010-06-30,0.0
6,2010-07-31,0.0
7,2010-08-31,0.0
8,2010-09-30,0.0
9,2010-10-31,0.0
10,2010-11-30,0.0
11,2010-12-31,0.0
12,2011-01-31,0.0
13,2011-02-28,0.0
14,2011-03-31,0.0
15,2011-04-30,0.0
16,2011-05-31,0.0
17,2011-06-30,0.0
18,2011-07-31,0.0
19,2011-08-31,0.0
20,2011-09-30,0.0
21,2011-10-31,0.0
22,2011-11-30,0.0
23,2011-12-31,0.0
24,2012-01-31,0.0
25,2012-02-29,0.0
26,2012-03-31,0.0
27,2012-04-30,0.0
28,2012-05-31,0.0
29,2012-06-30,0.0
30,2012-07-31,0.0
31,2012-08-31,0.0
32,2012-09-30,0.0
33,2012-10-31,0.0
34,2012-11-30,0.0
35,2012-12-31,0.0
36,2013-01-31,0.0
37,2013-02-28,0.0
38,2013-03-31,0.0
39,2013-04-30,0.0
40,2013-05-31,0.0
41,2013-06-30,0.0
42,2013-07-31,0.0
43,2013-08-31,6.0
44,2013-09-30,6.0
45,2013-10-31,144.0
46,2013-11-30,54.0
47,2013-12-31,23.0
48,2014-01-31,18.0
49,2014-02-28,17.0
50,2014-03-31,29.0
51,2014-04-30,124.0
52,2014-05-31,192.0
53,2014-06-30,163.0
54,2014-07-31,498.0
55,2014-08-31,162.0
56,2014-09-30,221.0
57,2014-10-31,298.0
58,2014-11-30,190.0
59,2014-12-31,48.0
60,2015-01-31,38.0
61,2015-02-28,47.0
62,2015-03-31,69.0
63,2015-04-30,79.0
64,2015-05-31,154.0
65,2015-06-30,262.0
66,2015-07-31,313.0
67,2015-08-31,237.0
68,2015-09-30,184.0
69,2015-10-31,128.0
70,2015-11-30,156.0
71,2015-12-31,119.0
72,2016-01-31,83.0
73,2016-02-29,57.0
74,2016-03-31,61.0
75,2016-04-30,147.0
76,2016-05-31,219.0
77,2016-06-30,140.0
78,2016-07-31,239.0
79,2016-08-31,272.0
80,2016-09-30,337.0
81,2016-10-31,338.0
82,2016-11-30,321.0
83,2016-12-31,302.0
84,2017-01-31,226.0
85,2017-02-28,202.0
86,2017-03-31,350.0
87,2017-04-30,349.0
88,2017-05-31,410.0
89,2017-06-30,539.0
90,2017-07-31,506.0
91,2017-08-31,373.0
92,2017-09-30,248.0
93,2017-10-31,308.0
94,2017-11-30,402.0
95,2017-12-31,397.0
96,2018-01-31,362.0
97,2018-02-28,395.0
98,2018-03-31,484.0
99,2018-04-30,498.0
100,2018-05-31,443.0
101,2018-06-30,459.0
102,2018-07-31,491.0
103,2018-08-31,363.0
104,2018-09-30,438.0
105,2018-10-31,422.0
106,2018-11-30,471.0
107,2018-12-31,345.0
108,2019-01-31,224.0
109,2019-02-28,279.0
110,2019-03-31,241.0
111,2019-04-30,213.0
112,2019-05-31,314.0
113,2019-06-30,298.0
114,2019-07-31,263.0
115,2019-08-31,230.0
116,2019-09-30,341.0
117,2019-10-31,496.0
118,2019-11-30,478.0
119,2019-12-31,455.0
120,2020-01-31,395.0
121,2020-02-29,340.0
122,2020-03-31,392.0
123,2020-04-30,379.0
124,2020-05-31,379.0
125,2020-06-30,511.0
126,2020-07-31,472.0
127,2020-08-31,289.0
128,2020-09-30,425.0
129,2020-10-31,425.0
130,2020-11-30,443.0
131,2020-12-31,621.0
132,2021-01-31,434.0
133,2021-02-28,448.0
134,2021-03-31,457.0
135,2021-04-30,555.0
136,2021-05-31,383.0
137,2021-06-30,307.0
138,2021-07-31,251.0
139,2021-08-31,211.0
140,2021-09-30,211.0
141,2021-10-31,178.0
142,2021-11-30,119.0
143,2021-12-31,113.0
