,End_Order,End_Datum,Ret_Aantal
1179872,401412,12-12-2016,1.0
681265,368645,28-05-2014,2.0
1917763,458774,17-05-2019,2.0
1917767,458774,17-05-2019,2.0
1679423,442401,14-09-2018,1.0
1679435,442401,14-09-2018,1.0
2723246,507940,15-04-2021,1.0
2281853,466989,09-04-2020,3.0
1548486,426032,06-12-2017,9.0
1136241,401457,14-10-2016,30.0
1136242,401457,14-10-2016,4.0
1132450,401457,10-10-2016,6.0
2309223,483376,08-05-2020,2.0
2309256,483376,08-05-2020,1.0
2309258,483376,08-05-2020,3.0
908235,385073,25-08-2015,1.0
908239,385073,25-08-2015,1.0
2354785,483378,12-06-2020,4.0
2354788,483378,12-06-2020,1.0
2354801,483378,12-06-2020,2.0
2321895,483378,14-05-2020,2.0
911157,385076,24-08-2015,1.0
911164,385076,24-08-2015,7.0
911169,385076,24-08-2015,1.0
911170,385076,24-08-2015,1.0
911180,385076,24-08-2015,3.0
911189,385076,24-08-2015,1.0
911202,385076,24-08-2015,1.0
911207,385076,24-08-2015,1.0
911208,385076,24-08-2015,2.0
2925898,499768,24-09-2021,1.0
2925902,499768,24-09-2021,1.0
2925914,499768,24-09-2021,2.0
2925917,499768,24-09-2021,1.0
1218768,409661,10-03-2017,19.0
2310357,483392,08-05-2020,2.0
2310378,483392,08-05-2020,1.0
2310381,483392,08-05-2020,1.0
2310382,483392,08-05-2020,1.0
2311545,483397,05-05-2020,2.0
911212,385096,24-08-2015,5.0
911224,385096,24-08-2015,2.0
911227,385096,24-08-2015,2.0
911233,385096,24-08-2015,2.0
911246,385096,24-08-2015,2.0
812924,376908,10-02-2015,1.0
812927,376908,10-02-2015,1.0
850142,376908,24-04-2015,1.0
850162,376908,24-04-2015,1.0
850165,376908,24-04-2015,1.0
850170,376908,24-04-2015,1.0
2329929,483409,20-05-2020,6.0
2384014,483409,03-07-2020,2.0
1815444,450642,31-01-2019,5.0
1344102,417886,07-08-2017,4.0
1273906,409697,17-05-2017,46.0
2365336,483425,19-06-2020,2.0
682236,368739,02-06-2014,3.0
682245,368739,02-06-2014,2.0
682258,368739,02-06-2014,3.0
682273,368739,02-06-2014,1.0
682333,368743,02-06-2014,2.0
682335,368743,02-06-2014,5.0
682336,368743,02-06-2014,3.0
682341,368743,02-06-2014,5.0
1176065,401511,15-12-2016,1.0
1357407,417898,01-09-2017,1.0
682403,368749,02-06-2014,4.0
682406,368749,02-06-2014,1.0
682409,368749,02-06-2014,2.0
682415,368749,02-06-2014,4.0
682420,368749,02-06-2014,4.0
682421,368749,02-06-2014,2.0
682425,368749,02-06-2014,2.0
682431,368749,02-06-2014,1.0
682440,368749,02-06-2014,6.0
2724497,508014,12-04-2021,5.0
1922365,458864,14-05-2019,2.0
1720490,442482,22-10-2018,3.0
1720494,442482,22-10-2018,3.0
1720500,442482,22-10-2018,3.0
1720505,442482,22-10-2018,3.0
1720512,442482,22-10-2018,3.0
1720523,442482,22-10-2018,3.0
1720526,442482,22-10-2018,3.0
1720530,442482,22-10-2018,2.0
1720538,442482,22-10-2018,3.0
1708482,442483,12-10-2018,1.0
1708497,442483,12-10-2018,2.0
1708508,442483,12-10-2018,2.0
1708510,442483,12-10-2018,2.0
1708515,442483,12-10-2018,2.0
1708528,442483,12-10-2018,0.0
1710341,442483,15-10-2018,1.0
1710362,442483,15-10-2018,1.0
2185712,475252,23-01-2020,2.0
2323901,483443,02-06-2020,1.0
2323903,483443,02-06-2020,2.0
2323908,483443,02-06-2020,1.0
2466024,483443,16-09-2020,2.0
2466052,483443,21-09-2020,4.0
2437217,483445,24-08-2020,3.0
2437231,483445,24-08-2020,1.0
2437234,483445,24-08-2020,2.0
2466077,483445,21-09-2020,1.0
2466089,483445,21-09-2020,3.0
2466098,483445,21-09-2020,2.0
2466201,483445,21-09-2020,2.0
2466224,483445,21-09-2020,1.0
2481572,483447,21-09-2020,2.0
2561014,483447,13-11-2020,3.0
2561027,483447,13-11-2020,3.0
2561028,483447,13-11-2020,1.0
2561030,483447,13-11-2020,3.0
2561047,483447,13-11-2020,1.0
2561053,483447,13-11-2020,3.0
1932125,458873,06-06-2019,4.0
1932140,458873,06-06-2019,1.0
1953059,458873,12-06-2019,1.0
2725453,508026,10-04-2021,1.0
2725455,508026,10-04-2021,1.0
2725456,508026,10-04-2021,1.0
2725459,508026,10-04-2021,1.0
2725463,508026,10-04-2021,1.0
2725471,508026,10-04-2021,1.0
2725476,508026,10-04-2021,1.0
2725478,508026,10-04-2021,1.0
1803949,450681,05-02-2019,5.0
1803962,450681,05-02-2019,2.0
1353272,417917,25-08-2017,2.0
2611008,499838,21-12-2020,1.0
2611013,499838,21-12-2020,2.0
2611017,499838,21-12-2020,2.0
2611047,499838,21-12-2020,2.0
2186220,475266,09-01-2020,1.0
2186254,475266,09-01-2020,3.0
2186255,475266,09-01-2020,1.0
1464370,426117,21-12-2017,2.0
1231618,409735,23-03-2017,2.0
1231625,409735,23-03-2017,2.0
1231635,409735,23-03-2017,2.0
2738921,508041,16-04-2021,1.0
2738928,508041,16-04-2021,1.0
2738935,508041,16-04-2021,1.0
2738937,508041,16-04-2021,1.0
2738955,508041,16-04-2021,1.0
2738956,508041,16-04-2021,1.0
1011984,393365,14-03-2016,2.0
1084744,393365,13-05-2016,2.0
2299180,475285,22-04-2020,2.0
2299183,475285,22-04-2020,1.0
2299184,475285,22-04-2020,1.0
1050264,393369,27-05-2016,7.0
1938349,458910,10-06-2019,1.0
2053505,467108,19-09-2019,2.0
1731893,442548,02-11-2018,1.0
1731894,442548,02-11-2018,1.0
1731904,442548,02-11-2018,1.0
1731907,442548,02-11-2018,1.0
1731911,442548,02-11-2018,1.0
2438609,483508,09-07-2020,1.0
2535973,491710,17-10-2020,0.0
1383017,417983,04-08-2017,2.0
1588779,434368,06-06-2018,3.0
1639053,434368,25-07-2018,1.0
1639055,434368,25-07-2018,3.0
1639059,434368,25-07-2018,1.0
1639074,434368,25-07-2018,1.0
1639094,434368,25-07-2018,1.0
1639106,434368,25-07-2018,1.0
1639109,434368,25-07-2018,1.0
1639111,434368,25-07-2018,1.0
1251198,409792,19-04-2017,2.0
1265121,409792,08-05-2017,12.0
1303469,409792,23-06-2017,1.0
1303485,409792,23-06-2017,1.0
1303491,409792,23-06-2017,1.0
1303497,409792,23-06-2017,2.0
1220267,409793,13-03-2017,5.0
2321468,483524,05-05-2020,1.0
2321474,483524,05-05-2020,1.0
684284,368837,02-06-2014,2.0
684301,368837,02-06-2014,2.0
684303,368837,02-06-2014,5.0
2304923,483528,25-05-2020,2.0
2304924,483528,25-05-2020,2.0
2304951,483528,25-05-2020,1.0
2202217,475339,21-01-2020,4.0
1561750,434380,14-05-2018,3.0
1561765,434380,14-05-2018,2.0
1561769,434380,14-05-2018,2.0
1561777,434380,14-05-2018,2.0
1561778,434380,14-05-2018,3.0
1561779,434380,14-05-2018,2.0
1561782,434380,14-05-2018,2.0
1458938,426196,20-12-2017,2.0
2599403,499924,15-12-2020,1.0
2599421,499924,15-12-2020,1.0
2599437,499924,15-12-2020,6.0
2599443,499924,15-12-2020,3.0
2599451,499924,15-12-2020,2.0
2599459,499924,15-12-2020,2.0
2315601,483551,13-05-2020,1.0
1548519,426208,08-12-2017,1.0
1920711,458983,14-05-2019,2.0
1920716,458983,14-05-2019,3.0
1920739,458983,14-05-2019,2.0
1920741,458983,14-05-2019,1.0
1920745,458983,14-05-2019,6.0
1920765,458983,14-05-2019,1.0
1920777,458983,14-05-2019,3.0
2251835,475369,12-03-2020,2.0
2879478,516329,30-08-2021,2.0
2879480,516329,30-08-2021,1.0
2879483,516329,30-08-2021,2.0
2879510,516329,30-08-2021,2.0
1859027,450795,26-03-2019,1.0
1859034,450795,26-03-2019,1.0
1010567,393452,18-03-2016,10.0
1010589,393452,18-03-2016,2.0
2305364,483565,10-07-2020,4.0
2305381,483565,10-07-2020,2.0
1116462,401646,30-09-2016,2.0
1116470,401650,30-09-2016,6.0
1244037,409843,06-04-2017,2.0
1244045,409843,06-04-2017,5.0
1695239,442613,28-09-2018,1.0
1695244,442613,28-09-2018,2.0
1695251,442613,28-09-2018,1.0
1695279,442613,28-09-2018,3.0
1481371,426230,25-01-2018,2.0
1548598,426231,08-12-2017,2.0
2048972,467198,17-09-2019,1.0
2048982,467198,17-09-2019,1.0
2187427,475401,17-01-2020,1.0
1561191,434446,09-05-2018,1.0
909778,385301,27-08-2015,6.0
2312593,483612,13-05-2020,1.0
2312596,483612,13-05-2020,1.0
2312599,483612,13-05-2020,2.0
2312621,483612,13-05-2020,1.0
2312634,483612,13-05-2020,4.0
2312635,483612,13-05-2020,1.0
1469660,426273,08-01-2018,5.0
2188157,475425,13-01-2020,1.0
2188189,475425,13-01-2020,2.0
2188199,475425,13-01-2020,2.0
2188207,475425,13-01-2020,1.0
1341644,418084,04-08-2017,1.0
1341650,418084,04-08-2017,1.0
1341661,418084,04-08-2017,1.0
686022,368934,05-06-2014,2.0
686039,368934,05-06-2014,4.0
686052,368934,05-06-2014,2.0
686055,368934,05-06-2014,2.0
2306650,483624,29-04-2020,2.0
690650,368940,02-06-2014,4.0
2599927,500012,18-12-2020,2.0
2599931,500012,18-12-2020,2.0
1260789,409900,02-05-2017,1.0
1269555,409900,12-05-2017,3.0
1269557,409900,12-05-2017,3.0
1269565,409900,12-05-2017,1.0
1269571,409900,12-05-2017,3.0
2350046,483638,08-06-2020,5.0
2350051,483638,08-06-2020,4.0
2728149,508216,08-04-2021,1.0
2319706,483641,20-05-2020,2.0
2319721,483641,20-05-2020,2.0
2319724,483641,20-05-2020,2.0
2319728,483641,20-05-2020,2.0
1150405,401729,09-11-2016,3.0
1168392,401729,02-12-2016,2.0
1168397,401729,02-12-2016,6.0
1155865,401729,17-11-2016,1.0
1155868,401729,17-11-2016,3.0
1577829,434503,24-05-2018,3.0
1562567,434503,22-05-2018,2.0
1563690,434503,23-05-2018,1.0
2192189,475465,14-01-2020,1.0
2192190,475465,14-01-2020,1.0
697497,368979,26-06-2014,12.0
697507,368979,26-06-2014,2.0
1273939,409947,24-05-2017,1.0
961055,385376,20-11-2015,1.0
953251,385382,26-08-2015,3.0
953262,385382,26-08-2015,4.0
909351,385382,27-08-2015,2.0
909359,385382,27-08-2015,2.0
599130,360813,21-10-2013,10.0
599140,360813,21-10-2013,4.0
599150,360813,21-10-2013,1.0
599157,360813,21-10-2013,3.0
582733,360813,24-10-2013,6.0
582739,360813,24-10-2013,3.0
582745,360813,24-10-2013,9.0
