,Ing_Order,Ing_Datum,Ing_Aantal
1222066,401412,19-09-2016,1.0
769281,368645,26-05-2014,2.0
1331796,409606,08-03-2017,2.0
2050177,458774,10-05-2019,2.0
2050181,458774,10-05-2019,2.0
1806691,442401,14-09-2018,1.0
1806699,442401,14-09-2018,1.0
2869219,507940,07-04-2021,1.0
2188103,466989,18-09-2019,3.0
1571242,426032,06-12-2017,9.0
1222805,401457,20-09-2016,36.0
1232894,401457,30-09-2016,4.0
2451762,483376,04-05-2020,1.0
2452957,483376,04-05-2020,3.0
2445006,483376,28-04-2020,2.0
998727,385073,11-08-2015,1.0
998730,385073,11-08-2015,1.0
2445138,483378,25-05-2020,4.0
2445162,483378,25-05-2020,1.0
2465198,483378,14-05-2020,2.0
2445079,483378,07-05-2020,2.0
998781,385076,12-08-2015,2.0
998786,385076,18-08-2015,1.0
998788,385076,18-08-2015,7.0
998795,385076,18-08-2015,1.0
998806,385076,18-08-2015,1.0
998808,385076,18-08-2015,1.0
998824,385076,18-08-2015,1.0
998826,385076,18-08-2015,1.0
998835,385076,18-08-2015,3.0
2737695,499768,08-12-2020,1.0
2737702,499768,08-12-2020,1.0
2737707,499768,08-12-2020,2.0
2737714,499768,08-12-2020,1.0
1332309,409661,09-03-2017,19.0
2453043,483392,06-05-2020,1.0
2453050,483392,06-05-2020,1.0
2453058,483392,06-05-2020,1.0
2445215,483392,29-04-2020,2.0
2445221,483397,29-04-2020,2.0
1000564,385096,18-08-2015,2.0
1000565,385096,18-08-2015,2.0
1000571,385096,18-08-2015,2.0
1000591,385096,18-08-2015,5.0
999043,385096,13-08-2015,2.0
896105,376908,12-01-2015,1.0
896111,376908,19-01-2015,1.0
898015,376908,02-02-2015,1.0
898677,376908,02-02-2015,1.0
898678,376908,02-02-2015,1.0
908907,376908,19-02-2015,1.0
2445532,483409,06-05-2020,6.0
2445491,483409,29-04-2020,2.0
1926495,450642,18-01-2019,5.0
1451010,417886,24-07-2017,4.0
1332849,409697,13-03-2017,46.0
2445868,483425,29-04-2020,2.0
770797,368739,28-05-2014,3.0
770801,368739,28-05-2014,1.0
770806,368739,28-05-2014,3.0
770810,368739,28-05-2014,2.0
770863,368743,28-05-2014,3.0
770872,368743,28-05-2014,5.0
770877,368743,28-05-2014,2.0
770878,368743,28-05-2014,5.0
1223768,401511,19-09-2016,1.0
1451110,417898,25-07-2017,1.0
770950,368749,28-05-2014,6.0
770963,368749,28-05-2014,1.0
770967,368749,28-05-2014,2.0
770968,368749,28-05-2014,2.0
770971,368749,28-05-2014,4.0
770979,368749,28-05-2014,4.0
770995,368749,28-05-2014,1.0
770996,368749,28-05-2014,4.0
770997,368749,28-05-2014,2.0
2870445,508014,07-04-2021,5.0
2051269,458864,13-05-2019,2.0
1807941,442482,17-09-2018,3.0
1807946,442482,17-09-2018,3.0
1807950,442482,17-09-2018,3.0
1807954,442482,17-09-2018,3.0
1808110,442482,17-09-2018,3.0
1808111,442482,17-09-2018,3.0
1808120,442482,17-09-2018,3.0
1808123,442482,17-09-2018,3.0
1807886,442482,13-09-2018,2.0
1808403,442483,17-09-2018,2.0
1808405,442483,17-09-2018,2.0
1808435,442483,17-09-2018,1.0
1808454,442483,17-09-2018,2.0
1808455,442483,17-09-2018,1.0
1808456,442483,17-09-2018,2.0
1812828,442483,18-09-2018,1.0
2314738,475252,15-01-2020,2.0
2447572,483443,30-04-2020,2.0
2451806,483443,11-05-2020,1.0
2451816,483443,11-05-2020,4.0
2451851,483443,11-05-2020,1.0
2451857,483443,11-05-2020,2.0
2467649,483445,13-05-2020,4.0
2467772,483445,02-06-2020,1.0
2467774,483445,02-06-2020,2.0
2467778,483445,02-06-2020,3.0
2467784,483445,02-06-2020,1.0
2467789,483445,02-06-2020,3.0
2467811,483445,02-06-2020,2.0
2608668,483447,16-09-2020,2.0
2609386,483447,21-09-2020,3.0
2609393,483447,21-09-2020,3.0
2609444,483447,21-09-2020,3.0
2609454,483447,21-09-2020,1.0
2609457,483447,21-09-2020,3.0
2609477,483447,21-09-2020,1.0
2051371,458873,13-05-2019,4.0
2052479,458873,20-05-2019,1.0
2052488,458873,20-05-2019,1.0
2871597,508026,09-04-2021,1.0
2871609,508026,09-04-2021,1.0
2871617,508026,09-04-2021,1.0
2871628,508026,09-04-2021,1.0
2871631,508026,09-04-2021,1.0
2871647,508026,09-04-2021,1.0
2871651,508026,09-04-2021,1.0
2871653,508026,09-04-2021,1.0
1926914,450681,30-01-2019,2.0
1926940,450681,05-02-2019,5.0
1451386,417917,23-08-2017,2.0
2736881,499838,08-12-2020,1.0
2736884,499838,08-12-2020,2.0
2737033,499838,09-12-2020,2.0
2737044,499838,09-12-2020,2.0
2315409,475266,08-01-2020,1.0
2315418,475266,08-01-2020,3.0
2315425,475266,08-01-2020,1.0
1573614,426117,08-12-2017,2.0
1333502,409735,10-03-2017,2.0
1339648,409735,20-03-2017,2.0
1339655,409735,20-03-2017,2.0
2876991,508041,12-04-2021,1.0
2876993,508041,12-04-2021,1.0
2877003,508041,12-04-2021,1.0
2877011,508041,12-04-2021,1.0
2877012,508041,12-04-2021,1.0
2877016,508041,12-04-2021,1.0
1111827,393365,09-03-2016,4.0
2315122,475285,07-01-2020,2.0
2315126,475285,07-01-2020,1.0
2315132,475285,07-01-2020,2.0
1111948,393369,11-03-2016,7.0
2051891,458910,13-05-2019,1.0
2190541,467108,19-09-2019,2.0
1808874,442548,17-09-2018,1.0
1808881,442548,17-09-2018,1.0
1808884,442548,17-09-2018,1.0
1808893,442548,17-09-2018,1.0
1808895,442548,17-09-2018,1.0
2447090,483508,29-04-2020,1.0
2589758,491710,27-08-2020,2.0
1452235,417983,26-07-2017,2.0
1685536,434368,14-05-2018,3.0
1685539,434368,14-05-2018,1.0
1685561,434368,14-05-2018,1.0
1685592,434368,14-05-2018,1.0
1685599,434368,14-05-2018,1.0
1685601,434368,14-05-2018,1.0
1687393,434368,14-05-2018,1.0
1687397,434368,14-05-2018,1.0
1714411,434368,06-06-2018,3.0
1338905,409792,20-03-2017,2.0
1339326,409792,20-03-2017,2.0
1341208,409792,20-03-2017,1.0
1341261,409792,20-03-2017,1.0
1368749,409792,24-04-2017,13.0
1334111,409793,13-03-2017,5.0
2447317,483524,29-04-2020,1.0
2447344,483524,29-04-2020,1.0
772799,368837,02-06-2014,2.0
772806,368837,02-06-2014,2.0
772818,368837,02-06-2014,5.0
2447352,483528,30-04-2020,2.0
2447363,483528,30-04-2020,2.0
