,Ing_Order,Ing_Datum,Ing_Aantal
2586806,491523,31-08-2020,8.0
2736846,499715,09-12-2020,2.0
1110386,393221,08-03-2016,4.0
769273,368645,26-05-2014,4.0
2736939,499716,09-12-2020,6.0
2737052,499719,09-12-2020,4.0
769332,368656,23-05-2014,4.0
1110476,393233,07-03-2016,4.0
1110487,393235,08-03-2016,4.0
1925809,450583,21-01-2019,8.0
1806870,442396,14-09-2018,7.0
1110575,393245,09-03-2016,4.0
769737,368671,23-05-2014,2.0
1925862,450592,22-01-2019,8.0
1806687,442401,14-09-2018,4.0
1110587,393252,10-03-2016,4.0
1110646,393254,11-03-2016,4.0
1110719,393257,08-03-2016,4.0
1110729,393258,09-03-2016,4.0
2587435,491562,01-09-2020,10.0
2587444,491562,01-09-2020,10.0
2587478,491563,02-09-2020,10.0
2587487,491563,02-09-2020,10.0
2587538,491564,03-09-2020,10.0
2587547,491564,03-09-2020,10.0
1683232,434221,03-05-2018,5.0
2587555,491567,04-09-2020,10.0
2587564,491567,04-09-2020,10.0
2587572,491568,07-09-2020,10.0
2587581,491568,07-09-2020,10.0
2587589,491569,08-09-2020,10.0
2587598,491569,08-09-2020,10.0
2188106,466989,18-09-2019,3.0
2444956,483371,28-04-2020,8.0
2444968,483372,28-04-2020,8.0
998719,385073,11-08-2015,6.0
2445158,483378,25-05-2020,5.0
998802,385076,18-08-2015,7.0
3015693,516149,20-08-2021,4.0
2645710,491579,02-10-2020,10.0
2645713,491579,02-10-2020,10.0
1571459,426044,06-12-2017,2.0
2645725,491582,02-10-2020,10.0
2645736,491582,02-10-2020,10.0
2445214,483391,28-04-2020,8.0
2453042,483392,06-05-2020,4.0
2454652,483397,07-05-2020,1.0
2051087,458822,04-06-2019,2.0
1000557,385096,18-08-2015,4.0
1004107,385096,19-08-2015,2.0
2445387,483402,29-04-2020,8.0
2182253,467020,26-09-2019,2.0
885376,376908,19-12-2014,4.0
2445481,483404,29-04-2020,4.0
2869637,507984,07-04-2021,4.0
2445544,483409,06-05-2020,3.0
2737316,499797,08-12-2020,8.0
1807499,442453,13-09-2018,2.0
1683733,434264,07-05-2018,6.0
2445805,483416,29-04-2020,2.0
1452150,417884,31-07-2017,1.0
770807,368739,28-05-2014,8.0
770867,368743,28-05-2014,4.0
1223771,401511,19-09-2016,2.0
770988,368749,28-05-2014,4.0
2736501,499821,27-02-2021,4.0
2819150,499821,02-03-2021,4.0
1451150,417901,25-07-2017,2.0
771012,368753,28-05-2014,2.0
1807948,442482,17-09-2018,6.0
1808121,442482,17-09-2018,4.0
1808421,442483,17-09-2018,6.0
2588829,491636,28-08-2020,7.0
2451849,483443,11-05-2020,3.0
2467786,483445,02-06-2020,3.0
2467637,483445,13-05-2020,2.0
2314667,475255,07-01-2020,8.0
2609461,483447,21-09-2020,2.0
1926922,450681,05-02-2019,2.0
2871600,508026,09-04-2021,9.0
2871601,508026,09-04-2021,1.0
1572744,426108,11-12-2017,4.0
2321205,475261,23-01-2020,9.0
2737017,499838,09-12-2020,4.0
1451392,417917,23-08-2017,4.0
2315441,475266,08-01-2020,12.0
1572491,426115,08-12-2017,8.0
2183409,467093,13-09-2019,4.0
2777735,499862,27-01-2021,4.0
2790204,499864,12-03-2021,4.0
1111959,393369,11-03-2016,2.0
771955,368793,28-05-2014,18.0
2183753,467108,17-09-2019,4.0
1808622,442534,17-09-2018,6.0
1808640,442535,18-09-2018,6.0
886771,377000,06-01-2015,4.0
1808658,442536,19-09-2018,6.0
1808676,442537,20-09-2018,6.0
1572984,426156,08-12-2017,24.0
772559,368813,02-06-2014,6.0
1808785,442542,17-09-2018,1.0
2447032,483503,06-05-2020,7.0
2592620,491696,31-08-2020,4.0
2593517,491697,31-08-2020,4.0
2593890,491698,31-08-2020,4.0
2592750,491699,31-08-2020,6.0
2593546,491700,31-08-2020,2.0
2593914,491701,31-08-2020,3.0
2594206,491702,07-09-2020,6.0
2594259,491703,07-09-2020,1.0
1808902,442548,17-09-2018,3.0
772582,368825,02-06-2014,6.0
2315557,475317,09-01-2020,6.0
1333982,409784,13-03-2017,3.0
1368739,409792,24-04-2017,2.0
2447642,483522,01-05-2020,1.0
2447647,483522,01-05-2020,5.0
772820,368837,02-06-2014,8.0
2447360,483528,30-04-2020,4.0
772837,368841,02-06-2014,3.0
1579448,426189,02-01-2018,2.0
2591392,491725,02-09-2020,15.0
1225213,401614,26-09-2016,1.0
1685407,434383,07-05-2018,5.0
1685486,434385,07-05-2018,8.0
2739004,499924,11-12-2020,13.0
2744520,499924,15-12-2020,4.0
1685499,434391,04-05-2018,6.0
1685519,434392,07-05-2018,6.0
2185354,467159,24-09-2019,2.0
1573387,426203,11-12-2017,4.0
2458994,483551,07-05-2020,4.0
2184726,467168,19-09-2019,6.0
1685740,434404,08-05-2018,6.0
1928238,450788,17-01-2019,4.0
1112716,393446,14-03-2016,4.0
1685758,434407,14-05-2018,6.0
1685781,434409,15-05-2018,6.0
2316445,475369,09-01-2020,9.0
3020862,516329,30-08-2021,7.0
1112843,393452,16-03-2016,3.0
1685808,434412,16-05-2018,6.0
1685834,434413,07-05-2018,4.0
1685850,434414,17-05-2018,6.0
1685973,434416,18-05-2018,6.0
2474664,483565,20-05-2020,4.0
1454166,418032,31-07-2017,4.0
663745,360694,27-09-2013,12.0
2185450,467198,17-09-2019,4.0
1335448,409856,27-03-2017,4.0
2185618,467207,17-09-2019,6.0
2456024,483608,08-05-2020,7.0
2592254,491803,28-08-2020,3.0
1574153,426268,13-12-2017,7.0
2186680,467229,18-09-2019,2.0
2592342,491806,31-08-2020,4.0
2873434,508191,19-04-2021,4.0
2456237,483612,12-05-2020,3.0
1577631,426273,15-12-2017,6.0
774405,368934,05-06-2014,3.0
2739495,500012,17-12-2020,2.0
1113721,393520,14-03-2016,4.0
1113734,393521,15-03-2016,4.0
1113744,393522,16-03-2016,4.0
1113754,393523,17-03-2016,4.0
1113764,393524,18-03-2016,4.0
1686815,434483,08-05-2018,2.0
2449559,483638,06-05-2020,9.0
2592523,491834,31-08-2020,4.0
1226711,401729,26-09-2016,14.0
2054505,459078,21-05-2019,8.0
773971,368966,05-06-2014,10.0
1689096,434503,14-05-2018,2.0
1454474,418119,21-08-2017,2.0
2054615,459089,21-05-2019,2.0
774469,368979,05-06-2014,3.0
774161,368984,02-06-2014,10.0
1936514,450914,04-02-2019,13.0
2812132,500074,25-02-2021,2.0
2318387,475498,13-01-2020,4.0
1574965,426348,15-12-2017,1.0
666806,360813,23-10-2013,2.0
666959,360813,21-10-2013,3.0
666544,360813,20-10-2013,2.0
666655,360813,19-10-2013,2.0
2740338,500082,14-12-2020,2.0
774637,369013,04-06-2014,10.0
1339034,409973,20-03-2017,5.0
1228079,401796,23-09-2016,4.0
1811564,442757,21-09-2018,2.0
889336,377229,15-01-2015,4.0
2594214,491918,11-09-2020,8.0
2594234,491918,11-09-2020,8.0
2594288,491925,02-09-2020,8.0
1455483,418202,01-08-2017,2.0
775243,369053,02-06-2014,3.0
775251,369053,02-06-2014,2.0
775695,369053,04-06-2014,10.0
775698,369053,04-06-2014,10.0
780996,369060,16-06-2014,14.0
775600,369060,13-06-2014,18.0
2742000,500132,14-12-2020,2.0
2875609,508332,08-04-2021,5.0
2055939,459182,15-05-2019,4.0
2451466,483759,04-05-2020,5.0
2320610,475570,13-01-2020,4.0
2595124,491963,04-09-2020,7.0
2320052,475579,13-01-2020,6.0
2320064,475579,13-01-2020,1.0
1689421,434628,14-05-2018,2.0
1456447,418249,03-08-2017,4.0
2741815,500171,10-12-2020,4.0
2741827,500171,10-12-2020,4.0
2320266,475595,14-01-2020,4.0
1338515,410063,17-03-2017,6.0
1341375,410063,23-03-2017,2.0
1456661,418255,23-08-2017,2.0
2595544,491987,09-09-2020,6.0
892655,377304,12-01-2015,8.0
892679,377304,13-01-2015,4.0
892682,377304,13-01-2015,2.0
892692,377304,19-01-2015,4.0
1457087,418264,30-08-2017,1.0
1457140,418264,29-09-2017,2.0
1495973,418264,25-09-2017,2.0
1116027,393690,17-03-2016,4.0
2595636,491994,03-09-2020,5.0
1228979,401882,27-09-2016,12.0
2056691,459229,20-05-2019,8.0
1689841,434651,15-05-2018,3.0
1576860,426463,14-12-2017,7.0
2056709,459231,16-05-2019,2.0
1931283,451033,24-01-2019,8.0
1005064,385504,24-08-2015,2.0
1116463,393709,17-03-2016,8.0
2189468,467441,23-09-2019,6.0
2742240,500211,15-12-2020,4.0
1690414,434679,16-05-2018,4.0
1690330,434679,15-05-2018,4.0
1948317,451066,18-02-2019,5.0
1964331,451066,27-02-2019,2.0
2742589,500221,14-12-2020,4.0
2890755,508416,28-04-2021,2.0
2057494,459265,20-05-2019,8.0
2743505,500229,14-12-2020,2.0
1577508,426503,18-12-2017,2.0
