,End_Order,End_Datum,Ret_Aantal
2453310,491523,15-09-2020,22.0
2596294,499715,11-12-2020,2.0
1008671,393221,09-03-2016,8.0
1179870,401412,12-12-2016,5.0
681281,368645,28-05-2014,8.0
2596395,499716,11-12-2020,5.0
2596466,499717,11-12-2020,3.0
2596456,499718,11-12-2020,2.0
2596509,499719,11-12-2020,2.0
2722454,507908,08-04-2021,2.0
1952487,458765,14-06-2019,4.0
681207,368661,18-05-2014,8.0
1917751,458774,17-05-2019,5.0
1679387,442396,14-09-2018,2.0
684523,368671,28-05-2014,9.0
684526,368671,28-05-2014,18.0
1679433,442401,14-09-2018,3.0
2723243,507940,15-04-2021,5.0
1249903,409638,14-04-2017,4.0
2874170,516134,31-08-2021,4.0
2204651,475176,17-01-2020,4.0
2874198,516137,18-08-2021,4.0
2354707,483371,12-06-2020,4.0
2302458,483372,28-04-2020,4.0
1557621,434221,09-05-2018,11.0
2281829,466989,09-04-2020,5.0
2874205,516140,18-08-2021,4.0
2309243,483376,08-05-2020,9.0
913523,385073,21-08-2015,2.0
908221,385073,25-08-2015,5.0
2354798,483378,12-06-2020,6.0
2874208,516145,31-08-2021,4.0
904781,385076,24-08-2015,15.0
904783,385076,24-08-2015,6.0
904792,385076,24-08-2015,5.0
2909919,516147,01-09-2021,4.0
2909933,516149,01-09-2021,4.0
2925905,499768,24-09-2021,3.0
1466381,426044,21-12-2017,2.0
1218765,409661,10-03-2017,14.0
2302595,483391,28-04-2020,4.0
2310384,483392,08-05-2020,7.0
2311576,483397,08-05-2020,2.0
1918325,458822,04-06-2019,4.0
905048,385096,24-08-2015,16.0
905050,385096,24-08-2015,9.0
905052,385096,24-08-2015,4.0
2220370,475209,12-02-2020,8.0
2302831,483402,29-04-2020,4.0
687315,368715,04-06-2014,6.0
2046640,467020,26-09-2019,2.0
2046693,467021,26-09-2019,1.0
798735,376907,22-12-2014,1.0
812907,376908,10-02-2015,9.0
850108,376908,24-04-2015,27.0
850128,376908,24-04-2015,4.0
850135,376908,24-04-2015,16.0
850160,376908,24-04-2015,10.0
850168,376908,24-04-2015,1.0
2202402,475216,24-01-2020,6.0
1009479,393297,08-03-2016,8.0
2723638,507984,07-04-2021,4.0
2383995,483409,03-07-2020,4.0
1815432,450642,31-01-2019,4.0
2596843,499797,08-12-2020,3.0
2621798,499797,23-12-2020,7.0
1678913,442453,14-09-2018,6.0
1558516,434264,25-05-2018,4.0
2303190,483416,30-04-2020,2.0
2303199,483416,30-04-2020,2.0
1808725,450649,29-01-2019,2.0
1453735,426075,11-12-2017,4.0
1345003,417884,09-08-2017,2.0
1345951,417884,11-08-2017,4.0
991217,385117,19-01-2016,6.0
1269614,409697,12-05-2017,23.0
2362748,483425,15-06-2020,10.0
682260,368739,02-06-2014,8.0
682334,368743,02-06-2014,12.0
1176072,401511,15-12-2016,8.0
1269582,409708,12-05-2017,3.0
682422,368749,02-06-2014,5.0
2595906,499821,13-03-2021,10.0
2304699,475244,29-04-2020,3.0
1925948,458864,21-05-2019,4.0
682455,368752,02-06-2014,4.0
682462,368753,02-06-2014,4.0
2724498,508014,12-04-2021,10.0
2448989,491636,28-08-2020,2.0
1219366,409712,10-03-2017,1.0
1720524,442482,22-10-2018,6.0
1720531,442482,22-10-2018,4.0
1710366,442483,15-10-2018,5.0
1708513,442483,12-10-2018,9.0
2185725,475252,23-01-2020,8.0
1953063,458873,12-06-2019,7.0
1932147,458873,06-06-2019,8.0
1144771,401529,04-11-2016,2.0
1219441,409720,10-03-2017,1.0
1460183,426108,15-12-2017,6.0
2196725,475255,17-01-2020,4.0
2611066,499838,21-12-2020,5.0
2725507,508026,10-04-2021,3.0
2191153,475261,27-01-2020,4.0
1803960,450681,05-02-2019,6.0
2186258,475266,09-01-2020,6.0
1451312,426115,08-12-2017,4.0
1451348,426116,20-12-2017,14.0
1353284,417917,25-08-2017,5.0
1231619,409735,23-03-2017,13.0
1010528,393352,11-03-2016,8.0
2738933,508041,16-04-2021,7.0
798731,376972,08-12-2014,1.0
1452020,426130,15-12-2017,2.0
1691360,442516,24-09-2018,5.0
2047470,467093,13-09-2019,14.0
2640120,499862,27-01-2021,4.0
2650503,499864,12-03-2021,4.0
2459675,491675,05-09-2020,2.0
1823530,450716,13-02-2019,2.0
1115597,401567,21-09-2016,2.0
2047732,467108,19-09-2019,8.0
2086825,467108,11-10-2019,2.0
1680067,442534,17-09-2018,6.0
1680121,442535,18-09-2018,6.0
1010313,393384,10-03-2016,5.0
798962,377000,06-01-2015,8.0
1680139,442536,19-09-2018,6.0
1680157,442537,20-09-2018,6.0
2186157,475307,08-01-2020,6.0
684255,368813,02-06-2014,1.0
1698865,442542,04-10-2018,1.0
1698883,442542,04-10-2018,7.0
2304439,483503,08-05-2020,7.0
2452450,491696,04-09-2020,8.0
2452476,491697,04-09-2020,6.0
2452481,491698,04-09-2020,6.0
2452520,491699,04-09-2020,2.0
2452526,491699,04-09-2020,8.0
2452579,491700,04-09-2020,6.0
2452645,491701,04-09-2020,6.0
2468636,491702,15-09-2020,11.0
2502102,491703,06-10-2020,6.0
2047769,467126,13-09-2019,5.0
2636700,499895,01-01-2021,4.0
684273,368825,02-06-2014,1.0
1731903,442548,02-11-2018,1.0
2186328,475317,17-01-2020,3.0
1239386,409784,03-04-2017,2.0
1348268,409786,22-08-2017,4.0
1393661,417982,13-10-2017,9.0
1639095,434368,25-07-2018,5.0
1265114,409792,08-05-2017,22.0
1303463,409792,23-06-2017,6.0
1303498,409792,23-06-2017,3.0
1331735,409792,21-07-2017,16.0
1220261,409793,13-03-2017,1.0
1220300,409794,13-03-2017,2.0
2305133,483522,01-05-2020,12.0
684313,368837,02-06-2014,5.0
2321493,483524,05-05-2020,8.0
2304907,483528,25-05-2020,3.0
2304944,483528,25-05-2020,4.0
684324,368841,02-06-2014,4.0
1561756,434380,14-05-2018,5.0
1469417,426189,05-01-2018,2.0
1122904,401614,30-09-2016,4.0
1575567,434383,14-05-2018,6.0
2048359,467151,20-09-2019,19.0
1573182,434385,18-05-2018,12.0
1458942,426196,20-12-2017,4.0
1458944,426196,20-12-2017,6.0
2599447,499924,15-12-2020,15.0
2599493,499924,15-12-2020,6.0
2048906,467159,27-09-2019,5.0
1560278,434392,07-05-2018,6.0
1568225,426203,23-05-2018,2.0
1682027,442587,25-09-2018,2.0
1682115,442588,26-09-2018,2.0
2315595,483551,13-05-2020,2.0
2048563,467168,20-09-2019,17.0
1010406,393444,15-03-2016,4.0
1560390,434404,08-05-2018,6.0
1010462,393446,15-03-2016,4.0
1920734,458983,14-05-2019,6.0
1560431,434407,14-05-2018,6.0
1560519,434409,15-05-2018,6.0
2251833,475369,12-03-2020,4.0
1805045,450788,17-01-2019,2.0
1010568,393452,18-03-2016,7.0
1560552,434412,16-05-2018,6.0
1586958,434413,01-06-2018,6.0
1560578,434414,17-05-2018,6.0
1560610,434416,18-05-2018,6.0
2879477,516329,30-08-2021,18.0
1116469,401650,30-09-2016,10.0
2305366,483565,10-07-2020,5.0
1341452,418032,03-08-2017,3.0
1461215,426229,22-12-2017,4.0
1474194,426230,24-01-2018,20.0
2049249,467197,23-10-2019,2.0
2048969,467198,17-09-2019,2.0
1821868,450813,12-02-2019,24.0
1241132,409856,05-04-2017,2.0
2049029,467207,17-09-2019,2.0
1974560,459018,05-07-2019,7.0
1561201,434446,09-05-2018,6.0
2451785,491792,04-09-2020,2.0
909771,385301,27-08-2015,16.0
2385638,483608,29-06-2020,5.0
2556016,491803,16-11-2020,2.0
2556022,491803,16-11-2020,15.0
1453349,426268,13-12-2017,2.0
2049736,467229,18-09-2019,6.0
2460778,491806,07-09-2020,2.0
2768336,508191,06-05-2021,5.0
2768344,508191,06-05-2021,5.0
2312620,483612,13-05-2020,6.0
1459656,426273,21-12-2017,2.0
1471271,426273,12-01-2018,1.0
1469664,426273,08-01-2018,6.0
2188166,475425,13-01-2020,4.0
2472319,491811,14-09-2020,2.0
1341657,418084,04-08-2017,8.0
686028,368934,05-06-2014,5.0
2599929,500012,18-12-2020,2.0
2599955,500012,18-12-2020,2.0
2450973,491827,15-09-2020,10.0
1648590,434483,03-08-2018,1.0
1117378,401718,29-09-2016,2.0
2350036,483638,08-06-2020,10.0
2319699,483641,20-05-2020,5.0
2531491,491834,26-10-2020,2.0
1119749,401722,29-09-2016,8.0
2103013,467259,05-11-2019,6.0
1806145,450879,18-01-2019,2.0
1132765,401729,17-10-2016,2.0
1168374,401729,02-12-2016,23.0
1921860,459078,21-05-2019,3.0
1577827,434503,24-05-2018,5.0
1394397,418119,13-10-2017,10.0
688658,368969,05-06-2014,4.0
2203238,475465,20-01-2020,7.0
1341669,418120,04-08-2017,6.0
1806239,450888,13-02-2019,2.0
1682074,442704,18-09-2018,7.0
1014171,393555,16-03-2016,4.0
697493,368979,26-06-2014,7.0
2055225,467283,23-09-2019,2.0
2728590,508246,30-04-2021,7.0
687125,368984,04-06-2014,3.0
1855565,450904,08-03-2019,6.0
1273942,409947,24-05-2017,6.0
1454527,426334,15-12-2017,2.0
1454543,426334,15-12-2017,8.0
1812531,450914,04-02-2019,10.0
909350,385382,27-08-2015,4.0
2678818,500073,03-03-2021,3.0
2208252,475498,31-01-2020,4.0
2208258,475498,31-01-2020,7.0
2257849,475498,18-03-2020,1.0
1339971,418154,02-08-2017,6.0
1454511,426348,15-12-2017,2.0
599147,360813,21-10-2013,8.0
582755,360813,24-10-2013,9.0
599709,360813,24-10-2013,9.0
599756,360813,24-10-2013,8.0
1683741,442733,29-09-2018,4.0
1806701,450930,07-02-2019,2.0
1563063,434550,15-05-2018,2.0
1735100,442757,12-11-2018,4.0
800650,377229,15-01-2015,4.0
2730340,508301,20-04-2021,4.0
1344529,418190,09-08-2017,5.0
2050724,467344,19-09-2019,2.0
1563137,434577,09-05-2018,3.0
595656,360853,25-10-2013,10.0
2474036,491925,15-09-2020,6.0
1695286,442774,28-09-2018,1.0
1699273,442774,03-10-2018,3.0
1563232,434586,09-05-2018,3.0
688710,369053,05-06-2014,1.0
699731,369060,25-06-2014,12.0
2603439,500132,16-12-2020,6.0
2780921,508332,19-05-2021,8.0
2780933,508332,19-05-2021,2.0
2780960,508332,19-05-2021,1.0
2883039,508332,30-07-2021,1.0
1934271,459182,24-05-2019,10.0
2324474,483759,18-05-2020,4.0
2190110,475568,13-01-2020,2.0
2193957,475570,15-01-2020,6.0
1236494,410035,31-03-2017,11.0
2190571,475571,15-01-2020,1.0
1584261,434615,01-06-2018,8.0
2489920,491963,30-09-2020,6.0
2453815,491963,12-09-2020,2.0
2203761,475579,27-01-2020,4.0
1952046,451005,14-06-2019,30.0
2455808,491968,25-09-2020,4.0
2455889,491968,25-09-2020,7.0
1656342,434628,20-08-2018,4.0
1698775,434628,03-10-2018,2.0
909166,385480,01-09-2015,5.0
1340614,418249,03-08-2017,4.0
2603277,500171,10-12-2020,1.0
1403057,418254,20-10-2017,2.0
1233774,410063,29-03-2017,3.0
1233781,410063,29-03-2017,14.0
1226537,410063,24-03-2017,6.0
1226573,410063,24-03-2017,2.0
1354071,418255,28-08-2017,2.0
2460053,491987,10-09-2020,12.0
803254,377304,14-01-2015,1.0
805268,377304,22-01-2015,2.0
803266,377304,19-01-2015,2.0
1408308,418264,27-10-2017,11.0
