,Ing_Order,Ing_Datum,Ing_Aantal
2586808,491523,31-08-2020,23.0
2736840,499715,09-12-2020,2.0
1110383,393221,08-03-2016,8.0
1222068,401412,19-09-2016,5.0
769245,368645,26-05-2014,8.0
2736944,499716,09-12-2020,5.0
2736994,499717,09-12-2020,3.0
2736971,499718,09-12-2020,2.0
2737064,499719,09-12-2020,2.0
2868329,507908,06-04-2021,2.0
2050057,458765,10-05-2019,4.0
769424,368661,16-05-2014,8.0
2050193,458774,13-05-2019,5.0
1806873,442396,14-09-2018,2.0
769733,368671,23-05-2014,18.0
770036,368671,23-05-2014,9.0
1806697,442401,14-09-2018,3.0
2869257,507940,09-04-2021,5.0
1332051,409638,14-03-2017,4.0
3015446,516134,03-08-2021,4.0
2313392,475176,06-01-2020,4.0
3015465,516137,02-08-2021,4.0
2444936,483371,28-04-2020,4.0
2444969,483372,28-04-2020,4.0
1683223,434221,03-05-2018,11.0
2188119,466989,18-09-2019,5.0
3015568,516140,02-08-2021,4.0
2451742,483376,04-05-2020,9.0
998720,385073,11-08-2015,5.0
1011267,385073,18-08-2015,2.0
2445166,483378,25-05-2020,6.0
3015572,516145,20-08-2021,4.0
998784,385076,18-08-2015,15.0
1002378,385076,18-08-2015,6.0
1004124,385076,18-08-2015,5.0
3015678,516147,20-08-2021,4.0
3015690,516149,20-08-2021,4.0
2737711,499768,08-12-2020,3.0
1571450,426044,06-12-2017,2.0
1332311,409661,09-03-2017,14.0
2445211,483391,28-04-2020,4.0
2453035,483392,06-05-2020,7.0
2454657,483397,07-05-2020,2.0
2051084,458822,04-06-2019,4.0
1000567,385096,18-08-2015,16.0
1002822,385096,19-08-2015,4.0
1004105,385096,19-08-2015,9.0
2313852,475209,06-01-2020,8.0
2445384,483402,29-04-2020,4.0
770443,368715,28-05-2014,6.0
2182240,467020,26-09-2019,2.0
2182292,467021,26-09-2019,1.0
885347,376907,22-12-2014,1.0
885364,376908,19-12-2014,36.0
896109,376908,19-01-2015,4.0
898007,376908,02-02-2015,16.0
898086,376908,02-02-2015,10.0
898672,376908,02-02-2015,1.0
2313988,475216,06-01-2020,6.0
1111230,393297,08-03-2016,8.0
2869636,507984,07-04-2021,4.0
2445540,483409,06-05-2020,5.0
1926492,450642,18-01-2019,5.0
2736121,499797,07-12-2020,7.0
2737339,499797,08-12-2020,3.0
1807508,442453,13-09-2018,6.0
1683716,434264,07-05-2018,4.0
2445806,483416,29-04-2020,2.0
2445828,483416,29-04-2020,2.0
1926566,450649,21-01-2019,2.0
1571860,426075,06-12-2017,4.0
1452153,417884,31-07-2017,4.0
1454691,417884,31-07-2017,2.0
1000695,385117,15-08-2015,6.0
1332853,409697,13-03-2017,23.0
2454484,483425,06-05-2020,10.0
770795,368739,28-05-2014,8.0
770856,368743,28-05-2014,12.0
1223770,401511,19-09-2016,8.0
1332869,409708,13-03-2017,3.0
770956,368749,28-05-2014,5.0
2736524,499821,27-02-2021,10.0
2447285,475244,29-04-2020,3.0
2058828,458864,21-05-2019,4.0
771003,368752,28-05-2014,4.0
771010,368753,28-05-2014,4.0
2870448,508014,07-04-2021,10.0
2588823,491636,28-08-2020,2.0
1333146,409712,10-03-2017,1.0
1807942,442482,17-09-2018,6.0
1808113,442482,17-09-2018,4.0
1808442,442483,17-09-2018,14.0
2314770,475252,22-01-2020,8.0
2052502,458873,20-05-2019,15.0
1224028,401529,20-09-2016,2.0
1333236,409720,10-03-2017,1.0
1572738,426108,11-12-2017,6.0
2314669,475255,07-01-2020,4.0
2737028,499838,09-12-2020,5.0
2871604,508026,09-04-2021,3.0
2321201,475261,23-01-2020,4.0
1926928,450681,05-02-2019,6.0
2315435,475266,08-01-2020,6.0
1572493,426115,08-12-2017,4.0
1572529,426116,15-12-2017,14.0
1451378,417917,23-08-2017,5.0
1339646,409735,20-03-2017,13.0
1111712,393352,08-03-2016,8.0
2876982,508041,12-04-2021,7.0
886436,376972,08-12-2014,1.0
1573099,426130,15-12-2017,2.0
1808286,442516,14-09-2018,5.0
2183408,467093,13-09-2019,14.0
2777738,499862,27-01-2021,4.0
2790195,499864,12-03-2021,4.0
2601095,491675,05-09-2020,2.0
1927341,450716,17-01-2019,2.0
1224642,401567,21-09-2016,2.0
2183740,467108,17-09-2019,10.0
1808608,442534,17-09-2018,6.0
1808626,442535,18-09-2018,6.0
1112084,393384,09-03-2016,5.0
886779,377000,06-01-2015,8.0
1808644,442536,19-09-2018,6.0
1808662,442537,20-09-2018,6.0
2315400,475307,08-01-2020,6.0
772556,368813,02-06-2014,1.0
1808803,442542,17-09-2018,8.0
1808820,442542,17-09-2018,1.0
2447019,483503,06-05-2020,7.0
2592605,491696,31-08-2020,8.0
2593521,491697,31-08-2020,6.0
2593894,491698,31-08-2020,6.0
2592732,491699,31-08-2020,8.0
2592738,491699,31-08-2020,2.0
2593529,491700,31-08-2020,6.0
2593918,491701,31-08-2020,6.0
2594203,491702,07-09-2020,11.0
2594268,491703,07-09-2020,6.0
