,Ing_Order,Ing_Datum,Ing_Aantal
1200908,399877,16-08-2016,1.0
1637934,431110,20-04-2018,2.0
2717948,498695,25-11-2020,2.0
2717970,498695,25-11-2020,2.0
2728986,498695,02-12-2020,1.0
2728997,498695,02-12-2020,1.0
981393,382472,01-07-2015,2.0
1765823,439816,20-08-2018,1.0
2840770,506383,16-03-2021,1.0
2840774,506383,16-03-2021,1.0
2446786,479249,04-05-2020,1.0
2840829,506385,16-03-2021,1.0
2840833,506385,16-03-2021,1.0
2412058,481299,03-04-2020,1.0
2358602,478234,17-02-2020,2.0
2358631,478234,17-02-2020,2.0
2267957,472092,18-11-2019,2.0
2267974,472092,18-11-2019,1.0
2267987,472092,18-11-2019,2.0
2282059,472092,25-11-2019,1.0
2282086,472092,25-11-2019,1.0
1500600,420901,29-09-2017,1.0
2773514,502310,20-01-2021,3.0
2911688,509993,10-05-2021,1.0
2482544,485418,27-05-2020,1.0
2514521,486957,22-06-2020,3.0
2514551,486957,22-06-2020,1.0
2569831,486957,18-08-2020,3.0
2569844,486957,18-08-2020,1.0
2360737,478257,19-02-2020,1.0
2499632,486450,15-06-2020,1.0
2499663,486450,15-06-2020,2.0
2499676,486450,15-06-2020,1.0
1790628,441393,03-09-2018,8.0
1506709,421430,11-10-2017,1.0
822126,372280,05-09-2014,2.0
2438730,482874,29-04-2020,1.0
2438783,482874,29-04-2020,1.0
2438788,482874,29-04-2020,1.0
1435322,416829,06-07-2017,5.0
1955517,452672,08-03-2019,1.0
2120580,463424,22-07-2019,1.0
1893032,448064,10-12-2018,1.0
2832715,505923,10-03-2021,2.0
1913677,449608,07-01-2019,1.0
885360,376908,19-12-2014,1.0
2277726,472657,10-12-2019,3.0
1168950,397394,22-06-2016,3.0
1683737,434264,07-05-2018,1.0
728415,365660,03-03-2014,8.0
1410908,414815,14-06-2017,1.0
2500701,486496,15-06-2020,1.0
1265342,404577,15-11-2016,1.0
1276867,404577,29-11-2016,1.0
2544060,489055,14-07-2020,2.0
2544077,489055,14-07-2020,2.0
2761882,501347,08-01-2021,1.0
2221995,460388,14-10-2019,1.0
1267133,404580,16-11-2016,1.0
1716486,436326,18-06-2018,1.0
834508,372838,29-09-2014,2.0
2377426,479334,03-03-2020,1.0
2535829,488548,06-07-2020,2.0
2535842,488548,06-07-2020,2.0
1098346,392296,15-02-2016,2.0
2311101,474723,01-01-2020,2.0
2311111,474723,01-01-2020,2.0
1925607,450159,10-01-2019,1.0
1839216,444530,23-10-2018,1.0
1231142,402036,21-10-2016,1.0
