,End_Order,End_Datum,Ret_Aantal
2653935,501760,23-02-2021,5.0
2653948,501760,23-02-2021,4.0
2687829,505856,12-03-2021,6.0
1618647,438274,18-07-2018,6.0
2687862,505857,13-03-2021,6.0
1179874,401412,12-12-2016,1.0
2390024,487246,20-07-2020,11.0
2390032,487246,20-07-2020,13.0
2390041,487246,20-07-2020,12.0
1535120,432134,10-04-2018,7.0
1649844,440326,03-09-2018,8.0
1649853,440326,03-09-2018,10.0
1649900,440326,03-09-2018,5.0
1649905,440326,03-09-2018,8.0
1649909,440326,03-09-2018,3.0
1649931,440326,03-09-2018,9.0
1650329,440326,03-09-2018,4.0
1650344,440326,03-09-2018,3.0
1650357,440326,03-09-2018,5.0
1650360,440326,03-09-2018,5.0
1653491,440326,03-09-2018,3.0
1671937,440326,03-09-2018,0.0
1272555,413704,02-06-2017,6.0
1272557,413704,02-06-2017,12.0
2629156,501769,18-01-2021,2.0
1372379,419848,25-09-2017,10.0
958621,389131,23-11-2015,7.0
958637,389131,23-11-2015,5.0
742585,370700,30-09-2014,7.0
742612,370700,30-09-2014,7.0
742613,370700,30-09-2014,10.0
742617,370700,30-09-2014,4.0
742631,370700,30-09-2014,4.0
742637,370700,30-09-2014,7.0
1720044,444428,22-10-2018,12.0
993144,391180,26-01-2016,3.0
2271045,481295,03-04-2020,4.0
2271051,481295,03-04-2020,5.0
2208687,477200,11-02-2020,8.0
2271256,481297,03-04-2020,4.0
2271272,481297,03-04-2020,5.0
2271411,481298,03-04-2020,5.0
2771509,505875,07-05-2021,2.0
2271522,481299,03-04-2020,3.0
2370999,487442,02-07-2020,8.0
1484281,428055,02-02-2018,6.0
1484282,428055,02-02-2018,7.0
1776751,446493,07-12-2018,3.0
1776753,446493,07-12-2018,6.0
1197994,407584,03-02-2017,4.0
2663662,503841,25-02-2021,36.0
2663673,503841,25-02-2021,4.0
2663678,503841,25-02-2021,44.0
2481538,493603,24-09-2020,2.0
1886161,456741,19-04-2019,4.0
615700,362534,29-11-2013,20.0
2766948,509993,11-05-2021,6.0
2767006,509993,11-05-2021,2.0
2669335,503850,25-02-2021,16.0
2669385,503850,25-02-2021,14.0
2281828,466989,09-04-2020,4.0
1073392,397359,05-07-2016,5.0
1131757,397359,07-10-2016,29.0
1548490,426032,06-12-2017,9.0
782439,374833,28-11-2014,6.0
854484,380977,06-05-2015,19.0
2250560,479281,13-03-2020,2.0
1342212,413747,27-07-2017,3.0
2309255,483376,08-05-2020,2.0
2354791,483378,12-06-2020,10.0
2354842,483378,12-06-2020,3.0
911166,385076,24-08-2015,12.0
911176,385076,24-08-2015,2.0
2080031,469048,01-11-2019,11.0
1396636,419895,16-10-2017,5.0
1113367,399418,19-09-2016,4.0
1245675,407610,12-04-2017,4.0
1527139,432188,11-04-2018,2.0
1527153,432188,11-04-2018,26.0
1527179,432188,11-04-2018,20.0
